朴素_总费用_元,对冲_总费用_元,朴素_紧急费_元,对冲_紧急费_元
15492322.60621086,14124976.243017113,3181392.9322985723,269321.5822433741
15625255.972196918,14163781.988873446,3314326.2982846308,308127.3280997063
15502875.035216607,14055500.59138774,3191945.361304321,199845.93061399966
15221535.663611501,14034707.743600003,2910605.9896992147,179053.08282626336
15533877.136354007,13996457.644242873,3222947.4624417205,140802.98346913353
15155799.547455741,13997631.176786717,2844869.8735434543,141976.51601297868
15752645.108384293,14243147.521290444,3441715.434472006,387492.8605167042
15730209.885097217,14230433.048480518,3419280.2111849296,374778.3877067797
15527160.87572277,14058236.168552587,3216231.201810484,202581.507778847
15615901.089544283,14130331.532844247,3304971.4156319965,274676.8720705079
15372212.497343458,14093980.627877612,3061282.823431171,238325.96710387326
15604261.966807408,14135419.561433207,3293332.292895122,279764.9006594672
15210838.685175415,14050176.658102617,2899909.011263128,194521.99732887786
15178795.809715312,14070570.058371712,2867866.135803026,214915.39759797303
15369265.354625188,14155229.755994033,3058335.6807129,299575.09522029385
15664121.88568637,14107092.321595911,3353192.2117740824,251437.66082217195
15835712.667466473,14106929.360715827,3524782.9935541856,251274.699942088
15716891.438814357,14082127.175571993,3405961.76490207,226472.5147982538
15354345.91273666,14073200.650717475,3043416.2388243736,217545.9899437349
15491601.483926713,14109499.978471715,3180671.8100144267,253845.31769797576
15346366.737167336,14016247.060784476,3035437.0632550484,160592.40001073742
15184904.45630391,14072957.743634488,2873974.7823916227,217303.08286074942
15650043.995030237,14173460.985852676,3339114.32111795,317806.32507893635
15700448.198126936,14149363.61526739,3389518.52421465,293708.954493652
15687680.239619352,14244238.93300529,3376750.565707066,388584.2722315511
15283932.173286285,14096643.568718562,2973002.4993739994,240988.9079448234
15453613.591704495,14171623.86293225,3142683.9177922076,315969.2021585116
15592717.191652194,14127517.9968446,3281787.517739907,271863.33607086155
15093722.137155615,14079374.445716523,2782792.463243327,223719.78494278368
15770306.332958264,14112173.52647503,3459376.659045978,256518.86570129098
15710412.42827994,14111031.41373721,3399482.7543676533,255376.7529634712
15298136.668489477,14024859.570955517,2987206.9945771894,169204.9101817775
15295974.276438463,14059764.00724518,2985044.6025261763,204109.34647144
15657125.28271659,14180743.352464525,3346195.608804304,325088.6916907855
15631770.649868648,14126075.97052423,3320840.9759563613,270421.30975049007
15564588.187345292,14116551.78739379,3253658.5134330057,260897.12662004988
15275847.2030743,14116789.969067113,2964917.529162014,261135.30829337385
15514506.76513436,14063353.089825457,3203577.091222073,207698.4290517185
15707304.442213733,14154386.559833728,3396374.768301446,298731.89905998786
15812627.961029157,14110752.78535385,3501698.2871168694,255098.1245801117
15949738.22822293,14129250.8565817,3638808.554310644,273596.1958079598
15668102.567241535,14242368.328680454,3357172.8933292488,386713.6679067148
15762653.931721084,14138759.462951923,3451724.2578087975,283104.80217818386
15463910.36943478,14121858.438920839,3152980.6955224928,266203.7781470993
15345780.390826073,14124829.24902082,3034850.7169137867,269174.58824708086
15099603.733422648,14102343.507359168,2788674.0595103614,246688.8465854275
15300912.917749807,14116299.556989871,2989983.2438375214,260644.89621613166
15663667.277065303,14101086.563480677,3352737.603153016,245431.9027069381
15456129.619082501,14169043.75548328,3145199.945170214,313389.0947095426
15481071.989624636,14161382.433650428,3170142.31571235,305727.77287668973
15388676.508986436,14122806.898511328,3077746.8350741495,267152.2377375888
15623169.92178153,14085251.945661612,3312240.247869244,229597.28488787325
15904470.657148793,14255347.22908933,3593540.9832365056,399692.568315591
15724336.459673623,14125727.988554481,3413406.785761336,270073.327780743
15617967.678904485,14055540.298015904,3307038.004992198,199885.63724216464
15773817.417071782,14075100.236956982,3462887.7431594958,219445.57618324357
15436585.913284494,14108822.170547722,3125656.2393722073,253167.5097739819
15442372.369551724,14170351.18887779,3131442.6956394366,314696.5281040502
15276954.299112182,14040712.776562868,2966024.625199896,185058.11578912917
15766770.885588972,14117958.104982127,3455841.2116766856,262303.4442083873
15975266.923484715,14180099.459127756,3664337.2495724284,324444.79835401644
15280481.33440701,14071658.44668594,2969551.6604947234,216003.78591220084
15704181.472368646,14164167.866858337,3393251.798456359,308513.2060845979
15505894.615984254,14059798.44923027,3194964.9420719664,204143.7884565309
15865648.121433858,14111258.432558134,3554718.4475215706,255603.77178439492
15619304.644529533,14087445.558834283,3308374.970617245,231790.89806054393
15607522.061691204,14184122.406218,3296592.387778917,328467.7454442604
15535522.22507269,14193804.782877622,3224592.5511604035,338150.12210388266
15601985.767414635,14211619.64889056,3291056.0935023483,355964.98811682157
15419939.800936066,14061879.188321287,3109010.127023779,206224.52754754826
15601360.550923403,14131774.991894608,3290430.877011117,276120.3311208699
15506239.160507262,14169159.348896675,3195309.486594976,313504.6881229351
15030046.70158252,14017176.751989245,2719117.027670232,161522.09121550652
15354430.300118938,14086617.601056872,3043500.6262066504,230962.94028313248
16072103.86354464,14154191.769955441,3761174.1896323534,298537.1091817021
15561545.804670516,14072450.016551852,3250616.1307582296,216795.3557781132
15742992.085035093,14102305.580754498,3432062.411122806,246650.91998075804
15281631.924287194,14116645.6867901,2970702.250374908,260991.0260163605
15492551.16191351,14058271.237989295,3181621.4880012237,202616.57721555606
15522349.107120492,14129089.869361095,3211419.4332082043,273435.208587355
15342746.841044027,14007564.836059548,3031817.167131741,151910.1752858093
