日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,w1_L(d-7)_平滑,w2_L(d-14)_平滑,w3_典型日_平滑,u1_P(d-1)_平滑,u2_P(d-2)_平滑,u3_典型日_平滑
2025-02-01,0.0,1.0,0.0,0.4,0.6,0.0,0.17500000000000002,0.825,0.0,0.525,0.475,0.0
2025-02-02,0.0,1.0,0.0,0.2,0.8,0.0,0.2222222222222222,0.7777777777777778,0.0,0.5555555555555556,0.4444444444444444,0.0
2025-02-03,0.0,1.0,0.0,0.4,0.6,0.0,0.22000000000000003,0.78,0.0,0.5800000000000001,0.42000000000000004,0.0
2025-02-04,0.0,1.0,0.0,0.4,0.6,0.0,0.21818181818181817,0.7818181818181817,0.0,0.5818181818181819,0.41818181818181815,0.0
2025-02-05,0.2,0.8,0.0,0.8,0.2,0.0,0.21666666666666667,0.7833333333333333,0.0,0.6,0.39999999999999997,0.0
2025-02-06,0.4,0.6,0.0,0.4,0.6,0.0,0.21538461538461537,0.7846153846153846,0.0,0.6307692307692309,0.3692307692307692,0.0
2025-02-07,0.4,0.6,0.0,0.8,0.2,0.0,0.21428571428571427,0.7857142857142857,0.0,0.6571428571428573,0.34285714285714286,0.0
2025-02-08,0.4,0.6,0.0,0.8,0.2,0.0,0.22666666666666666,0.7733333333333333,0.0,0.6533333333333334,0.3466666666666667,0.0
2025-02-09,0.6,0.4,0.0,0.8,0.2,0.0,0.24000000000000002,0.76,0.0,0.6933333333333334,0.3066666666666667,0.0
2025-02-10,0.2,0.8,0.0,0.8,0.2,0.0,0.26666666666666666,0.7333333333333333,0.0,0.7200000000000001,0.28,0.0
2025-02-11,0.2,0.8,0.0,0.6,0.4,0.0,0.29333333333333333,0.7066666666666667,0.0,0.7333333333333333,0.26666666666666666,0.0
2025-02-12,0.2,0.8,0.0,0.8,0.2,0.0,0.32,0.6799999999999999,0.0,0.76,0.24000000000000002,0.0
2025-02-13,0.2,0.8,0.0,1.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.76,0.24000000000000002,0.0
2025-02-14,0.2,0.8,0.0,1.0,0.0,0.0,0.33333333333333337,0.6666666666666666,0.0,0.7866666666666667,0.21333333333333335,0.0
