日期,日初SOC/kWh,日末SOC/kWh
2025-02-01,6000.0,9471.012117185186
2025-02-02,9471.012117185186,9409.179394307406
2025-02-03,9409.179394307406,9313.392626299998
2025-02-04,9313.392626299998,9216.673781474077
2025-02-05,9216.673781474077,9547.596898334077
2025-02-06,9547.596898334077,9316.587250246672
2025-02-07,9316.587250246672,9001.7083070637
2025-02-08,9001.7083070637,9182.695272820743
2025-02-09,9182.695272820743,8973.691203933335
2025-02-10,8973.691203933335,9090.172522298519
2025-02-11,9090.172522298519,9017.031655173334
2025-02-12,9017.031655173334,8935.111125765923
2025-02-13,8935.111125765923,8569.187753315555
2025-02-14,8569.187753315555,8179.473339121485
2025-02-15,8179.473339121485,8532.266720540738
2025-02-16,8532.266720540738,8684.676561773338
2025-02-17,8684.676561773338,8688.744168467409
2025-02-18,8688.744168467409,8841.335533423704
2025-02-19,8841.335533423704,8445.720038243704
2025-02-20,8445.720038243704,7640.0331802888895
2025-02-21,7640.0331802888895,7434.390324302965
2025-02-22,7434.390324302965,8644.324693915558
2025-02-23,8644.324693915558,8663.405735709635
2025-02-24,8663.405735709635,8895.62822186963
2025-02-25,8895.62822186963,8697.790464346668
2025-02-26,8697.790464346668,9070.809452455556
2025-02-27,9070.809452455556,7107.326692314817
2025-02-28,7107.326692314817,6686.870914695558
2025-03-01,6686.870914695558,8874.02805035333
2025-03-02,8874.02805035333,8580.442286649628
2025-03-03,8580.442286649628,8718.127859424443
2025-03-04,8718.127859424443,8632.54769822963
2025-03-05,8632.54769822963,8824.645618469633
2025-03-06,8824.645618469633,6946.313073055556
2025-03-07,6946.313073055556,5830.910609272595
2025-03-08,5830.910609272595,8828.262259542962
2025-03-09,8828.262259542962,8826.639043946669
2025-03-10,8826.639043946669,8744.765848716295
2025-03-11,8744.765848716295,8845.377745470374
2025-03-12,8845.377745470374,8648.039959318518
2025-03-13,8648.039959318518,5638.463005011854
2025-03-14,5638.463005011854,5228.107200914817
2025-03-15,5228.107200914817,8372.315729111111
2025-03-16,8372.315729111111,9036.00423722963
2025-03-17,9036.00423722963,9068.002049844448
2025-03-18,9068.002049844448,9028.698301314813
2025-03-19,9028.698301314813,9061.32675318519
2025-03-20,9061.32675318519,4831.075292907408
