朴素_总费用_元,对冲_总费用_元
14166391.145971237,13424727.426771674
14360966.295915056,13523731.234406011
14458008.509610537,13622743.364551267
14592546.07914813,13573967.555937793
14260277.679243557,13513985.266849883
14675755.35493786,13756896.339511942
14396260.439597826,13547367.034884844
14655322.002812002,13825648.65699719
14687612.838539615,13807815.502265455
14717784.02571744,13829620.506157268
14594752.421759414,13572338.901835503
14382466.071277967,13635614.05799366
14269486.770612897,13508754.247004136
14511956.585993089,13735627.707790341
14308976.78081839,13490699.023143925
14499550.130626695,13579468.371552095
14191119.565384401,13464708.7630496
14295250.233878162,13511590.200591113
14567446.101341883,13627930.117129289
14367073.820329657,13490315.67458514
14251093.901074354,13501947.287952367
14375090.410827486,13585062.234271087
14455611.622966075,13552164.337079996
14397991.77419833,13616745.278264912
14451698.835489843,13697383.009047145
14636559.809936766,13768866.667688442
14696629.953765575,13741481.353131173
14608054.043427264,13676276.492206924
14268614.807189178,13490490.24246556
14318306.756548008,13538142.869289301
14397274.531283725,13519266.28918974
14252822.899378985,13535744.704720315
14713737.45941619,13665647.13809606
14376537.569326261,13492226.414051002
14216230.2334616,13501985.11533244
14208308.459982311,13464551.624265261
14266552.094316756,13473845.268014165
14746138.132222164,13760008.666293673
14364716.719925996,13528218.071759244
14401798.34507498,13483125.046327861
14436499.055380316,13665753.867295057
14531429.221081993,13655820.472110977
14211877.739428302,13526983.551896302
14532954.730028635,13674676.14806084
14608912.562024632,13677047.867552433
14289695.121539868,13512246.424341299
14406915.32024743,13534516.5907574
14449634.723222932,13581772.880860973
14321561.96491312,13620780.057339856
14424129.05678336,13555750.559194228
14458218.651934348,13641542.41891536
14738059.268545287,13743812.19414604
14611752.355537558,13695301.370276306
14444738.605510253,13503872.316676859
14283658.209712984,13565772.276252067
14408101.760579137,13565883.03505644
14845495.913484298,13774134.986429313
14608665.885413673,13671403.50753631
14480310.730689947,13579069.600725506
14101086.141454117,13388262.48401144
14553957.893696574,13663905.875052437
14443088.038930118,13552213.814051433
14602491.076658469,13533334.234088786
14601122.899102964,13596692.618947454
14346224.001344249,13543223.98733845
14755655.85673649,13743588.729018247
14472987.465093108,13586365.300667563
14276830.342652742,13456198.0279546
14419747.581625413,13587957.644292334
14578784.718937295,13699751.569421485
14274884.40389488,13518805.732121112
14716437.563438218,13780651.586875355
14504399.51785243,13682739.643119432
14606944.96053952,13668504.958889011
14552328.745254282,13682056.827990012
14560326.759755356,13689763.491564624
14460946.615017964,13681970.185448281
14441368.768249204,13634467.151037347
14033906.504238352,13433230.388905553
14531606.978358258,13668337.315146139
14348321.848088965,13622231.456674237
14269089.318687318,13499926.341821993
14118308.98312243,13383621.945283426
14506691.985012528,13628938.13366451
14636966.666456025,13738288.828772517
14893509.068448268,13798285.042385917
14580591.820481539,13697153.53512404
14449902.918989204,13597433.872411322
14846874.843219124,13807670.354677552
14256092.832595019,13422755.050122757
14383556.198588911,13486856.736241475
14642114.454164058,13697626.90534998
14690851.938261002,13784545.33314698
14570220.242322223,13702599.447743677
14401869.971867513,13604731.591633651
14381532.778664032,13585933.577097496
14590475.269159412,13601923.854246072
14380309.062898269,13551533.700667884
14740704.75755515,13798157.882744603
14570707.80492339,13669092.614670806
