日期,紧急购电量_kWh
2025-02-01,9.497291841853439e-12
2025-02-02,9.677592061052565e-12
2025-02-03,1.3210765814619663e-11
2025-02-04,1.5219825399981346e-11
2025-02-05,6.437873333348769
2025-02-06,1.3642420526593924e-11
2025-02-07,8.810729923425242e-12
2025-02-08,2.0189183658203547e-11
2025-02-09,1.6219914300563687e-11
2025-02-10,1.2356338174868142e-11
2025-02-11,1.3270051724134646e-11
2025-02-12,1.3229417561433365e-11
2025-02-13,1.4375667323207608e-11
2025-02-14,1.892663803459982e-11
2025-02-15,19.703643843641057
2025-02-16,15.047493333356755
2025-02-17,1.6013190773378483e-11
2025-02-18,19.25666000001516
2025-02-19,148.9558315399306
2025-02-20,1.4296119843493216e-11
2025-02-21,9.499290243297764e-12
2025-02-22,1.49847911856682e-11
2025-02-23,1.8745449636980993e-11
2025-02-24,11.387393733350276
2025-02-25,15.06020666668045
2025-02-26,2.0728654903656718e-11
2025-02-27,850.3107263080158
2025-02-28,1.2546408356683969e-11
2025-03-01,1.2049472530861749e-11
2025-03-02,1383.4765740200253
2025-03-03,1.558625450925888e-11
2025-03-04,1.2405187987951649e-11
2025-03-05,1.1687539824833948e-11
2025-03-06,1.6501910948818477e-11
2025-03-07,1.1830536550405668e-11
2025-03-08,8.327560863108374e-12
2025-03-09,1.2674750138330637e-11
2025-03-10,1042.3777483346846
2025-03-11,1.770028568159887e-11
2025-03-12,1.1798562127296464e-11
2025-03-13,385.12620003734696
2025-03-14,1.6308066008718924e-11
2025-03-15,305.6020942415727
2025-03-16,1.6400000000170483
2025-03-17,1.5704770817137614e-11
2025-03-18,715.8084074533515
2025-03-19,103.26127393668664
2025-03-20,166.40897682001616
2025-03-21,50.02841666667773
2025-03-22,1.2724932219043694e-11
2025-03-23,1.84332549224564e-11
2025-03-24,1.7454981904307942e-11
2025-03-25,269.8588061880211
2025-03-26,1.269384597435419e-11
2025-03-27,1.5123458041443882e-11
2025-03-28,8.871126055964851e-12
2025-03-29,1.2143175354140112e-11
2025-03-30,1.637978641610971e-11
2025-03-31,866.1047532126878
2025-04-01,1.5494272531668685e-11
2025-04-02,631.4134450320184
2025-04-03,1.3220091688026514e-11
2025-04-04,1.0544787265587274e-11
2025-04-05,1.141842176366481e-11
2025-04-06,8.50919334993705e-12
2025-04-07,1.5867973601757512e-11
2025-04-08,1.693678530756415e-11
2025-04-09,1.2152057138337113e-11
2025-04-10,1.722677556159624e-11
2025-04-11,1.0214273871156365e-11
2025-04-12,9.268363854175732e-12
2025-04-13,1.481481604059809e-11
2025-04-14,44.14581960001381
2025-04-15,1.2152501227546963e-11
2025-04-16,1.4019896354966477e-11
2025-04-17,1.2168155372194178e-11
2025-04-18,9.043432669386675e-12
2025-04-19,4.617639604020951e-12
2025-04-20,1.5400680730692784e-11
2025-04-21,1.4075851595407585e-11
2025-04-22,1.8017032310524428e-11
2025-04-23,1.3414158672730991e-11
2025-04-24,1.6638600219831545e-11
2025-04-25,8.631317882645817e-12
2025-04-26,1.0306422382200253e-11
2025-04-27,1.749067557454964e-11
2025-04-28,84.8417289646852
2025-04-29,1.4428902517238384e-11
2025-04-30,1.3822359923310046e-11
2025-05-01,2159.5277255033475
2025-05-02,2256.264826487231
2025-05-03,163.03333605534104
2025-05-04,1752.797937647755
2025-05-05,1598.5619642403365
2025-05-06,1934.7180538600928
2025-05-07,1879.027848656277
2025-05-08,230.24741429467892
2025-05-09,1.2959411321844527e-11
2025-05-10,9.461542660460509e-12
2025-05-11,53.682781743349636
2025-05-12,1.5985435197762854e-11
2025-05-13,12.099987333347471
2025-05-14,1.631628165910115e-11
2025-05-15,1.3103296225835948e-11
2025-05-16,19.38872737667552
2025-05-17,1.1591089199569637e-11
2025-05-18,5.2366666666837345
2025-05-19,88.6467751766764
2025-05-20,38.913985345700894
2025-05-21,1.7283757758335128e-11
2025-05-22,39.039777576680066
2025-05-23,8.758327396662935e-12
2025-05-24,8.550493646453106e-12
2025-05-25,50.35822633334379
2025-05-26,209.1201506700183
2025-05-27,1.1631806628997765e-11
2025-05-28,1.6425527604724266e-11
2025-05-29,61.8782410433444
2025-05-30,8.375522497772181e-12
2025-05-31,7.214451258619192e-12
2025-06-01,9805.90692196729
2025-06-02,3621.178429609941
2025-06-03,2353.522226124679
2025-06-04,2388.5205056049567
2025-06-05,4091.228130694786
2025-06-06,4006.0939953061907
2025-06-07,2565.341878703713
2025-06-08,2140.288351888078
2025-06-09,157.6228396666808
2025-06-10,74.44305200001679
2025-06-11,1590.9050164033474
2025-06-12,1.9632628855958956e-11
2025-06-13,1.402267191252804e-11
2025-06-14,1.2969736395973541e-11
2025-06-15,46.05086233334975
2025-06-16,23.222060333356843
2025-06-17,838.0367416100149
2025-06-18,61.367233333347436
2025-06-19,112.57785200001464
2025-06-20,9.69768709779828e-12
2025-06-21,1.2315481967561936e-11
2025-06-22,75.24285200001918
2025-06-23,23.729429000017426
2025-06-24,3100.0998655700196
2025-06-25,14.145278666686599
2025-06-26,56.11116766668186
2025-06-27,1.1979750524915289e-11
2025-06-28,1.1579626146840383e-11
2025-06-29,7.8654130000194975
2025-06-30,95.30970000001662
2025-07-01,4727.836941451703
2025-07-02,3355.186277104082
2025-07-03,5464.777631360027
2025-07-04,5750.998529194121
2025-07-05,5053.443314178602
2025-07-06,5953.000783905388
2025-07-07,3204.3547228181155
2025-07-08,951.3410149696497
2025-07-09,147.84233846667695
2025-07-10,257.6577336666797
2025-07-11,56.57365562963932
