配置,lam,kappa,margin,开发期(2-6月)/万元,冻结验证期(7-12月)/万元,全年描述值/万元,开发期选中,验证期排名,阶段
λ=0.7 κ=1.01 m=0,0.7,1.01,0.0,550.5,795.2,1345.7,True,3,粗筛κ×m
λ=0.7 κ=1.01 m=25,0.7,1.01,25.0,550.8,795.0,1345.8,False,1,粗筛κ×m
λ=0.7 κ=1.015 m=0,0.7,1.015,0.0,550.9,795.1,1346.0,False,2,粗筛κ×m
λ=0.7 κ=1.01 m=50,0.7,1.01,50.0,551.2,795.2,1346.4,False,3,粗筛κ×m
λ=0.7 κ=1.015 m=25,0.7,1.015,25.0,551.4,795.5,1346.9,False,5,粗筛κ×m
λ=0.7 κ=1.01 m=75,0.7,1.01,75.0,551.7,795.6,1347.3,False,6,粗筛κ×m
λ=0.7 κ=1.02 m=0,0.7,1.02,0.0,551.9,796.2,1348.1,False,8,粗筛κ×m
λ=0.7 κ=1.015 m=50,0.7,1.015,50.0,552.0,795.9,1347.9,False,7,粗筛κ×m
λ=0.7 κ=1 m=25,0.7,1.0,25.0,552.4,797.7,1350.2,False,14,粗筛κ×m
λ=0.7 κ=1.02 m=25,0.7,1.02,25.0,552.5,796.8,1349.2,False,10,粗筛κ×m
λ=0.7 κ=1 m=50,0.7,1.0,50.0,552.5,797.4,1349.9,False,13,粗筛κ×m
λ=0.7 κ=1.015 m=75,0.7,1.015,75.0,552.6,796.4,1349.0,False,9,粗筛κ×m
λ=0.7 κ=1 m=75,0.7,1.0,75.0,552.6,797.1,1349.7,False,11,粗筛κ×m
λ=0.7 κ=1 m=0,0.7,1.0,0.0,552.6,798.3,1350.9,False,16,粗筛κ×m
λ=0.7 κ=1.02 m=50,0.7,1.02,50.0,553.2,797.3,1350.5,False,12,粗筛κ×m
λ=0.7 κ=1.02 m=75,0.7,1.02,75.0,554.0,797.9,1351.9,False,15,粗筛κ×m
λ=0.7 κ=1.01 m=0,0.7,1.01,0.0,550.5,795.2,1345.7,True,3,细选λ
λ=0.5 κ=1.01 m=0,0.5,1.01,0.0,550.6,792.9,1343.5,False,1,细选λ
λ=0.3 κ=1.01 m=0,0.3,1.01,0.0,553.2,794.1,1347.3,False,2,细选λ
λ=0.9 κ=1.01 m=0,0.9,1.01,0.0,553.3,799.3,1352.6,False,4,细选λ
λ=1 κ=1.01 m=0,1.0,1.01,0.0,555.5,802.9,1358.4,False,5,细选λ
