日期,主方案紧急量/kWh,官方三点紧急量/kWh
2025-02-01,1.1507239605634823e-11,1.1892709039784677e-11
2025-02-02,1.0132339411939029e-11,9.82525172332771e-12
2025-02-03,1.5518253349000588e-11,1.5079493209668726e-11
2025-02-04,1.559863349598345e-11,1.5063505998114124e-11
2025-02-05,1.821831574488897e-11,1.716493613912462e-11
2025-02-06,1.736921717565565e-11,1.9412027540965937e-11
2025-02-07,1.043076736095827e-11,1.2896350654045818e-11
2025-02-08,2.205435833957381e-11,2.211653082895282e-11
2025-02-09,2.0875745576631743e-11,1.7473134050760564e-11
2025-02-10,1.290345608140342e-11,22.70532366668231
2025-02-11,1.2059464538083375e-11,39.03089646667936
2025-02-12,16.390148866685635,46.54451666668559
2025-02-13,1.0957068585781826e-11,62.71375006667706
2025-02-14,2.1070034605941146e-11,1.7908785565623475e-11
2025-02-15,1.797428872407636e-11,1.7157497644859632e-11
2025-02-16,689.0140891105838,80.38146666669377
2025-02-17,1.982614072915112e-11,35.31850000002204
2025-02-18,26.14722378890929,19.256660000023338
2025-02-19,66.57396083335018,118.61357333335015
2025-02-20,11.613194866683441,59.139200000014974
2025-02-21,1.3282930311220298e-11,1.1179057679555626e-11
2025-02-22,1.3893108885554284e-11,1.465338961281759e-11
2025-02-23,2.5119906155168792e-11,0.6787383444684738
2025-02-24,22.232965266686286,19.099813177800915
2025-02-25,38.06824666668504,77.838780000023
2025-02-26,2.346434158084776e-11,7.421419444468475
2025-02-27,302.9680985575732,68.10371666668514
2025-02-28,1.731237375679484e-11,1.703026608623759e-11
2025-03-01,1.1524559084818975e-11,1.936717453077108e-11
2025-03-02,2.133759835487581e-11,1.4411583038054232e-11
2025-03-03,1.812178185289781e-11,2.062755521947679e-11
2025-03-04,1.5136336628529534e-11,1.77307057924736e-11
2025-03-05,1.8530621481716025e-11,3.3316333333529418
2025-03-06,1.9469759138246445e-11,1.9112267324317145e-11
2025-03-07,1.4093615163801587e-11,1.4274803561420413e-11
2025-03-08,1.1154410728408948e-11,1.2819523220741758e-11
2025-03-09,1.617594946878853e-11,2.212852123761877e-11
2025-03-10,2.1120216686654203e-11,1.917954683960943e-11
2025-03-11,2.0721868665418697e-11,1.9801715822609367e-11
