时段,日内均值
0,0.4248183561643835
1,0.4245104109589041
2,0.42693643835616435
3,0.4272427397260274
4,0.42708684931506846
5,0.4285232876712329
6,0.43110657534246577
7,0.43015561643835615
8,0.427938904109589
9,0.43124493150684934
10,0.4332564383561644
11,0.4310969863013699
12,0.42934438356164384
13,0.4323580821917808
14,0.4366802739726028
15,0.43480712328767124
16,0.4335205479452055
17,0.4357235616438357
18,0.43741835616438357
19,0.43707972602739725
20,0.4356424657534247
21,0.43526904109589043
22,0.43601917808219176
23,0.43782547945205486
24,0.4401183561643835
25,0.43885315068493147
26,0.4363734246575342
27,0.43928410958904107
28,0.4422408219178082
29,0.4395035616438355
30,0.4332564383561644
31,0.44385479452054794
32,0.4300843835616438
33,0.3712602739726027
34,0.5708342465753424
35,0.9098520547945206
36,0.9368282191780823
37,0.8758098630136986
38,0.875863287671233
39,0.8601454794520548
40,0.8441986301369863
41,0.8334449315068493
42,0.8091994520547945
43,0.7971865753424657
44,0.7644364383561645
45,0.6898906849315067
46,0.859966301369863
47,1.161682191780822
48,1.1682860273972602
49,1.0956
50,1.0849008219178082
51,1.061024383561644
52,1.0430260273972602
53,1.0359882191780823
54,1.014678082191781
55,0.9922032876712329
56,0.9700057534246576
57,0.9422043835616437
58,0.9569432876712329
59,0.9976506849315068
60,0.9919515068493151
61,0.95878
62,0.9548854794520547
63,0.9839383561643836
64,0.7990120547945206
65,0.5025016438356165
66,0.46624027397260276
67,0.5006649315068493
68,0.48273972602739723
69,0.47846082191780825
70,0.4661709589041096
71,0.4431909589041096
72,0.4411427397260274
73,0.45507616438356163
74,0.44629369863013696
75,0.411341095890411
76,0.5682405479452055
77,0.8278586301369864
78,0.8635953424657535
79,0.8415671232876712
80,0.8617860273972603
81,0.862324109589041
82,0.9025854794520549
83,0.9754490410958903
84,1.000205479452055
85,0.9977819178082192
86,1.0270865753424658
87,1.0906063013698628
88,0.9376180821917808
89,0.6694043835616439
90,0.6599739726027397
91,0.7217131506849315
92,0.730755890410959
93,0.7534054794520548
94,0.7823328767123289
95,0.8055224657534248
96,0.8271400000000001
97,0.8519134246575343
98,0.8790728767123286
99,0.9024243835616439
100,0.9162898630136989
101,0.9263846575342466
102,0.9461676712328769
103,0.9741663013698629
104,0.9862210958904108
105,0.9759786301369864
106,1.0741761643835617
107,1.2312750684931506
108,1.2560512328767124
109,1.2446528767123288
110,1.2545246575342466
111,1.252178904109589
112,1.2881276712328769
113,1.3465827397260275
114,1.352309315068493
115,1.3444901369863012
116,1.3482487671232877
117,1.3489506849315067
118,1.3473123287671234
119,1.348163287671233
120,1.3513334246575344
121,1.3400183561643835
122,1.3489093150684932
123,1.3952457534246576
124,1.2226331506849317
125,0.9331597260273973
126,0.9068391780821917
127,0.9371194520547946
128,0.9370676712328767
129,0.9870958904109588
130,0.7764457534246576
131,0.4209175342465754
132,0.385867397260274
133,0.43682164383561645
134,0.41980246575342467
135,0.41858493150684933
136,0.42405123287671237
137,0.42366575342465757
138,0.42478191780821917
139,0.42404575342465756
140,0.4220134246575342
141,0.42401698630136986
142,0.4271490410958904
143,0.4275789041095891
