日期,H紧急量/kWh,G紧急量/kWh
2025-02-01,9.952039192739903e-12,7.893241615875013e-12
2025-02-02,8.995471034722868e-12,6.908251748427574e-12
2025-02-03,1.3210765814619663e-11,1.0379475057220588e-11
2025-02-04,1.2526868431450566e-11,1.1503686891956022e-11
2025-02-05,6.4378733333483,6.437873333346914
2025-02-06,1.3415046851150692e-11,1.4256373859211635e-11
2025-02-07,9.237055564881302e-12,1.0402345651527867e-11
2025-02-08,1.965538842796377e-11,1.3232082096692466e-11
2025-02-09,1.340616506695369e-11,1.1445067116255814e-11
2025-02-10,1.1219469797651982e-11,1.2157386208855314e-11
2025-02-11,1.3213208305273838e-11,1.4314549545701993e-11
2025-02-12,1.3456791236876597e-11,1.4853895891064894e-11
2025-02-13,1.5500989380967667e-11,1.0163925256989614e-11
2025-02-14,1.781241820708601e-11,1.5197620939488843e-11
2025-02-15,1.484896927639312e-11,1.7348858460941585e-11
2025-02-16,15.047493333357096,15.047493333354424
2025-02-17,1.5942136499802473e-11,1.5660694963059996e-11
2025-02-18,19.256660000015003,1.467714838554457e-11
2025-02-19,35.841456666681964,110.56751796601417
2025-02-20,1.2612133559741778e-11,1.3198331316743861e-11
2025-02-21,9.32875998671534e-12,1.0859591004219737e-11
2025-02-22,1.413213990275608e-11,1.317135289724547e-11
2025-02-23,1.7835954935208065e-11,1.5757617433109772e-11
2025-02-24,21.018248466682355,21.018248466679516
2025-02-25,15.060206666679063,15.060206666678303
2025-02-26,2.002344123841482e-11,1.8772886023477042e-11
2025-02-27,849.9624519140153,849.9624519140103
2025-02-28,1.319389042464536e-11,1.3694823053356231e-11
2025-03-01,1.1708412017696901e-11,1.4085177468814436e-11
2025-03-02,1269.9567768053594,1415.3455506346927
2025-03-03,1.4858836383524476e-11,1.6258605572971874e-11
2025-03-04,1.3776535467968642e-11,1.2888357048268517e-11
2025-03-05,1.2255974013442028e-11,1.3801404463720246e-11
2025-03-06,1.7974177701773897e-11,1.5841661316073896e-11
2025-03-07,1.0693668173189508e-11,1.1874057292970974e-11
2025-03-08,8.703482379246452e-12,1.095590285160597e-11
2025-03-09,1.4880985332865748e-11,1.1844830671847717e-11
2025-03-10,1042.3777483346844,1113.006276105352
2025-03-11,1.6632473176514395e-11,1.7215118219837677e-11
2025-03-12,1.1435297153639112e-11,1.1573852987112332e-11
2025-03-13,385.1262000373477,431.86156889401167
2025-03-14,1.2739365118363821e-11,1.1487033546586645e-11
2025-03-15,117.9253442333424,131.42806259334216
2025-03-16,1.6400000000171158,1.6400000000175474
2025-03-17,1.4517276269998547e-11,1.339905963959609e-11
2025-03-18,715.8084074533484,715.8084074533506
2025-03-19,101.4739240500201,103.26127393668294
2025-03-20,170.20784748668044,173.55062462001294
2025-03-21,50.028416666677096,50.02841666667695
2025-03-22,1.1815437517270766e-11,9.9333874459262e-12
2025-03-23,1.652455949852083e-11,1.5285550603039155e-11
2025-03-24,1.3973322499083451e-11,1.6485091069995406e-11
2025-03-25,260.94205316535556,286.60770794469113
2025-03-26,1.4376055901266227e-11,1.0045297926808416e-11
2025-03-27,1.3942180743242716e-11,1.3168577339683907e-11
2025-03-28,8.705924869900628e-12,7.284617353775502e-12
2025-03-29,9.778844400898379e-12,1.0302869668521453e-11
2025-03-30,1.5628387473043404e-11,1.2450485087356356e-11
2025-03-31,858.3232041466852,863.4756082513495
2025-04-01,1.5631052008302504e-11,1.531708093693851e-11
2025-04-02,685.7410990440185,654.4833461480158
2025-04-03,1.2116974090758958e-11,1.0937112326914189e-11
2025-04-04,1.086541967509902e-11,1.0521472582070146e-11
2025-04-05,1.0270895245412248e-11,1.2634338020234281e-11
2025-04-06,8.827161224189695e-12,7.508660360144859e-12
2025-04-07,1.568167817822541e-11,1.3693712830331606e-11
2025-04-08,1.5207723969012932e-11,1.029965002175004e-11
2025-04-09,1.2516210290414165e-11,1.2500132873238812e-11
2025-04-10,1.5976220346658465e-11,1.083011458291594e-11
2025-04-11,9.034772929794599e-12,7.638334409421077e-12
2025-04-12,9.552580948479772e-12,9.217737684252825e-12
2025-04-13,1.4518164448418247e-11,1.2721379505364894e-11
2025-04-14,44.145819600013674,1.0932588168088841e-11
2025-04-15,1.1084466677857563e-11,8.402611939573035e-12
2025-04-16,1.6132872815433075e-11,1.5337509040591613e-11
2025-04-17,1.05538910943892e-11,1.2259859794028216e-11
2025-04-18,9.270806344829907e-12,7.65609797781508e-12
2025-04-19,5.058842234006988e-12,7.309930438736956e-12
2025-04-20,1.644517855226013e-11,1.446665010007564e-11
2025-04-21,1.432809426660242e-11,1.3553602684623911e-11
2025-04-22,1.7698731369364396e-11,1.5266010677805752e-11
2025-04-23,1.3527845510452607e-11,9.108269694024784e-12
2025-04-24,1.6046719508722163e-11,1.2993855991183523e-11
2025-04-25,8.997247391562269e-12,1.2223999590332824e-11
2025-04-26,8.669509554692922e-12,1.2891021583527618e-11
2025-04-27,1.9807044893127568e-11,1.5604184611106575e-11
2025-04-28,32.731830631352054,104.01461603201471
2025-04-29,1.63158375698913e-11,1.0984713139094993e-11
2025-04-30,1.3436363133223495e-11,1.2877698907232116e-11
2025-05-01,1371.958123150014,2031.1224325933442
2025-05-02,1602.2917196246792,1552.287699291347
2025-05-03,141.46806452200636,141.4680645220055
2025-05-04,1304.3965377333518,1639.337787400014
2025-05-05,1121.0571474000067,1104.7908520000062
2025-05-06,1204.837078066676,1784.931209066674
2025-05-07,1480.7415637706772,1644.875927170673
2025-05-08,268.0864296946754,82.43748333334486
2025-05-09,1.1357137452705501e-11,1.0895284674461436e-11
2025-05-10,9.299561121167699e-12,8.33888513795955e-12
2025-05-11,53.682781743349594,59.39631702668355
2025-05-12,1.5260681607287552e-11,1.0691891816350108e-11
2025-05-13,12.099987333344924,1.0715872633682011e-11
2025-05-14,9.749534513048275e-12,1.347943978657895e-11
2025-05-15,1.3852918812062853e-11,1.0584422227566392e-11
2025-05-16,9.283684931915559e-12,8.046008304063434e-12
2025-05-17,1.153602213754823e-11,1.097380519787805e-11
2025-05-18,5.2366666666835355,5.236666666682612
2025-05-19,79.23650000001112,79.23650000000657
2025-05-20,1.709477004396831e-11,1.759747902951858e-11
2025-05-21,1.8917117872163658e-11,1.4233308975875048e-11
2025-05-22,39.03977757667864,38.614121590010235
2025-05-23,8.928857653245359e-12,145.36080162667383
2025-05-24,1.0198952793416538e-11,74.15767557667512
2025-05-25,50.35822633334164,22.516785676679937
2025-05-26,1.8389734179891093e-11,269.1241136033459
2025-05-27,1.109534686349889e-11,9.362510766663945e-12
2025-05-28,1.474154132097283e-11,1.4417356197782283e-11
2025-05-29,61.87824104334065,17.81743333334357
2025-05-30,8.929745831665059e-12,7.744027641365392e-12
2025-05-31,7.782885447227272e-12,5.432765348700741e-12
2025-06-01,8596.754847606675,10020.31095948667
2025-06-02,2515.9134790540143,3804.051075984011
2025-06-03,1400.2679720666763,1738.5416578000052
2025-06-04,1436.2418906666815,2455.8691722826825
2025-06-05,3858.335107013348,4033.173119486677
2025-06-06,3763.1318533286744,5057.776715153341
2025-06-07,1553.3275663333443,2735.231045086676
2025-06-08,2123.989126466675,1439.2576913426724
2025-06-09,140.79503633334323,159.67501466667616
2025-06-10,37.15545166667811,49.66994900001099
2025-06-11,1607.1452962966764,1623.7127720866747
2025-06-12,1.5392909169520408e-11,1.5328960323302e-11
2025-06-13,1.0409784145792855e-11,1.0086709245626935e-11
2025-06-14,1.0622058788101185e-11,8.394285266888346e-12
2025-06-15,43.316653666684374,46.05086233334689
2025-06-16,16.33171333335033,16.331713333348464
2025-06-17,828.4682241900159,1028.619189526681
2025-06-18,34.00504800001069,61.367233333344274
2025-06-19,112.57785200000986,112.5778520000091
2025-06-20,7.49500461694197e-12,7.327138895618646e-12
2025-06-21,9.688472246693891e-12,8.883158097994226e-12
2025-06-22,54.51145200001891,65.01943766668312
2025-06-23,23.729429000014857,23.729429000014612
2025-06-24,3119.501904303349,3156.0722114800137
2025-06-25,14.145278666685257,14.145278666680547
2025-06-26,56.11116766667742,56.953753000010295
2025-06-27,7.8026474170656e-12,9.57012247226885e-12
2025-06-28,8.463896250532343e-12,7.712497307466037e-12
2025-06-29,7.865413000019277,13.671151666682412
2025-06-30,29.339316666680446,95.30970000001113
2025-07-01,3244.0197665566766,3271.372573329244
2025-07-02,2921.1066020266726,2478.2702242966725
2025-07-03,5160.710231296681,5347.016421473347
2025-07-04,5571.304366766672,4752.560970950671
2025-07-05,3722.531502693336,4026.9548477420067
2025-07-06,4553.342289373335,5440.130054145334
2025-07-07,2024.560539266672,3178.7642837333356
2025-07-08,555.2336684206784,893.9337643046732
2025-07-09,87.33206526667215,292.2492028093387
2025-07-10,327.04205651200533,327.0420565120066
2025-07-11,193.44360116667121,94.99116144934013
2025-07-12,298.7197858700079,793.6857360746721
2025-07-13,156.211753933343,216.77406726667581
2025-07-14,257.1001464000032,257.1001464000038
2025-07-15,5.464962933346997,19.681410666679316
2025-07-16,73.4035563333423,123.33133633334212
2025-07-17,29.53455266668076,29.534552666677506
2025-07-18,6.6560090772327385e-12,6.747491454461851e-12
2025-07-19,6.1317617650047396e-12,5.329070518200751e-12
2025-07-20,9.53792600455472e-12,11.909984000010308
2025-07-21,11.915885666679221,11.915885666678793
2025-07-22,83.04926233334429,83.04926233334308
2025-07-23,38.40672366667614,38.40672366667384
2025-07-24,19.59286666667961,19.59286666668175
2025-07-25,6.573408484200627e-12,6.694200749279844e-12
2025-07-26,6.558642517973112e-12,6.7625904875967535e-12
2025-07-27,128.81401453000797,15.600300000013476
2025-07-28,9.526617000019703,9.526617000020222
2025-07-29,27.52299886667811,74.01063220001073
2025-07-30,1.0361933533431511e-11,8.37241387330323e-12
2025-07-31,0.5206133333459042,0.5206133333447283
2025-08-01,6.853628775616016e-12,6.6067151749393815e-12
2025-08-02,8.640199666842818e-12,3.956894626006526
2025-08-03,140.28639160001117,139.59361720001112
2025-08-04,1.7223802666761565,32.47614026667574
2025-08-05,0.09546953334140795,0.09546953333926567
2025-08-06,1.6353585152728556e-11,1.5230927630227598e-11
2025-08-07,24.966229133341837,24.96622913334133
2025-08-08,9.71711600072922e-12,8.132161610774347e-12
2025-08-09,4.672706666042359e-12,47.88124984867267
2025-08-10,1.2292389328649733e-11,1.1112888387287967e-11
2025-08-11,108.33172913334163,205.39479200400507
2025-08-12,41.705894666676535,40.84604460001152
2025-08-13,36.57875226667842,60.83953893334201
