星期,时刻_h,小区负载,光伏出力,实时电价
周一,0.083,3730.6054,0.0,0.4526
周一,0.25,3716.0721,0.0,0.4498
周一,0.417,3693.8321,0.0,0.4518
周一,0.583,3695.2808,0.0,0.4545
周一,0.75,3715.362,0.0,0.4547
周一,0.917,3741.4925,0.0,0.4538
周一,1.083,3757.5979,0.0,0.4553
周一,1.25,3729.5271,0.0,0.4559
周一,1.417,3701.414,0.0,0.4563
周一,1.583,3753.068,0.0,0.4609
周一,1.75,3781.3881,0.0,0.465
周一,1.917,3766.0265,0.0,0.4627
周一,2.083,3783.6944,0.0,0.4544
周一,2.25,3784.7166,0.0,0.4617
周一,2.417,3753.3883,0.0,0.474
周一,2.583,3736.0146,0.0,0.4597
周一,2.75,3757.1441,0.0,0.4528
周一,2.917,3793.2675,0.0,0.4631
周一,3.083,3800.1609,0.0002,0.4669
周一,3.25,3815.2077,0.0,0.4684
周一,3.417,3826.9479,0.0,0.4681
周一,3.583,3787.4139,0.003,0.4605
周一,3.75,3777.2422,0.0012,0.4599
周一,3.917,3814.7221,0.0,0.4671
周一,4.083,3836.7314,0.0421,0.4679
周一,4.25,3836.2317,0.0167,0.4657
周一,4.417,3836.6446,0.0,0.465
周一,4.583,3858.9247,0.5862,0.4662
周一,4.75,3855.4064,0.2333,0.4671
周一,4.917,3825.2404,0.282,0.4654
周一,5.083,3824.1316,18.2756,0.4625
周一,5.25,3871.6922,53.4427,0.4725
周一,5.417,3847.0063,107.2442,0.4536
周一,5.583,3706.9012,181.8974,0.3935
周一,5.75,4188.8944,273.3099,0.6066
周一,5.917,5010.4117,384.6368,0.9662
周一,6.083,5084.8621,521.1705,1.0006
周一,6.25,4950.7727,675.2856,0.9403
周一,6.417,4983.4163,846.7608,0.9411
周一,6.583,5009.4452,1042.5197,0.9246
周一,6.75,4993.8451,1266.8618,0.9003
周一,6.917,4969.8985,1520.0055,0.8785
周一,7.083,4985.0807,1798.706,0.8531
周一,7.25,5029.2139,2099.531,0.8449
周一,7.417,4959.2406,2412.0822,0.8112
周一,7.583,4784.7679,2721.9117,0.7293
周一,7.75,5523.4307,3035.8906,0.9164
周一,7.917,6733.2165,3341.3149,1.2507
周一,8.083,6857.4791,3618.4247,1.2638
周一,8.25,6693.8654,3916.3244,1.1869
周一,8.417,6760.6129,4234.381,1.178
周一,8.583,6767.386,4523.9363,1.1602
周一,8.75,6734.3619,4811.0257,1.1307
周一,8.917,6714.0446,5092.8483,1.1048
周一,9.083,6704.3813,5336.7782,1.0891
周一,9.25,6704.7592,5581.6276,1.0709
周一,9.417,6703.6548,5833.3031,1.0451
周一,9.583,6686.303,6058.9578,1.0231
周一,9.75,6671.6516,6274.9868,1.0341
周一,9.917,6668.4625,6489.6397,1.0604
周一,10.083,6668.9882,6688.374,1.051
周一,10.25,6673.7931,6850.982,1.0267
周一,10.417,6671.4485,6988.3882,1.0311
周一,10.583,6644.2451,7133.5373,1.054
周一,10.75,6606.9871,7277.9621,0.8669
周一,10.917,6594.7181,7397.418,0.5753
周一,11.083,6629.3744,7476.3038,0.5364
周一,11.25,6636.7414,7551.3996,0.5673
周一,11.417,6611.5294,7616.4454,0.5506
周一,11.583,6589.9514,7628.6126,0.5494
周一,11.75,6415.0268,7621.9968,0.534
周一,11.917,6180.1831,7614.8618,0.506
周一,12.083,6162.5482,7590.3872,0.5089
周一,12.25,6182.9038,7534.5475,0.5259
周一,12.417,6121.4473,7443.6974,0.5163
周一,12.583,6067.716,7332.6622,0.486
周一,12.75,6226.2442,7250.2859,0.6463
周一,12.917,6483.001,7192.2577,0.9047
周一,13.083,6507.5354,7102.6809,0.9389
周一,13.25,6476.2201,6967.8408,0.9206
周一,13.417,6491.5262,6837.5423,0.9462
周一,13.583,6476.0589,6766.2741,0.9442
周一,13.75,6449.4722,6625.566,0.9768
周一,13.917,6432.9752,6411.1954,1.0421
周一,14.083,6424.5743,6241.7431,1.0634
周一,14.25,6428.306,6048.146,1.0641
周一,14.417,6427.919,5789.7209,1.0984
周一,14.583,6405.68,5505.6134,1.1611
周一,14.75,6422.2381,5243.2924,1.0105
周一,14.917,6467.8423,4998.3829,0.7496
周一,15.083,6467.1849,4730.0307,0.7435
周一,15.25,6442.8027,4461.7357,0.7997
周一,15.417,6422.7044,4187.4425,0.8049
周一,15.583,6410.8172,3874.0447,0.8394
周一,15.75,6395.7482,3563.0547,0.8682
周一,15.917,6387.0915,3267.6793,0.8801
周一,16.083,6405.7302,2960.8351,0.9065
周一,16.25,6421.0432,2644.4798,0.9319
周一,16.417,6428.64,2335.8252,0.951
周一,16.583,6448.0707,2049.6473,0.9774
周一,16.75,6440.3996,1762.6578,1.0062
周一,16.917,6425.8463,1477.6695,1.0294
周一,17.083,6455.6155,1227.3396,1.0448
周一,17.25,6420.3499,1010.5899,1.0668
周一,17.417,6450.4181,819.7998,1.082
周一,17.583,6639.8176,652.0465,1.0765
周一,17.75,5894.4109,506.7202,1.1522
周一,17.917,4641.6531,379.8851,1.2728
周一,18.083,4509.9766,267.9692,1.2907
周一,18.25,4685.0073,175.893,1.2804
周一,18.417,4634.5575,105.0462,1.2882
周一,18.583,4653.3961,52.6404,1.292
周一,18.75,4696.2729,17.7697,1.3343
周一,18.917,4708.9629,0.2726,1.3931
周一,19.083,4713.2945,0.232,1.3952
周一,19.25,4693.3797,0.5676,1.3853
周一,19.417,4675.7071,0.0,1.3899
周一,19.583,4710.7461,0.0166,1.3919
周一,19.75,4736.6045,0.0407,1.3906
周一,19.917,4724.6373,0.0,1.3896
周一,20.083,4709.5517,0.0012,1.3887
周一,20.25,4729.1204,0.0029,1.378
