时刻_h,小区负载_均值,小区负载_P25,小区负载_P75,小区负载_附件1,光伏出力_均值,光伏出力_P25,光伏出力_P75,光伏出力_附件1,实时电价_均值,实时电价_P25,实时电价_P75,实时电价_附件1
0.083,3439.8466342465763,3288.8805,3695.8008,3439.8466,0.0,0.0,0.0,0.0,0.4248183561643835,0.3845,0.4636,0.4248
0.25,3437.9792413698638,3247.762,3667.3643,3437.9792,0.0,0.0,0.0,0.0,0.4245104109589041,0.3875,0.459,0.4245
0.417,3444.3030958904105,3217.56,3698.67,3444.3031,0.0,0.0,0.0,0.0,0.42693643835616435,0.3861,0.4701,0.4269
0.583,3454.443659726027,3277.6123,3687.5239,3454.4437,0.0,0.0,0.0,0.0,0.4272427397260274,0.3855,0.467,0.4272
0.75,3458.827338356165,3272.2996,3697.9927,3458.8273,0.0,0.0,0.0,0.0,0.42708684931506846,0.3861,0.4676,0.4271
0.917,3459.8400547945207,3255.66,3753.15,3459.8401,0.0,0.0,0.0,0.0,0.4285232876712329,0.3794,0.4695,0.4285
1.083,3467.1581654794522,3279.2818,3748.198,3467.1582,0.0,0.0,0.0,0.0,0.43110657534246577,0.3907,0.4675,0.4311
1.25,3467.963179726027,3282.7104,3739.7369,3467.9632,0.0,0.0,0.0,0.0,0.43015561643835615,0.3854,0.4676,0.4302
1.417,3466.9682739726027,3260.08,3778.38,3466.9683,0.0,0.0,0.0,0.0,0.427938904109589,0.3819,0.4672,0.4279
1.583,3482.492672054794,3310.2527,3782.4675,3482.4927,0.0,0.0,0.0,0.0,0.43124493150684934,0.394,0.4691,0.4312
1.75,3495.08410109589,3248.5167,3797.2685,3495.0841,0.0,0.0,0.0,0.0,0.4332564383561644,0.3904,0.475,0.4333
1.917,3498.4443013698633,3284.26,3793.01,3498.4443,0.0,0.0,0.0,0.0,0.4310969863013699,0.3924,0.4683,0.4311
2.083,3505.2294761643834,3291.7475,3807.5496,3505.2295,0.0,0.0,0.0,0.0,0.42934438356164384,0.3954,0.4713,0.4293
2.25,3512.638685479452,3332.636,3838.4725,3512.6387,0.0,0.0,0.0,0.0,0.4323580821917808,0.3939,0.4739,0.4324
2.417,3516.8684657534245,3305.73,3825.6,3516.8685,0.0,0.0,0.0,0.0,0.4366802739726028,0.4026,0.4731,0.4367
