朴素_总费用_元,对冲_总费用_元,朴素_紧急费_元,对冲_紧急费_元
14186452.536006682,13997161.04171864,1875522.8620943942,136692.14099860872
14294246.681097051,13974980.497715032,1983317.0071847637,114511.59699500179
14155184.57883916,13969673.378312986,1844254.9049268728,109204.4775929564
14029418.320775952,13984564.810115995,1718488.6468636654,124095.90939596428
14166695.315689571,13941181.43523393,1855765.6417772854,80712.53451389959
13962384.604637789,13974905.791490851,1651454.9307255016,114436.8907708211
14308075.241264833,14062407.87717227,1997145.5673525466,201938.97645224122
14311019.546295337,13983000.665786766,2000089.8723830504,122531.76506673604
14192240.55185341,13933998.676043568,1881310.877941125,73529.7753235382
14221201.577673985,14006886.749469073,1910271.9037616972,146417.8487490426
14105763.96533232,13964351.119290877,1794834.2914200337,103882.21857084634
14211476.536598314,14019567.04603805,1900546.8626860261,159098.14531801964
14007392.176481348,13975854.004575785,1696462.5025690605,115385.10385575437
14003934.304478409,13965318.826075278,1693004.6305661225,104849.9253552474
14097134.263281785,13996025.717530299,1786204.5893694984,135556.81681026917
14234657.791339995,14007439.288286759,1923728.1174277093,146970.38756672826
14356433.717314862,14028144.385970414,2045504.0434025747,167675.48525038362
14323146.882658817,13992134.940597577,2012217.2087465308,131666.03987754777
14057704.63593956,13980355.675059076,1746774.9620272738,119886.77433904681
14178658.191323146,13969723.10931492,1867728.5174108585,109254.2085948903
14061067.187973063,13964681.688399345,1750137.514060776,104212.78767931472
14013097.325202491,13974355.424941603,1702167.6512902046,113886.52422157355
14253068.857634202,14046278.88954349,1942139.1837219142,185809.98882346106
14292911.674376512,14017204.871211337,1981982.0004642254,156735.97049130598
14287011.850432388,14023125.715799926,1976082.1765201022,162656.81507989645
14053800.24022379,13986872.635882601,1742870.566311503,126403.73516257115
14190121.913058642,13982481.57570918,1879192.2391463565,122012.67498915104
14259627.307962282,13985713.723899813,1948697.634049995,125244.82317978333
13928276.469997179,13949283.786609545,1617346.796084893,88814.88588951527
14360274.18123326,13993529.220688615,2049344.5073209738,133060.31996858545
14312542.427035231,13975051.205602992,2001612.7531229446,114582.30488296259
14038584.076591326,13967912.638882784,1727654.4026790387,107443.73816275338
14075983.810109189,13965665.015646754,1765054.1361969023,105196.11492672424
14251294.814783197,14022511.824922413,1940365.14087091,162042.92420238265
14232331.159188934,13983300.73837943,1921401.485276646,122831.8376593997
14204417.265300436,13988359.699122302,1893487.5913881497,127890.79840227295
14053751.333771888,13996936.921180414,1742821.659859602,136468.0204603835
14168585.121965524,13968815.969120305,1857655.4480532375,108347.06840027537
14295449.69717485,14029262.034082515,1984520.0232625643,168793.13336248527
14351123.851546694,14048310.272475854,2040194.1776344061,187841.37175582413
14440816.168350391,14017709.750292514,2129886.4944381034,157240.8495724838
14281686.28285222,14032747.13314642,1970756.6089399324,172278.2324263898
14297091.921625337,14018298.967448326,1986162.2477130492,157830.06672829503
14133339.95675846,13955671.598866753,1822410.2828461733,95202.69814672372
14058731.163043907,14017437.951681037,1747801.4891316209,156969.05096100725
13967936.055131223,13979833.408410173,1657006.381218937,119364.50769014216
14054195.34504931,13985527.29453799,1743265.6711370237,125058.39381795889
14266237.160079869,13995760.82321554,1955307.4861675815,135291.92249551116
14145817.092833878,13990140.450263424,1834887.4189215915,129671.5495433929
14177525.332980119,14004375.87938065,1866595.6590678312,143906.97866062055
14073053.52384144,13971711.719291292,1762123.849929153,111242.81857126165
14211543.08016821,13969888.529332424,1900613.4062559223,109419.62861239284
14407514.960120453,14056484.021963514,2096585.286208166,196015.12124348522
14287416.333191963,13977066.074183563,1976486.6592796755,116597.17346353362
14252924.402820295,13963974.065456878,1941994.7289080077,103505.16473684784
14335183.785194486,13980523.4295611,2024254.1112822,120054.52884107019
14156128.31979948,13955667.705100747,1845198.6458871926,95198.8043807167
14122108.676588591,14008829.3434278,1811179.0026763047,148360.44270776925
14051961.372376623,13959485.723718498,1741031.6984643356,99016.82299846827
14297038.203241765,14014753.68264597,1986108.529329479,154284.78192593888
14436473.379423182,14017799.303610718,2125543.705510896,157330.40289068827
14065379.103344474,13981441.708594073,1754449.4294321882,120972.80787404219
14250970.84483945,13990817.805793436,1940041.1709271623,130348.90507340683
14145627.581904935,13991760.474297827,1834697.9079926484,131291.57357779695
14360338.808739357,14007504.60464518,2049409.1348270709,147035.7039251495
14254683.336317532,13991526.280114442,1943753.6624052452,131057.3793944129
14245399.195716279,14011988.483678574,1934469.5218039916,151519.5829585438
14194552.741134457,14001757.8815128,1883623.0672221712,141288.98079277104
14246396.083660021,14032140.084749637,1935466.4097477337,171671.1840296068
14123980.130721577,13966649.512128025,1813050.456809289,106180.61140799485
14223675.883126348,14009707.773479234,1912746.2092140613,149238.87275920383
14156234.89007204,13970040.121288385,1845305.216159753,109571.22056835539
13936005.767532319,13966381.90357901,1625076.093620033,105913.00285897886
14096889.511212945,13976340.360752698,1785959.8373006575,115871.46003266762
14482689.600211956,14027255.32195645,2171759.92629967,166786.42123641958
14193299.156959692,14012996.672380898,1882369.4830474053,152527.77166086755
14289246.13742842,13975806.309394702,1978316.4635161336,115337.40867467155
14065498.31222202,13975707.261419497,1754568.638309734,115238.36069946649
14171865.027871406,13953705.527282817,1860935.3539591182,93236.62656278632
14158443.604335755,13968800.95769951,1847513.9304234674,108332.05697947985
14069930.629344795,13959580.752705956,1759000.9554325081,99111.85198592609
14180727.766469486,14039652.188214272,1869798.0925572002,179183.28749424164
14229694.406889098,13955868.077137815,1918764.7329768103,95399.17641778408
13994840.69911322,13936023.61044345,1683911.0252009328,75554.70972342075
14238367.710654438,14030696.537781911,1927438.036742151,170227.63706188017
14247752.137507917,14019145.477238595,1936822.4635956308,158676.5765185657
14239481.483873408,13991289.567686083,1928551.8099611215,130820.6669660524
14053761.706373356,13980948.911226867,1742832.0324610693,120480.0105068371
14220276.041415473,13994972.402381398,1909346.3675031872,134503.50166136792
