计划费_元,紧急费_元,总费用_元
12310929.673912287,1855461.4720589493,14166391.145971237
12310929.673912287,2050036.6220027683,14360966.295915056
12310929.673912287,2147078.8356982507,14458008.509610537
12310929.673912287,2281616.405235844,14592546.07914813
12310929.673912287,1949348.0053312709,14260277.679243557
12310929.673912287,2364825.681025574,14675755.35493786
12310929.673912287,2085330.7656855404,14396260.439597826
12310929.673912287,2344392.3288997146,14655322.002812002
12310929.673912287,2376683.164627329,14687612.838539615
12310929.673912287,2406854.351805152,14717784.02571744
12310929.673912287,2283822.7478471263,14594752.421759414
12310929.673912287,2071536.3973656797,14382466.071277967
12310929.673912287,1958557.0967006101,14269486.770612897
12310929.673912287,2201026.912080801,14511956.585993089
12310929.673912287,1998047.1069061037,14308976.78081839
12310929.673912287,2188620.456714409,14499550.130626695
12310929.673912287,1880189.891472115,14191119.565384401
12310929.673912287,1984320.5599658743,14295250.233878162
12310929.673912287,2256516.427429596,14567446.101341883
12310929.673912287,2056144.1464173696,14367073.820329657
12310929.673912287,1940164.2271620678,14251093.901074354
12310929.673912287,2064160.7369151996,14375090.410827486
12310929.673912287,2144681.949053788,14455611.622966075
12310929.673912287,2087062.1002860419,14397991.77419833
12310929.673912287,2140769.1615775563,14451698.835489843
12310929.673912287,2325630.136024478,14636559.809936766
12310929.673912287,2385700.279853288,14696629.953765575
12310929.673912287,2297124.3695149776,14608054.043427264
12310929.673912287,1957685.1332768905,14268614.807189178
12310929.673912287,2007377.0826357217,14318306.756548008
12310929.673912287,2086344.8573714378,14397274.531283725
12310929.673912287,1941893.225466698,14252822.899378985
12310929.673912287,2402807.785503904,14713737.45941619
12310929.673912287,2065607.895413974,14376537.569326261
12310929.673912287,1905300.5595493126,14216230.2334616
12310929.673912287,1897378.7860700246,14208308.459982311
12310929.673912287,1955622.4204044703,14266552.094316756
12310929.673912287,2435208.4583098767,14746138.132222164
12310929.673912287,2053787.0460137085,14364716.719925996
12310929.673912287,2090868.6711626928,14401798.34507498
12310929.673912287,2125569.38146803,14436499.055380316
12310929.673912287,2220499.5471697063,14531429.221081993
12310929.673912287,1900948.0655160148,14211877.739428302
12310929.673912287,2222025.0561163477,14532954.730028635
12310929.673912287,2297982.8881123457,14608912.562024632
12310929.673912287,1978765.4476275817,14289695.121539868
12310929.673912287,2095985.646335143,14406915.32024743
12310929.673912287,2138705.0493106446,14449634.723222932
12310929.673912287,2010632.291000834,14321561.96491312
12310929.673912287,2113199.382871072,14424129.05678336
12310929.673912287,2147288.978022061,14458218.651934348
12310929.673912287,2427129.594633,14738059.268545287
12310929.673912287,2300822.681625271,14611752.355537558
12310929.673912287,2133808.9315979676,14444738.605510253
12310929.673912287,1972728.535800697,14283658.209712984
12310929.673912287,2097172.08666685,14408101.760579137
12310929.673912287,2534566.239572011,14845495.913484298
12310929.673912287,2297736.211501386,14608665.885413673
12310929.673912287,2169381.0567776603,14480310.730689947
12310929.673912287,1790156.467541831,14101086.141454117
12310929.673912287,2243028.2197842873,14553957.893696574
12310929.673912287,2132158.3650178313,14443088.038930118
12310929.673912287,2291561.4027461815,14602491.076658469
12310929.673912287,2290193.225190677,14601122.899102964
12310929.673912287,2035294.3274319628,14346224.001344249
12310929.673912287,2444726.1828242037,14755655.85673649
12310929.673912287,2162057.7911808207,14472987.465093108
12310929.673912287,1965900.6687404558,14276830.342652742
12310929.673912287,2108817.907713127,14419747.581625413
12310929.673912287,2267855.045025008,14578784.718937295
12310929.673912287,1963954.7299825947,14274884.40389488
12310929.673912287,2405507.8895259323,14716437.563438218
12310929.673912287,2193469.8439401435,14504399.51785243
12310929.673912287,2296015.2866272335,14606944.96053952
12310929.673912287,2241399.071341995,14552328.745254282
12310929.673912287,2249397.08584307,14560326.759755356
12310929.673912287,2150016.9411056773,14460946.615017964
12310929.673912287,2130439.0943369176,14441368.768249204
12310929.673912287,1722976.8303260652,14033906.504238352
12310929.673912287,2220677.3044459703,14531606.978358258
12310929.673912287,2037392.1741766788,14348321.848088965
12310929.673912287,1958159.6447750314,14269089.318687318
12310929.673912287,1807379.3092101435,14118308.98312243
12310929.673912287,2195762.31110024,14506691.985012528
12310929.673912287,2326036.9925437383,14636966.666456025
12310929.673912287,2582579.39453598,14893509.068448268
12310929.673912287,2269662.146569253,14580591.820481539
12310929.673912287,2138973.245076918,14449902.918989204
12310929.673912287,2535945.1693068366,14846874.843219124
12310929.673912287,1945163.1586827321,14256092.832595019
12310929.673912287,2072626.5246766254,14383556.198588911
12310929.673912287,2331184.780251772,14642114.454164058
12310929.673912287,2379922.2643487165,14690851.938261002
12310929.673912287,2259290.568409936,14570220.242322223
12310929.673912287,2090940.2979552252,14401869.971867513
12310929.673912287,2070603.1047517457,14381532.778664032
12310929.673912287,2279545.5952471257,14590475.269159412
12310929.673912287,2069379.3889859822,14380309.062898269
12310929.673912287,2429775.083642862,14740704.75755515
12310929.673912287,2259778.131011102,14570707.80492339
