变量,预测器,MAE/kW,RMSE/kW
负荷,原始 d−7,176.8,244.3
负荷,原始 d−14,210.7,293.1
负荷,原始 d−1,650.0,1128.4
负荷,原始 d−2,1156.7,1588.3
负荷,典型日,790.3,1020.2
负荷,L_T1w,213.0,286.5
负荷,L_T1c,1139.5,1590.5
负荷,L_T2w,177.1,238.7
负荷,L_T2c,551.8,747.6
负荷,口径E(W=7),180.0,251.6
光伏,原始 d−7,214.7,419.9
光伏,原始 d−14,265.8,494.6
光伏,原始 d−1,185.3,375.2
光伏,原始 d−2,187.9,383.7
光伏,典型日,436.3,704.2
光伏,P_T1w,241.0,487.3
光伏,P_T1c,208.6,421.2
光伏,P_T2w,192.2,385.0
光伏,P_T2c,160.3,324.2
光伏,P_T1p2,208.7,425.4
光伏,P_T2p2,165.3,331.8
光伏,口径E(W=7),197.4,378.6
