配置,计划购电费/万元,紧急购电费/万元,总费用/万元
丁 EWMA h=3 m=50,1271.7,170.1,1441.8
丁 EWMA h=3 m=100,1283.8,145.4,1429.2
丁 EWMA h=3 m=150,1295.7,125.6,1421.3
丁 EWMA h=3 m=200,1307.6,110.1,1417.7
丁 EWMA h=3 m=250,1319.4,98.6,1418.0
丁 EWMA h=3 m=300,1331.1,89.7,1420.8
丁 EWMA h=3 κ=1.005,1271.5,169.2,1440.7
丁 EWMA h=3 κ=1.01,1283.8,141.9,1425.7
丁 EWMA h=3 κ=1.015,1296.1,119.6,1415.7
丁 EWMA h=3 κ=1.02,1308.4,101.3,1409.7
丁 EWMA h=3 κ=1.025,1320.8,87.0,1407.8
丁 EWMA h=3 κ=1.03,1333.3,76.0,1409.3
丁 EWMA h=3 κ=1.035,1345.7,66.7,1412.4
丁 EWMA h=3 κ=1.04,1358.2,58.7,1416.9
丁 EWMA h=3 κ=1.045,1370.8,51.6,1422.4
丁 EWMA h=3 κ=1.05,1383.3,45.3,1428.6
丁 EWMA h=3 κ=1.01+m=25,1290.1,129.8,1419.9
丁 EWMA h=3 κ=1.01+m=50,1296.3,119.1,1415.4
丁 EWMA h=3 κ=1.01+m=75,1302.4,109.7,1412.1
丁 EWMA h=3 κ=1.01+m=100,1308.5,101.6,1410.1
丁 EWMA h=3 κ=1.015+m=25,1302.5,109.3,1411.8
丁 EWMA h=3 κ=1.015+m=50,1308.7,100.5,1409.2
丁 EWMA h=3 κ=1.015+m=75,1314.9,93.0,1407.9
丁 EWMA h=3 κ=1.015+m=100,1321.0,86.7,1407.7
丁 EWMA h=3 κ=1.02+m=25,1314.9,93.1,1408.0
丁 EWMA h=3 κ=1.02+m=50,1321.1,86.2,1407.3
丁 EWMA h=3 κ=1.02+m=75,1327.3,80.4,1407.7
丁 EWMA h=3 κ=1.02+m=100,1333.4,75.3,1408.7
丁 EWMA h=3 κ=1.025+m=25,1327.3,80.6,1407.9
丁 EWMA h=3 κ=1.025+m=50,1333.6,75.1,1408.7
丁 EWMA h=3 κ=1.025+m=75,1339.8,70.4,1410.2
丁 EWMA h=3 κ=1.025+m=100,1346.0,66.1,1412.1
丁 EWMA h=3 κ=1.03+m=25,1339.7,70.6,1410.3
丁 EWMA h=3 κ=1.03+m=50,1346.1,66.1,1412.2
丁 EWMA h=3 κ=1.03+m=75,1352.3,62.0,1414.3
丁 EWMA h=3 κ=1.03+m=100,1358.5,58.2,1416.7
