配置,计划购电费/万元,紧急购电费/万元,总费用/万元
丁 W=1,1234.5,292.4,1526.9
丁 W=3,1248.3,227.4,1475.7
丁 W=5,1254.3,208.7,1463.0
丁 W=7,1255.1,209.7,1464.8
丁 W=10,1260.0,217.7,1477.7
丁 W=14,1263.5,214.4,1477.9
丁 W=21,1263.5,215.9,1479.4
丁 W=30,1269.7,211.9,1481.6
丁 W=45,1273.7,218.4,1492.1
丁 W=60,1270.0,235.4,1505.4
丁 W=90,1272.6,251.8,1524.4
丁 W=120,1256.1,281.2,1537.3
丁 EWMA h=1,1251.4,213.7,1465.1
丁 EWMA h=2,1256.2,205.5,1461.7
丁 EWMA h=3,1259.2,201.5,1460.7
丁 EWMA h=5,1262.1,203.5,1465.6
丁 EWMA h=7,1264.4,207.2,1471.6
丁 EWMA h=10,1266.9,206.8,1473.7
丁 EWMA h=14,1267.5,212.1,1479.6
丁 EWMA h=21,1264.8,227.3,1492.1
丁 EWMA h=30,1254.4,257.2,1511.6
