配置,计划购电费/万元,紧急购电费/万元,总费用/万元
丙Wr120 EWMA h=3 m=50,1269.7,178.2,1447.9
丙Wr120 EWMA h=3 m=100,1281.7,151.6,1433.3
丙Wr120 EWMA h=3 m=150,1293.5,129.7,1423.2
丙Wr120 EWMA h=3 m=200,1305.3,112.6,1417.9
丙Wr120 EWMA h=3 m=250,1317.0,99.5,1416.5
丙Wr120 EWMA h=3 m=300,1328.6,89.8,1418.4
丙Wr120 EWMA h=3 κ=1.005,1269.6,177.7,1447.3
丙Wr120 EWMA h=3 κ=1.01,1281.8,148.8,1430.6
丙Wr120 EWMA h=3 κ=1.015,1294.1,124.6,1418.7
丙Wr120 EWMA h=3 κ=1.02,1306.4,104.6,1411.0
丙Wr120 EWMA h=3 κ=1.025,1318.8,88.5,1407.3
丙Wr120 EWMA h=3 κ=1.03,1331.2,76.0,1407.2
丙Wr120 EWMA h=3 κ=1.035,1343.6,65.9,1409.5
丙Wr120 EWMA h=3 κ=1.04,1356.1,57.4,1413.5
丙Wr120 EWMA h=3 κ=1.045,1368.6,50.1,1418.7
丙Wr120 EWMA h=3 κ=1.05,1381.2,43.6,1424.8
丙Wr120 EWMA h=3 κ=1.01+m=25,1288.1,135.5,1423.6
丙Wr120 EWMA h=3 κ=1.01+m=50,1294.3,123.7,1418.0
丙Wr120 EWMA h=3 κ=1.01+m=75,1300.4,113.3,1413.7
丙Wr120 EWMA h=3 κ=1.01+m=100,1306.4,104.2,1410.6
丙Wr120 EWMA h=3 κ=1.015+m=25,1300.4,113.4,1413.8
丙Wr120 EWMA h=3 κ=1.015+m=50,1306.6,103.5,1410.1
丙Wr120 EWMA h=3 κ=1.015+m=75,1312.7,94.9,1407.6
丙Wr120 EWMA h=3 κ=1.015+m=100,1318.8,87.6,1406.4
丙Wr120 EWMA h=3 κ=1.02+m=25,1312.8,95.3,1408.1
丙Wr120 EWMA h=3 κ=1.02+m=50,1319.0,87.2,1406.2
丙Wr120 EWMA h=3 κ=1.02+m=75,1325.1,80.7,1405.8
丙Wr120 EWMA h=3 κ=1.02+m=100,1331.2,75.1,1406.3
丙Wr120 EWMA h=3 κ=1.025+m=25,1325.2,81.1,1406.3
丙Wr120 EWMA h=3 κ=1.025+m=50,1331.4,75.0,1406.4
丙Wr120 EWMA h=3 κ=1.025+m=75,1337.6,69.8,1407.4
丙Wr120 EWMA h=3 κ=1.025+m=100,1343.7,65.3,1409.0
丙Wr120 EWMA h=3 κ=1.03+m=25,1337.6,70.1,1407.7
丙Wr120 EWMA h=3 κ=1.03+m=50,1343.9,65.2,1409.1
丙Wr120 EWMA h=3 κ=1.03+m=75,1350.1,61.0,1411.1
丙Wr120 EWMA h=3 κ=1.03+m=100,1356.2,57.2,1413.4
