配置,计划购电费/万元,紧急购电费/万元,总费用/万元
丙Wr120 W=1,1234.1,289.5,1523.6
丙Wr120 W=3,1245.6,240.6,1486.2
丙Wr120 W=5,1253.9,216.3,1470.2
丙Wr120 W=7,1256.9,215.9,1472.8
丙Wr120 W=10,1258.2,222.2,1480.4
丙Wr120 W=14,1263.4,216.4,1479.8
丙Wr120 W=21,1266.2,215.8,1482.0
丙Wr120 W=30,1271.6,211.1,1482.7
丙Wr120 W=45,1273.8,218.1,1491.9
丙Wr120 W=60,1271.8,231.4,1503.2
丙Wr120 W=90,1266.5,248.8,1515.3
丙Wr120 W=120,1253.1,279.0,1532.1
丙Wr120 EWMA h=1,1248.4,232.8,1481.2
丙Wr120 EWMA h=2,1254.4,216.0,1470.4
丙Wr120 EWMA h=3,1257.3,212.0,1469.3
丙Wr120 EWMA h=5,1261.8,209.2,1471.0
丙Wr120 EWMA h=7,1264.6,209.0,1473.6
丙Wr120 EWMA h=10,1268.0,206.4,1474.4
丙Wr120 EWMA h=14,1267.8,213.1,1480.9
丙Wr120 EWMA h=21,1262.9,231.3,1494.2
丙Wr120 EWMA h=30,1252.7,256.5,1509.2
