配置,计划购电费/万元,紧急购电费/万元,总费用/万元
丙 W=5 m=50,1266.6,177.4,1444.0
丙 W=5 m=100,1278.7,149.8,1428.5
丙 W=5 m=150,1290.6,127.9,1418.5
丙 W=5 m=200,1302.4,111.2,1413.6
丙 W=5 m=250,1314.1,98.6,1412.7
丙 W=5 m=300,1325.8,88.8,1414.6
丙 W=5 κ=1.005,1266.5,176.8,1443.3
丙 W=5 κ=1.01,1278.8,147.8,1426.6
丙 W=5 κ=1.015,1291.1,123.6,1414.7
丙 W=5 κ=1.02,1303.4,103.9,1407.3
丙 W=5 κ=1.025,1315.8,89.0,1404.8
丙 W=5 κ=1.03,1328.2,77.0,1405.2
丙 W=5 κ=1.035,1340.6,66.8,1407.4
丙 W=5 κ=1.04,1353.1,58.2,1411.3
丙 W=5 κ=1.045,1365.6,51.2,1416.8
丙 W=5 κ=1.05,1378.2,45.1,1423.3
丙 W=5 κ=1.01+m=25,1285.1,134.3,1419.4
丙 W=5 κ=1.01+m=50,1291.2,122.5,1413.7
丙 W=5 κ=1.01+m=75,1297.3,112.2,1409.5
丙 W=5 κ=1.01+m=100,1303.4,103.5,1406.9
丙 W=5 κ=1.015+m=25,1297.4,112.3,1409.7
丙 W=5 κ=1.015+m=50,1303.6,102.8,1406.4
丙 W=5 κ=1.015+m=75,1309.7,94.7,1404.4
丙 W=5 κ=1.015+m=100,1315.8,87.5,1403.3
丙 W=5 κ=1.02+m=25,1309.8,95.0,1404.8
丙 W=5 κ=1.02+m=50,1316.0,87.5,1403.5
丙 W=5 κ=1.02+m=75,1322.1,81.1,1403.2
丙 W=5 κ=1.02+m=100,1328.2,75.5,1403.7
丙 W=5 κ=1.025+m=25,1322.2,81.8,1404.0
丙 W=5 κ=1.025+m=50,1328.4,75.8,1404.2
丙 W=5 κ=1.025+m=75,1334.6,70.4,1405.0
丙 W=5 κ=1.025+m=100,1340.7,65.7,1406.4
丙 W=5 κ=1.03+m=25,1334.6,71.0,1405.6
丙 W=5 κ=1.03+m=50,1340.9,65.9,1406.8
丙 W=5 κ=1.03+m=75,1347.1,61.4,1408.5
丙 W=5 κ=1.03+m=100,1353.2,57.5,1410.7
