配置,计划购电费/万元,紧急购电费/万元,总费用/万元
丙 W=1,1235.0,286.8,1521.8
丙 W=3,1247.9,231.1,1479.0
丙 W=5,1254.3,212.1,1466.4
丙 W=7,1256.6,212.2,1468.8
丙 W=10,1260.0,219.8,1479.8
丙 W=14,1263.2,214.5,1477.7
丙 W=21,1263.6,215.5,1479.1
丙 W=30,1269.6,214.4,1484.0
丙 W=45,1272.0,220.7,1492.7
丙 W=60,1269.6,236.4,1506.0
丙 W=90,1272.9,250.5,1523.4
丙 W=120,1255.7,282.2,1537.9
丙 EWMA h=1,1249.5,226.3,1475.8
丙 EWMA h=2,1254.9,214.0,1468.9
丙 EWMA h=3,1258.2,208.2,1466.4
丙 EWMA h=5,1261.4,206.1,1467.5
丙 EWMA h=7,1264.6,207.7,1472.3
丙 EWMA h=10,1266.5,206.5,1473.0
丙 EWMA h=14,1266.7,212.2,1478.9
丙 EWMA h=21,1264.4,226.8,1491.2
丙 EWMA h=30,1254.5,256.7,1511.2
