配置,计划购电费/万元,紧急购电费/万元,总费用/万元
乙 W=7 m=50,1264.7,232.6,1497.3
乙 W=7 m=100,1276.9,202.7,1479.6
乙 W=7 m=150,1288.9,178.5,1467.4
乙 W=7 m=200,1300.8,158.2,1459.0
乙 W=7 m=250,1312.6,141.4,1454.0
乙 W=7 m=300,1324.4,127.3,1451.7
乙 W=7 κ=1.005,1264.5,230.5,1495.0
乙 W=7 κ=1.01,1276.7,195.5,1472.2
乙 W=7 κ=1.015,1288.9,166.2,1455.1
乙 W=7 κ=1.02,1301.2,141.9,1443.1
乙 W=7 κ=1.025,1313.6,121.0,1434.6
乙 W=7 κ=1.03,1325.9,102.6,1428.5
乙 W=7 κ=1.035,1338.3,87.1,1425.4
乙 W=7 κ=1.04,1350.8,73.8,1424.6
乙 W=7 κ=1.045,1363.2,62.1,1425.3
乙 W=7 κ=1.05,1375.7,52.3,1428.0
乙 W=7 κ=1.01+m=25,1283.0,180.6,1463.6
乙 W=7 κ=1.01+m=50,1289.3,168.0,1457.3
乙 W=7 κ=1.01+m=75,1295.4,156.7,1452.1
乙 W=7 κ=1.01+m=100,1301.5,146.2,1447.7
乙 W=7 κ=1.015+m=25,1295.3,154.0,1449.3
乙 W=7 κ=1.015+m=50,1301.6,143.2,1444.8
乙 W=7 κ=1.015+m=75,1307.7,133.2,1440.9
乙 W=7 κ=1.015+m=100,1313.9,124.0,1437.9
乙 W=7 κ=1.02+m=25,1307.6,131.2,1438.8
乙 W=7 κ=1.02+m=50,1313.9,121.5,1435.4
乙 W=7 κ=1.02+m=75,1320.1,112.7,1432.8
乙 W=7 κ=1.02+m=100,1326.3,104.7,1431.0
乙 W=7 κ=1.025+m=25,1320.0,111.4,1431.4
乙 W=7 κ=1.025+m=50,1326.3,102.9,1429.2
乙 W=7 κ=1.025+m=75,1332.5,95.5,1428.0
乙 W=7 κ=1.025+m=100,1338.7,88.6,1427.3
乙 W=7 κ=1.03+m=25,1332.4,94.5,1426.9
乙 W=7 κ=1.03+m=50,1338.7,87.4,1426.1
乙 W=7 κ=1.03+m=75,1345.0,80.8,1425.8
乙 W=7 κ=1.03+m=100,1351.2,74.6,1425.8
