配置,计划购电费/万元,紧急购电费/万元,总费用/万元
乙 W=1,1197.5,566.5,1764.0
乙 W=3,1227.8,375.0,1602.8
乙 W=5,1241.5,323.4,1564.9
乙 W=7,1252.3,269.9,1522.2
乙 W=10,1253.9,290.8,1544.7
乙 W=14,1259.4,283.9,1543.3
乙 W=21,1261.4,286.2,1547.6
乙 W=30,1262.4,292.4,1554.8
乙 W=45,1261.6,304.3,1565.9
乙 W=60,1261.3,319.1,1580.4
乙 W=90,1264.0,342.2,1606.2
乙 W=120,1249.1,380.0,1629.1
乙 EWMA h=1,1234.3,348.1,1582.4
乙 EWMA h=2,1246.1,302.4,1548.5
乙 EWMA h=3,1252.3,283.9,1536.2
乙 EWMA h=5,1255.8,280.3,1536.1
乙 EWMA h=7,1257.1,283.6,1540.7
乙 EWMA h=10,1256.3,295.2,1551.5
乙 EWMA h=14,1256.7,299.1,1555.8
乙 EWMA h=21,1253.9,314.4,1568.3
乙 EWMA h=30,1246.1,351.6,1597.7
