配置,计划购电费/万元,紧急购电费/万元,总费用/万元
甲 W=7 m=50,1267.1,227.9,1495.0
甲 W=7 m=100,1279.2,199.1,1478.3
甲 W=7 m=150,1291.3,176.3,1467.6
甲 W=7 m=200,1303.2,157.1,1460.3
甲 W=7 m=250,1315.1,141.2,1456.3
甲 W=7 m=300,1326.9,128.1,1455.0
甲 W=7 κ=1.005,1266.8,225.2,1492.0
甲 W=7 κ=1.01,1279.0,191.6,1470.6
甲 W=7 κ=1.015,1291.3,163.6,1454.9
甲 W=7 κ=1.02,1303.6,140.3,1443.9
甲 W=7 κ=1.025,1315.9,120.3,1436.2
甲 W=7 κ=1.03,1328.3,102.9,1431.2
甲 W=7 κ=1.035,1340.7,87.7,1428.4
甲 W=7 κ=1.04,1353.2,74.6,1427.8
甲 W=7 κ=1.045,1365.7,63.6,1429.3
甲 W=7 κ=1.05,1378.2,54.0,1432.2
甲 W=7 κ=1.01+m=25,1285.4,177.5,1462.9
甲 W=7 κ=1.01+m=50,1291.6,165.5,1457.1
甲 W=7 κ=1.01+m=75,1297.8,154.7,1452.5
甲 W=7 κ=1.01+m=100,1303.9,144.8,1448.7
甲 W=7 κ=1.015+m=25,1297.7,151.9,1449.6
甲 W=7 κ=1.015+m=50,1304.0,141.7,1445.7
甲 W=7 κ=1.015+m=75,1310.1,132.3,1442.4
甲 W=7 κ=1.015+m=100,1316.3,123.6,1439.9
甲 W=7 κ=1.02+m=25,1310.0,130.2,1440.2
甲 W=7 κ=1.02+m=50,1316.3,121.0,1437.3
甲 W=7 κ=1.02+m=75,1322.5,112.7,1435.2
甲 W=7 κ=1.02+m=100,1328.7,104.9,1433.6
甲 W=7 κ=1.025+m=25,1322.4,111.4,1433.8
甲 W=7 κ=1.025+m=50,1328.7,103.2,1431.9
甲 W=7 κ=1.025+m=75,1335.0,95.7,1430.7
甲 W=7 κ=1.025+m=100,1341.2,89.2,1430.4
甲 W=7 κ=1.03+m=25,1334.8,94.9,1429.7
甲 W=7 κ=1.03+m=50,1341.2,87.8,1429.0
甲 W=7 κ=1.03+m=75,1347.4,81.5,1428.9
甲 W=7 κ=1.03+m=100,1353.7,75.9,1429.6
