配置,计划购电费/万元,紧急购电费/万元,总费用/万元
甲 W=1,1194.9,574.2,1769.1
甲 W=3,1231.7,355.8,1587.5
甲 W=5,1243.2,315.7,1558.9
甲 W=7,1254.6,263.8,1518.4
甲 W=10,1255.2,286.0,1541.2
甲 W=14,1258.4,286.6,1545.0
甲 W=21,1262.3,281.4,1543.7
甲 W=30,1262.6,290.7,1553.3
甲 W=45,1264.0,299.8,1563.8
甲 W=60,1259.8,321.4,1581.2
甲 W=90,1264.1,340.8,1604.9
甲 W=120,1249.2,378.3,1627.5
甲 EWMA h=1,1237.8,337.2,1575.0
甲 EWMA h=2,1248.8,294.7,1543.5
甲 EWMA h=3,1251.8,281.8,1533.6
甲 EWMA h=5,1256.6,274.2,1530.8
甲 EWMA h=7,1258.9,278.7,1537.6
甲 EWMA h=10,1257.1,293.2,1550.3
甲 EWMA h=14,1256.3,297.0,1553.3
甲 EWMA h=21,1253.9,313.9,1567.8
甲 EWMA h=30,1245.9,352.1,1598.0
