日期,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元,弃电量/kWh,日初储电量/kWh,日末储电量/kWh,日末规划目标/kWh
2025-02-01,45508.10873789666,23656.46484529305,9.497291841853439e-12,3.811715920676306e-11,7349.915113968735,8550.0,8550.0,8550.0
2025-02-02,92522.70889312346,58681.323131299956,9.677592061052565e-12,3.839345907863389e-11,9961.092382160627,8550.0,8550.0,8550.0
2025-02-03,91789.2552979177,58186.89675813745,1.3210765814619663e-11,5.018363413711313e-11,7315.652350435444,8550.0,8550.0,8550.0
2025-02-04,90432.32262069549,57015.56817260722,1.5219825399981346e-11,5.298452876445481e-11,4579.9494434377975,8550.0,8550.0,8550.0
2025-02-05,93436.89751254732,59438.99606983656,6.437873333348769,37.39438725672197,8265.264243730891,8550.0,8550.0,8550.0
2025-02-06,93276.1795655893,59285.873993722606,1.3642420526593924e-11,5.2981590670242434e-11,8736.847114949589,8550.0,8550.0,8550.0
2025-02-07,44490.145200024665,22885.06214720624,8.810729923425242e-12,2.9755824471067167e-11,8891.40277804788,8550.0,8550.0,8550.0
2025-02-08,41120.018331026346,21296.211590714436,2.0189183658203547e-11,6.479147707239007e-11,5883.576329521407,8550.0,8550.0,8550.0
2025-02-09,87045.66383134158,54700.995464951135,1.6219914300563687e-11,5.7897910910043033e-11,2866.6616058108,8550.0,8550.0,8550.0
2025-02-10,90336.38944303621,56831.648667427005,1.2356338174868142e-11,3.988170149682446e-11,12107.71930317815,8550.0,8550.0,8550.0
2025-02-11,88091.3045649284,55215.9597219914,1.3270051724134646e-11,5.277585479745994e-11,8599.93231346014,8550.0,8550.0,8550.0
2025-02-12,85919.349127693,53671.733987556836,1.3229417561433365e-11,5.161259375441318e-11,6401.955374782765,8550.0,8550.0,8550.0
2025-02-13,86133.56302433909,54353.25937091198,1.4375667323207608e-11,5.7957291493826444e-11,11669.823196817768,8550.0,7950.0,7950.0
2025-02-14,38379.121213148974,19828.42216463609,1.892663803459982e-11,6.484591952293784e-11,5153.853701868619,7950.0,7807.806646814817,7807.806646814817
2025-02-15,37487.46806514815,19335.842820021924,19.703643843641057,42.126390537729144,3933.4810678288272,7807.806646814817,8550.0,8550.0
2025-02-16,82305.989954608,51055.67867426506,15.047493333356755,68.45857092008791,2560.0484661540627,8550.0,8550.0,8550.0
2025-02-17,83300.191548024,51785.46567886601,1.6013190773378483e-11,5.5413243882362914e-11,8369.982045609162,8550.0,8550.0,8550.0
2025-02-18,80685.59918345333,49856.20534567653,19.25666000001516,87.60817467005033,4411.030764045956,8550.0,8550.0,8550.0
2025-02-19,79790.65682819334,49233.9516557008,148.9558315399306,399.6982294173911,2546.2537818987817,8550.0,8550.0,8550.0
2025-02-20,78931.1627234288,49272.95566698386,1.4296119843493216e-11,5.154923776728993e-11,5190.173072412277,8550.0,7378.763997111112,7378.763997111112
2025-02-21,35463.17442039095,18355.850277989593,9.499290243297764e-12,3.5031198497570413e-11,6656.24884618343,7378.763997111112,7190.49892162963,7190.49892162963
2025-02-22,36954.105299519346,18942.195519611847,1.49847911856682e-11,5.1798464073549155e-11,4190.933133389863,7190.49892162963,8550.0,8550.0
2025-02-23,80511.6282163,49884.766712561184,1.8745449636980993e-11,5.698758487326927e-11,4864.122669708229,8550.0,8550.0,8550.0
2025-02-24,79771.710347356,49081.50176336939,11.387393733350276,53.33855224698769,7669.662893141118,8550.0,8550.0,8550.0
2025-02-25,77436.63944799507,47569.92471262383,15.06020666668045,67.14162703004065,7678.365681657701,8550.0,8550.0,8550.0
2025-02-26,74952.89390528231,46011.67992060675,2.0728654903656718e-11,7.178332394469634e-11,1834.0711617318402,8550.0,8550.0,8550.0
2025-02-27,71664.164038293,44330.33212243924,850.3107263080158,4111.690356452198,3330.1486188611257,8550.0,6659.570096666666,6659.570096666666
2025-02-28,34876.36355319424,18020.757483762616,1.2546408356683969e-11,4.9934861579004066e-11,8212.210179602149,6659.570096666666,6696.826743333333,6696.826743333333
2025-03-01,36875.59675498189,18813.737032870355,1.2049472530861749e-11,4.847491985593422e-11,7965.415983581386,6696.826743333333,8550.0,8550.0
2025-03-02,77213.03499122798,47325.833875667435,1383.4765740200253,9365.4726359041,1959.0543314513543,8550.0,8550.0,8550.0
