计划费_元,紧急费_元,总费用_元
13281110.48620834,855080.7309277665,14136191.217136107
13281110.48620834,811919.8964991319,14093030.382707473
13281110.48620834,949194.2864164105,14230304.77262475
13281110.48620834,857587.028742234,14138697.514950573
13281110.48620834,824554.7011880277,14105665.187396368
13281110.48620834,893298.2843136543,14174408.770521995
13281110.48620834,800565.0724919625,14081675.558700303
13281110.48620834,880156.6236559114,14161267.109864252
13281110.48620834,850474.0171216925,14131584.503330033
13281110.48620834,977167.6147754327,14258278.100983772
13281110.48620834,875921.1482910007,14157031.634499341
13281110.48620834,985986.9885167917,14267097.474725131
13281110.48620834,878485.5169276977,14159596.003136039
13281110.48620834,840278.6771952073,14121389.163403548
13281110.48620834,849460.9890926356,14130571.475300975
13281110.48620834,825113.8932185835,14106224.379426925
13281110.48620834,994513.7563622318,14275624.242570572
13281110.48620834,864230.0880729374,14145340.574281277
13281110.48620834,984607.9098057628,14265718.396014104
13281110.48620834,947956.320780613,14229066.806988953
13281110.48620834,789840.4880197621,14070950.974228103
13281110.48620834,990906.0695599597,14272016.5557683
13281110.48620834,1001581.5463507328,14282692.032559073
13281110.48620834,843145.4115985241,14124255.897806864
13281110.48620834,858651.7638614365,14139762.250069777
13281110.48620834,871559.964121299,14152670.450329639
13281110.48620834,844035.2416781947,14125145.727886535
13281110.48620834,901838.820372363,14182949.306580704
13281110.48620834,843102.4566255844,14124212.942833925
13281110.48620834,875155.2045079384,14156265.690716278
13281110.48620834,954892.9467590024,14236003.432967342
13281110.48620834,807464.3994609269,14088574.885669267
13281110.48620834,915144.5096478586,14196254.9958562
13281110.48620834,881265.6222714864,14162376.108479826
13281110.48620834,786467.7159240028,14067578.202132342
13281110.48620834,955715.8179777851,14236826.304186124
13281110.48620834,990839.9727051823,14271950.458913522
13281110.48620834,1012336.2163001826,14293446.702508522
13281110.48620834,957884.3936903012,14238994.879898641
13281110.48620834,997720.7181804184,14278831.204388758
13281110.48620834,1031044.4859655489,14312154.972173888
13281110.48620834,697760.8613855669,13978871.347593907
13281110.48620834,882483.2419221145,14163593.728130454
13281110.48620834,779064.9059729557,14060175.392181296
13281110.48620834,903735.0261637128,14184845.512372052
13281110.48620834,899130.0166743547,14180240.502882695
13281110.48620834,836925.2654922704,14118035.75170061
13281110.48620834,975456.6812497402,14256567.16745808
13281110.48620834,937248.0737052552,14218358.559913596
13281110.48620834,1008310.1152203513,14289420.601428691
13281110.48620834,908339.0421398585,14189449.528348198
13281110.48620834,870323.7026296511,14151434.188837992
13281110.48620834,931703.6378540744,14212814.124062415
13281110.48620834,959242.8391021114,14240353.325310452
13281110.48620834,1004298.9465874693,14285409.43279581
13281110.48620834,877616.1264784833,14158726.612686824
13281110.48620834,772628.4308302538,14053738.917038593
13281110.48620834,921738.1615902914,14202848.647798631
13281110.48620834,829536.0163895471,14110646.502597887
13281110.48620834,916870.8718461075,14197981.358054448
13281110.48620834,940454.3011139659,14221564.787322305
13281110.48620834,913716.4268016543,14194826.913009994
13281110.48620834,917182.176408594,14198292.662616935
13281110.48620834,951661.6267432765,14232772.112951616
13281110.48620834,945882.3122215131,14226992.798429854
13281110.48620834,875365.2667884456,14156475.752996786
13281110.48620834,851367.1732305649,14132477.659438904
13281110.48620834,982174.5354688253,14263285.021677166
13281110.48620834,924929.4657429544,14206039.951951295
13281110.48620834,960490.6664607854,14241601.152669126
13281110.48620834,986429.4078261576,14267539.894034497
13281110.48620834,843285.4741918666,14124395.960400207
13281110.48620834,922825.0896701891,14203935.575878529
13281110.48620834,762488.2941166066,14043598.780324947
13281110.48620834,920390.159960652,14201500.646168992
13281110.48620834,944358.9737852352,14225469.459993575
13281110.48620834,863331.0054556625,14144441.491664004
13281110.48620834,891260.2794869747,14172370.765695315
13281110.48620834,938824.5791605441,14219935.065368883
13281110.48620834,819580.3270788452,14100690.813287186
13281110.48620834,884584.6574251831,14165695.143633524
13281110.48620834,993035.038370994,14274145.524579335
13281110.48620834,905043.1559556266,14186153.642163966
13281110.48620834,913688.8402693575,14194799.326477697
13281110.48620834,920188.5701943949,14201299.056402735
13281110.48620834,999820.7967312704,14280931.282939611
13281110.48620834,969411.5306305257,14250522.016838865
13281110.48620834,981464.5239080971,14262575.010116437
13281110.48620834,802523.6505715438,14083634.136779884
13281110.48620834,975390.2953123803,14256500.78152072
13281110.48620834,882056.5744348697,14163167.06064321
13281110.48620834,1079117.676026563,14360228.162234902
13281110.48620834,930995.1980375602,14212105.684245901
13281110.48620834,961682.511841915,14242792.998050256
13281110.48620834,848936.9257132479,14130047.411921589
13281110.48620834,951722.6388041968,14232833.125012537
13281110.48620834,1093738.0197422262,14374848.505950566
13281110.48620834,707426.4957315566,13988536.981939897
13281110.48620834,990254.509003233,14271364.995211573
13281110.48620834,879648.6896560361,14160759.175864376
