槽序号,e_net_均值/kW,e_net_标准差/kW,e_net_q80/kW
1,-6.914652574850357,254.20066222610504,159.06006000000022
2,-1.0443892814372115,251.62049886497732,131.77483599999985
3,-5.257445329341397,265.0869802749819,167.88602799999978
4,-11.500247724550956,238.6272324188049,115.01038800000009
5,-14.122408802395272,255.31118244825066,151.10855200000015
6,-16.070612395209675,283.9292268565895,153.2675999999996
7,-22.97808029940128,261.6007966841556,136.26068800000007
8,-20.81767610778454,242.7550512396575,141.56993999999997
9,-11.276996467065985,252.23777870792438,145.23200000000008
10,-10.9557685029941,237.72707977172664,121.4291640000004
11,-13.450385149700692,235.09682331362612,127.20622400000042
12,-11.190722215568956,259.25439021847774,174.11200000000005
13,-5.1009560479042495,266.7656484494104,154.04146800000018
14,-9.754264491018004,260.8846639024715,138.2090839999998
15,-18.50440688622763,244.54124917995784,132.10999999999987
16,-11.13970544910187,222.3546245884482,121.767344
17,-10.071793832335393,223.70408920453835,134.68322800000007
18,-16.103380359281513,249.78812985248302,157.21999999999977
19,-7.815729341317465,227.6073036224501,149.5701879999998
20,-3.9100331736527756,214.3092121208439,136.12358000000012
21,-7.710342275449201,211.10165191637716,140.70039999999963
22,-3.719328562874309,227.44019313586932,151.79539600000018
23,-3.543893413173694,227.46045480305835,135.63996799999987
24,-10.912909580838415,251.2194674455051,152.6543999999999
25,-15.97983185628751,227.617724950869,138.81162399999988
26,-14.504890479041977,221.0915242151704,124.50399200000004
27,-11.26360742514976,231.07176464371346,149.98999999999998
28,-13.543375628742556,226.4975402247188,125.65016800000038
29,-8.70072694610788,220.40169854307933,133.16349199999976
30,0.049243413173577257,239.93955654277084,172.42924
31,-11.023018263473148,227.18402933097678,145.17197599999994
32,-33.16059425149711,216.43200464568767,128.96288400000012
33,-51.59234143712576,221.67714885746426,112.45974399999993
34,-59.824081197604905,230.0434656429301,133.5679520000001
35,-75.80179628742522,250.5261424553922,103.22752799999999
36,-103.09241017964084,305.48354353353886,142.72592799999987
37,-127.50003167664673,300.1882391336818,108.66765199999986
38,-149.6557941317366,312.4996836421739,122.59871199999976
39,-174.20076850299398,350.12328008174234,93.45039999999995
40,-200.31581568862282,353.1411244623091,69.33309199999994
41,-211.86004497005982,363.01883350815154,75.08381599999976
42,-209.0486143113774,382.584536069584,100.96710000000013
43,-209.13502329341333,369.8787178748696,96.12833999999974
44,-207.202057005988,380.87721459378724,104.11020399999936
45,-202.57337335329302,404.6946273410755,131.4504880000001
46,-202.11948491017975,405.49062147219576,145.6157959999999
47,-200.78997940119766,409.6839428481731,124.91405599999969
48,-195.65670892215587,438.4592060756597,152.78399999999985
49,-188.6415265269462,431.37511281801824,133.78021599999985
50,-180.3324467065867,450.74237898995176,173.41711199999975
51,-174.11484970059888,490.061323263967,194.38490400000055
52,-173.1644325149699,494.07189122212515,181.12729199999924
53,-167.69375443113776,509.5973337358649,210.1787639999996
54,-158.93806095808395,557.3208984494304,309.3408639999998
55,-157.54728508982046,564.0495303468745,303.3359360000004
56,-155.14212311377247,568.9495552317026,320.22707600000035
57,-149.93147413173628,586.7599939688413,308.6886640000007
58,-147.64300802395198,599.9051007912534,340.88886400000075
59,-138.82337742514963,617.9307394809155,352.6624880000001
60,-127.29628209580838,637.701012257537,370.8155000000001
61,-127.41352029940128,631.161143690971,349.9396440000008
62,-127.41596820359287,637.7481431210035,335.19321999999977
63,-121.80820347305388,677.4543399037597,380.85813600000023
64,-117.92546772455114,693.257482955185,372.49288000000024
65,-122.09033251497002,709.7267137401959,418.4012080000002
66,-130.8192456287425,722.5895035637227,437.5696120000008
67,-133.8932217365269,733.6091398516893,429.00696800000105
68,-131.69371497006,728.6107059786913,429.5101480000006
69,-125.08665017964049,740.6509820610337,488.74673200000086
70,-113.89070371257463,745.1767388653338,477.2053959999998
71,-102.90406467065863,752.5376155307913,529.2761159999999
72,-100.30005155688622,757.2090096456564,492.4540160000002
73,-109.98809065868248,745.6970585922943,533.3390080000001
74,-111.48638269461074,723.0841867892026,503.25072400000016
75,-102.90904209580819,715.2352499322991,501.0273920000007
76,-102.62050323353273,738.1708296689865,509.1604480000002
77,-110.86994898203601,742.4458975074556,482.69178800000003
78,-117.42978035928142,717.4338382949635,466.85485999999946
79,-111.87178868263499,724.2843853460987,499.2516480000002
80,-105.3977724550899,707.4096781497954,469.58445599999965
81,-108.47203808383213,668.7849236803128,423.2304120000001
82,-120.927811976048,668.3470781875618,437.84576000000067
83,-125.9056700598803,659.9095854377712,395.360648
84,-125.23077131736528,626.2961950194507,413.63475999999923
85,-136.48932419161667,596.8608349824175,324.7631240000008
86,-149.5115216167667,583.4313119909166,287.0824480000001
87,-155.08914580838317,587.24464310838,305.96954399999964
88,-154.6484094610779,565.5427242491909,321.8525159999994
89,-158.93993107784448,552.9042624844814,313.2785519999995
90,-167.10344197604803,548.0083005575511,328.57651999999945
91,-169.2050740718562,523.2638074199389,254.08919600000016
92,-173.9461867065869,506.7266819795592,231.52633200000005
93,-183.92572209580825,495.81313993443183,205.15480000000036
94,-191.9794272455092,458.21203443663063,178.21142000000023
95,-195.6919607784433,433.1166030956395,161.78291600000043
96,-197.30287191616762,416.06233848821745,129.18850000000057
97,-200.87940101796414,398.7213943952006,108.29678000000023
98,-204.5130362874251,378.7523752274271,102.98474399999981
99,-207.14900778443103,384.13109723709096,88.5928320000003
100,-209.76349455089854,375.208678344424,85.18288800000043
101,-211.91933832335323,370.64859958432265,82.62682399999949
102,-212.82288443113802,357.44614307508374,76.0455919999999
103,-210.30127383233554,339.2885438649482,53.90976799999996
104,-199.21737526946112,327.02181694928754,67.3161319999994
105,-181.64814467065875,344.33249887566063,94.1385999999999
106,-162.00819125748518,327.672435758892,85.20343600000021
107,-133.611310718563,300.10688607268446,103.71262799999975
108,-101.47344790419177,268.1173702252469,111.59359999999992
109,-80.2735231137726,241.26032840972053,114.20381999999982
110,-60.21328886227559,239.24231257739083,110.1851359999997
111,-39.58595952095821,278.1639914757435,158.6091119999996
112,-27.776019580838348,264.8552803857683,148.02296
113,-16.44656461077856,266.99413156942234,151.49832799999936
114,-6.231504011976139,286.73727129315307,168.56722400000015
115,-7.523067185628848,267.7232918875337,154.56423199999972
116,-13.613723113772547,267.37724105351003,134.09256399999987
117,-16.213152754491116,293.90129447855116,166.4200000000001
118,-7.828252934131799,254.05623540157265,148.7459280000003
119,-3.864950658682733,264.82821693812605,141.95436399999997
120,-7.677404431137798,299.0189765552818,176.95200000000023
121,-8.491653413173745,287.8263052356734,135.03614399999992
122,-11.076338682634802,273.60881637745473,138.47065599999956
123,-15.01425730538931,287.2924712735118,168.74240000000015
124,-14.15607844311384,262.32287314513155,145.19565200000002
125,-16.131597005988127,263.8092029087181,138.18862399999978
126,-19.7159155089821,281.54514783090804,167.3095999999996
127,-15.404767904191718,265.28937193788255,157.84001999999998
128,-10.009168023952144,274.6966306683826,165.0740400000003
129,-10.309818323353404,282.15373369362476,166.2720000000001
130,-16.552209281437193,269.3105811509827,153.42902399999986
131,-20.067784550898295,274.79214363813264,144.51946399999989
132,-15.551527724550994,285.0068946070471,141.4848
133,-6.013784790419248,261.176921301783,140.36195199999986
134,-4.786918622754573,258.4949356338462,135.41945600000014
135,-10.480913233533023,292.2103708512734,182.47599999999986
136,-9.613326347305483,259.1727945561854,144.59712800000008
137,-8.90317101796412,249.607699680554,144.99617599999985
138,-11.285515089820414,263.7743010609192,171.54880000000006
139,-12.189277125748577,239.4061273363555,133.12715199999994
140,-12.967683353293477,255.9414506011313,146.35363599999985
141,-13.229748323353366,278.4903910590128,150.07760000000027
142,-10.72926826347312,272.1693355680881,152.96425999999985
143,-8.81162766467077,269.7454705121336,167.46639200000004
144,-5.763957664670768,278.5379204280443,153.16080000000028
