配置,计划购电费/万元,紧急购电费/万元,总费用/万元
W7 κ=1.015,1297.3,122.7,1420.0
W7 κ=1.02,1309.6,103.4,1413.0
W7 κ=1.025,1322.0,88.2,1410.2
W7 κ=1.03,1334.4,76.1,1410.5
W7 κ=1.035,1346.9,66.0,1412.9
W7 κ=1.04,1359.4,57.7,1417.1
W7 κ=1.015+m=50,1309.8,102.2,1412.0
W7 κ=1.015+m=100,1322.0,87.3,1409.3
W7 κ=1.015+m=150,1334.0,76.3,1410.3
W7 κ=1.02+m=50,1322.2,87.0,1409.2
W7 κ=1.02+m=100,1334.4,75.0,1409.4
W7 κ=1.02+m=150,1346.6,66.5,1413.1
W7 κ=1.025+m=50,1334.6,75.0,1409.6
W7 κ=1.025+m=100,1346.9,65.6,1412.5
W7 κ=1.025+m=150,1359.1,58.1,1417.2
W7 κ=1.02+小时裕度γ=0.5,1338.4,71.5,1409.9
W7 κ=1.02+小时裕度γ=0.75,1352.9,61.3,1414.2
W7 动态κ(60天q80),1362.8,56.6,1419.4
W30 κ=1.015,1314.0,108.9,1422.9
W30 κ=1.02,1326.5,92.0,1418.5
W30 κ=1.025,1339.0,79.1,1418.1
W30 κ=1.03,1351.5,68.6,1420.1
W30 κ=1.035,1364.0,60.7,1424.7
W30 κ=1.04,1376.6,53.9,1430.5
W30 κ=1.015+m=50,1326.7,91.2,1417.9
W30 κ=1.015+m=100,1339.0,78.3,1417.3
W30 κ=1.015+m=150,1351.1,69.3,1420.4
W30 κ=1.02+m=50,1339.2,78.0,1417.2
W30 κ=1.02+m=100,1351.5,68.2,1419.7
W30 κ=1.02+m=150,1363.7,60.8,1424.5
W30 κ=1.025+m=50,1351.7,67.8,1419.5
W30 κ=1.025+m=100,1364.1,60.2,1424.3
W30 κ=1.025+m=150,1376.4,53.6,1430.0
W30 κ=1.02+小时裕度γ=0.5,1351.8,67.9,1419.7
W30 κ=1.02+小时裕度γ=0.75,1364.4,60.0,1424.4
W30 动态κ(60天q80),1369.8,56.1,1425.9
EWMA h=5 κ=1.015,1304.1,110.9,1415.0
EWMA h=5 κ=1.02,1316.5,93.0,1409.5
EWMA h=5 κ=1.025,1328.9,78.7,1407.6
EWMA h=5 κ=1.03,1341.3,67.0,1408.3
EWMA h=5 κ=1.035,1353.8,58.1,1411.9
EWMA h=5 κ=1.04,1366.4,51.0,1417.4
EWMA h=5 κ=1.015+m=50,1316.7,92.0,1408.7
EWMA h=5 κ=1.015+m=100,1328.9,77.9,1406.8
EWMA h=5 κ=1.015+m=150,1340.9,68.3,1409.2
EWMA h=5 κ=1.02+m=50,1329.1,77.5,1406.6
EWMA h=5 κ=1.02+m=100,1341.4,66.6,1408.0
EWMA h=5 κ=1.02+m=150,1353.5,59.3,1412.8
EWMA h=5 κ=1.025+m=50,1341.6,66.2,1407.8
EWMA h=5 κ=1.025+m=100,1353.9,58.2,1412.1
EWMA h=5 κ=1.025+m=150,1366.1,52.4,1418.5
EWMA h=5 κ=1.02+小时裕度γ=0.5,1343.8,64.5,1408.3
EWMA h=5 κ=1.02+小时裕度γ=0.75,1357.6,56.6,1414.2
EWMA h=5 动态κ(60天q80),1366.3,51.9,1418.2
EWMA h=5 κ=1.02+m=25,1322.9,84.7,1407.6
EWMA h=5 κ=1.02+m=50,1329.1,77.5,1406.6
EWMA h=5 κ=1.02+m=75,1335.3,71.5,1406.8
EWMA h=5 κ=1.0225+m=25,1329.1,77.9,1407.0
EWMA h=5 κ=1.0225+m=50,1335.3,71.4,1406.7
EWMA h=5 κ=1.0225+m=75,1341.5,66.3,1407.8
EWMA h=5 κ=1.025+m=25,1335.3,71.7,1407.0
EWMA h=5 κ=1.025+m=50,1341.6,66.2,1407.8
EWMA h=5 κ=1.025+m=75,1347.8,61.8,1409.6
