配置,计划购电费/万元,紧急购电费/万元,总费用/万元
"W7 风险 λ=0.25, W=7",1265.1,203.5,1468.6
"W7 风险 λ=0.25, W=21",1274.4,191.9,1466.3
"W7 风险 λ=0.25, W=30",1282.1,180.2,1462.3
"W7 风险 λ=0.5, W=7",1267.3,200.4,1467.7
"W7 风险 λ=0.5, W=21",1276.8,191.7,1468.5
"W7 风险 λ=0.5, W=30",1285.3,179.5,1464.8
"W7 风险 λ=0.75, W=7",1266.3,207.6,1473.9
"W7 风险 λ=0.75, W=21",1277.7,194.0,1471.7
"W7 风险 λ=0.75, W=30",1286.6,184.8,1471.4
"W7 风险 λ=1.0, W=7",1267.6,215.7,1483.3
"W7 风险 λ=1.0, W=21",1275.2,210.3,1485.5
"W7 风险 λ=1.0, W=30",1287.6,184.9,1472.5
W7 收缩 α=0.05,1256.8,217.1,1473.9
W7 收缩 α=0.1,1253.2,229.9,1483.1
W7 收缩 α=0.2,1246.0,263.5,1509.5
W7 收缩 α=0.35,1235.4,323.1,1558.5
"W30 风险 λ=0.25, W=7",1265.1,203.5,1468.6
"W30 风险 λ=0.25, W=21",1274.4,191.9,1466.3
"W30 风险 λ=0.25, W=30",1282.1,180.2,1462.3
"W30 风险 λ=0.5, W=7",1267.3,200.4,1467.7
"W30 风险 λ=0.5, W=21",1276.8,191.7,1468.5
"W30 风险 λ=0.5, W=30",1285.3,179.5,1464.8
"W30 风险 λ=0.75, W=7",1266.3,207.6,1473.9
"W30 风险 λ=0.75, W=21",1277.7,194.0,1471.7
"W30 风险 λ=0.75, W=30",1286.6,184.8,1471.4
"W30 风险 λ=1.0, W=7",1267.6,215.7,1483.3
"W30 风险 λ=1.0, W=21",1275.2,210.3,1485.5
"W30 风险 λ=1.0, W=30",1287.6,184.9,1472.5
W30 收缩 α=0.05,1272.5,196.3,1468.8
W30 收缩 α=0.1,1268.0,208.6,1476.6
W30 收缩 α=0.2,1259.1,240.1,1499.2
W30 收缩 α=0.35,1246.0,298.2,1544.2
"EWMA h=5 风险 λ=0.25, W=7",1265.1,203.5,1468.6
"EWMA h=5 风险 λ=0.25, W=21",1274.4,191.9,1466.3
"EWMA h=5 风险 λ=0.25, W=30",1282.1,180.2,1462.3
"EWMA h=5 风险 λ=0.5, W=7",1267.3,200.4,1467.7
"EWMA h=5 风险 λ=0.5, W=21",1276.8,191.7,1468.5
"EWMA h=5 风险 λ=0.5, W=30",1285.3,179.5,1464.8
"EWMA h=5 风险 λ=0.75, W=7",1266.3,207.6,1473.9
"EWMA h=5 风险 λ=0.75, W=21",1277.7,194.0,1471.7
"EWMA h=5 风险 λ=0.75, W=30",1286.6,184.8,1471.4
"EWMA h=5 风险 λ=1.0, W=7",1267.6,215.7,1483.3
"EWMA h=5 风险 λ=1.0, W=21",1275.2,210.3,1485.5
"EWMA h=5 风险 λ=1.0, W=30",1287.6,184.9,1472.5
EWMA h=5 收缩 α=0.05,1263.2,202.7,1465.9
EWMA h=5 收缩 α=0.1,1259.2,215.2,1474.4
EWMA h=5 收缩 α=0.2,1251.4,247.6,1499.0
EWMA h=5 收缩 α=0.35,1239.7,308.5,1548.2
