配置,计划购电费/万元,紧急购电费/万元,总费用/万元
网格 W=1,1240.9,273.9,1514.8
网格 W=2,1239.1,301.1,1540.2
网格 W=3,1248.6,242.1,1490.7
网格 W=4,1253.4,230.7,1484.1
网格 W=5,1257.1,217.8,1474.9
网格 W=6,1260.0,212.0,1472.0
网格 W=7,1260.4,207.0,1467.4
网格 W=8,1262.2,205.8,1468.0
网格 W=10,1264.0,209.4,1473.4
网格 W=12,1265.9,205.7,1471.6
网格 W=14,1267.6,201.7,1469.3
网格 W=16,1268.1,199.4,1467.5
网格 W=18,1269.0,203.5,1472.5
网格 W=21,1269.9,200.2,1470.1
网格 W=25,1272.3,197.0,1469.3
网格 W=28,1275.2,189.9,1465.1
网格 W=30,1276.9,186.8,1463.7
网格 W=32,1278.0,188.0,1466.0
网格 W=35,1278.2,192.7,1470.9
网格 W=45,1278.6,196.3,1474.9
网格 W=60,1275.2,210.3,1485.5
网格 W=90,1266.3,232.0,1498.3
网格 W=120,1254.1,267.1,1521.2
网格 W=180,1234.1,318.8,1552.9
网格 W=240,1225.5,343.6,1569.1
网格 W=300,1227.3,328.8,1556.1
EWMA h=0.5,1245.8,252.4,1498.2
EWMA h=1,1251.6,227.0,1478.6
EWMA h=2,1259.2,210.7,1469.9
EWMA h=3,1262.3,203.5,1465.8
EWMA h=4,1265.0,198.8,1463.8
EWMA h=5,1267.2,192.6,1459.8
EWMA h=6,1268.8,193.6,1462.4
EWMA h=7,1269.2,194.1,1463.3
EWMA h=10,1270.4,195.7,1466.1
EWMA h=14,1271.1,197.1,1468.2
EWMA h=21,1266.2,210.6,1476.8
EWMA h=30,1255.2,240.8,1496.0
EWMA h=60,1230.7,303.8,1534.5
EWMA h=120,1223.8,333.3,1557.1
历史均值,1226.1,383.9,1610.0
