日期,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元
2025-02-01,45508.10873789666,23664.81484529305,9.838352355018287e-12,3.889486244190721e-11
2025-02-02,92522.70889312346,58689.67313129996,9.563905223330949e-12,3.814357540932179e-11
2025-02-03,91789.2552979177,58195.24675813745,1.3324452652341279e-11,5.04390884614736e-11
2025-02-04,90432.32262069547,57023.91817260722,1.4992451724538114e-11,5.25279624241648e-11
2025-02-05,93436.89751254734,59447.34606983657,6.437873333344903,37.39438725671371
2025-02-06,93276.17956558931,59294.223993722604,1.4483747534654867e-11,5.481740894541787e-11
2025-02-07,44490.145200024665,22893.41214720624,8.185452315956354e-12,2.845357016667549e-11
2025-02-08,41120.01833102634,21303.53406916364,1.927968895643062e-11,6.287923604020306e-11
2025-02-09,87045.66383134158,54709.345464951126,1.765254609153999e-11,6.096786897558105e-11
2025-02-10,90336.38944303623,56839.998667427004,1.0651035609043902e-11,3.625247657623731e-11
2025-02-11,88091.3045649284,55224.309721991405,1.2474243860083334e-11,5.107572498275203e-11
2025-02-12,85919.34912769301,53680.083987556834,1.3911538587763062e-11,5.313332573919638e-11
2025-02-13,86800.22969100578,54644.80937091198,1.551253570042377e-11,6.043043496162248e-11
2025-02-14,38537.113827799185,19899.241424835545,1.8699264359156587e-11,6.436059041270426e-11
2025-02-15,36662.80878383128,18980.82150081946,1.5312512971378633,3.273815273305469
2025-02-16,82305.98995460801,51064.02867426506,15.047493333354822,68.4585709200838
2025-02-17,83300.19154802401,51793.815678866005,1.696809359685858e-11,5.745060926987122e-11
2025-02-18,80685.59918345333,49864.555345676534,19.256660000013817,87.60817467004748
2025-02-19,79790.65682819334,49242.3016557008,108.20887120659522,312.58122822472
2025-02-20,80232.536059972,49833.684765678496,1.3272938303998671e-11,4.936377884234844e-11
2025-02-21,35672.35783759259,18442.714563645954,1.1318279646843621e-11,3.8755351927655116e-11
2025-02-22,35443.54854577449,18300.768683816917,1.32062139002187e-11,4.603292846905305e-11
