日期,w1_L(d-7),w2_L(d-14),w3_典型日,u1_P(d-1),u2_P(d-2),u3_典型日,计划购电量/kWh,计划购电费/元,紧急购电量/kWh,紧急购电费/元,平衡残差/kWh,储电量最小/kWh,储电量最大/kWh
2025-02-01,0.0,1.0,0.0,0.2,0.8,0.0,43114.93124374485,22322.225260476716,1.6513013179064728e-11,5.721725493401663e-11,2.2737367544323206e-13,1612.552318518519,10800.0
2025-02-02,0.0,1.0,0.0,0.2,0.8,0.0,89429.27847090535,56308.87312596629,1.7326584611510043e-11,6.077542025195725e-11,2.2737367544323206e-13,1406.1290148148128,10800.0
2025-02-03,0.0,1.0,0.0,0.2,0.8,0.0,89001.75297312757,56039.80411783796,1.7516876837930795e-11,7.138942348383637e-11,2.2737367544323206e-13,1412.9819771111117,10800.0
2025-02-04,0.0,1.0,0.0,0.2,0.8,0.0,87153.01962333333,54557.43643856433,541.4923171333612,3777.450404322268,2.2737367544323206e-13,1200.0,10800.0
2025-02-05,0.2,0.8,0.0,0.8,0.2,0.0,90338.24660633746,57068.28756088241,26.479583333352615,153.8066597917359,2.5579538487363607e-13,1474.2478557777804,10800.0
2025-02-06,0.4,0.6,0.0,0.8,0.2,0.0,89793.7179693004,56517.36249721607,11.404286666681298,66.61814056339115,2.2737367544323206e-13,1445.6448814814837,10800.0
2025-02-07,0.4,0.6,0.0,1.0,0.0,0.0,42108.674111028806,21582.9155014533,1.213074085626431e-11,3.999723574565906e-11,3.410605131648481e-13,1219.55548148148,10800.0
2025-02-08,0.8,0.2,0.0,0.8,0.2,0.0,38208.52488703704,19665.25862241852,48.282041600018836,295.14812030086375,1.1368683772161603e-13,1200.0,10800.0
2025-02-09,0.8,0.2,0.0,0.8,0.2,0.0,83002.98832559999,51717.55600393422,1547.8091632333553,10213.140312309875,2.7711166694643907e-13,1200.0,10800.0
2025-02-10,0.2,0.8,0.0,1.0,0.0,0.0,87673.42113884774,54768.72017384793,9.479528273459437e-12,3.0061625189148345e-11,2.2737367544323206e-13,1310.2828333333318,10800.0
2025-02-11,0.2,0.8,0.0,0.8,0.2,0.0,83867.4504352675,52160.36975207455,1.241673430740775e-11,4.31018296609409e-11,2.2737367544323206e-13,1204.7125594814795,10800.0
2025-02-12,0.2,0.8,0.0,1.0,0.0,0.0,82958.07546012347,51480.54330851444,265.28544893335135,1807.4964711558014,2.2737367544323206e-13,1200.0,10800.0
2025-02-13,0.2,0.8,0.0,1.0,0.0,0.0,83652.63505317902,52307.74408958313,1.616040634644378e-11,5.489281162951443e-11,2.2737367544323206e-13,1309.3721282962968,10800.0
2025-02-14,0.2,0.8,0.0,1.0,0.0,0.0,37255.2657891358,19108.79999287241,165.9585812333483,989.733131746083,1.1368683772161603e-13,1200.0,10800.0
2025-02-15,0.2,0.8,0.0,1.0,0.0,0.0,35613.2507899177,18357.04465100737,374.57130034404844,1601.239744607269,1.1368683772161603e-13,1200.0,10800.0
2025-02-16,0.2,0.8,0.0,1.0,0.0,0.0,79339.57540674898,48808.0470689911,922.5286532617481,4648.783878546209,2.4158453015843406e-13,1200.0,10800.0
2025-02-17,0.8,0.2,0.0,0.6,0.4,0.0,79848.92342847737,49149.15122308475,190.90381448561038,1179.9787872569223,2.2737367544323206e-13,1200.0,10800.0
2025-02-18,0.8,0.2,0.0,0.6,0.4,0.0,77632.19544061729,47668.171997854544,132.5832660333549,841.8983871819376,2.2737367544323206e-13,1200.0,10800.0
2025-02-19,0.8,0.2,0.0,0.4,0.6,0.0,76331.76575563787,46738.95834041666,2041.1923866526854,10409.53544984584,1.7053025658242404e-13,1200.0,10586.772126740743
2025-02-20,0.6,0.4,0.0,0.8,0.2,0.0,77086.28597613334,47447.45847235761,192.23570765228214,1052.696748147599,2.2737367544323206e-13,1200.0,10800.0
2025-02-21,0.4,0.6,0.0,0.8,0.2,0.0,34443.7120591358,17683.163440821223,86.63838699589218,185.2328713972335,1.1368683772161603e-13,1257.650042962961,10800.0
2025-02-22,0.4,0.6,0.0,0.8,0.2,0.0,34226.87761481482,17544.721590928668,352.22419046626703,1645.9618604443908,1.1368683772161603e-13,1200.0,10800.0
2025-02-23,0.4,0.6,0.0,0.8,0.2,0.0,77536.20706136667,47615.33665108926,215.8925093514549,1009.8922531645918,3.410605131648481e-13,1200.0,10800.0
2025-02-24,0.4,0.6,0.0,0.8,0.2,0.0,76381.88586452675,46552.15570593487,565.6753506000197,3728.338614389006,2.2737367544323206e-13,1200.0,10800.0
2025-02-25,0.8,0.2,0.0,0.6,0.4,0.0,74400.4740845679,45345.278374345085,324.8651525053597,1054.0890571948032,2.2737367544323206e-13,1200.0,10800.0
2025-02-26,0.6,0.4,0.0,0.6,0.4,0.0,71716.82795814815,43790.569852303466,1397.2566036666865,9589.309068446579,2.2737367544323206e-13,1200.0,10800.0
2025-02-27,0.6,0.4,0.0,0.2,0.8,0.0,70686.67547390946,43081.55350380991,1696.836503666684,8658.040591283561,2.4868995751603507e-13,1200.0,10800.0
2025-02-28,0.8,0.2,0.0,0.2,0.8,0.0,33593.59185876543,17217.644999104265,113.6498466666735,526.3391415766879,1.1368683772161603e-13,1200.0,10800.0
2025-03-01,0.8,0.2,0.0,0.2,0.8,0.0,33584.06931263375,17169.237607723695,233.50144546668,1293.8789170644518,1.1368683772161603e-13,1200.0,10800.0
2025-03-02,0.8,0.2,0.0,0.2,0.8,0.0,74107.08885004115,45075.38939718025,3552.759225855156,23539.632996123783,2.2737367544323206e-13,1200.0,10800.0
2025-03-03,0.6,0.4,0.0,0.6,0.4,0.0,78467.82770399176,48199.5886499912,555.2286381465227,3413.5201402458756,2.2737367544323206e-13,1200.0,10800.0
2025-03-04,0.2,0.8,0.0,0.6,0.4,0.0,79982.76343300412,49292.570843468406,344.0244591769667,1029.9562916220364,2.2737367544323206e-13,1200.0,10800.0
2025-03-05,0.4,0.6,0.0,0.6,0.4,0.0,78237.39347796666,47992.05725507487,71.28839666668055,489.48668176005077,2.2737367544323206e-13,1200.0,10800.0
2025-03-06,0.4,0.6,0.0,0.8,0.2,0.0,74002.479158,45049.64703722833,656.6340350366424,3891.8723928891095,2.2737367544323206e-13,1200.0,10800.0
2025-03-07,0.6,0.4,0.0,0.8,0.2,0.0,32528.19751522634,16605.986737936542,22.57849600494936,78.53251186593091,1.1368683772161603e-13,1200.0,10800.0
2025-03-08,1.0,0.0,0.0,0.8,0.2,0.0,30881.06203333333,16006.296569186,362.8692693950715,1345.425837469018,1.1368683772161603e-13,1200.0,10800.0
2025-03-09,0.8,0.2,0.0,0.8,0.2,0.0,69941.06268703705,42489.79173256345,79.78816370000868,504.3049225242303,2.2737367544323206e-13,1200.0,10800.0
2025-03-10,0.8,0.2,0.0,0.8,0.0,0.2,68094.49147604938,41201.7368479846,3643.9672792333395,23440.966034853525,1.894040480010517e-13,1200.0,10666.234699333334
2025-03-11,0.0,1.0,0.0,0.2,0.8,0.0,71944.94464098764,43588.84745995869,874.3748653000176,5991.891175107911,2.2737367544323206e-13,1200.0,10800.0
2025-03-12,0.0,1.0,0.0,0.6,0.4,0.0,73266.68896477365,44289.859917720925,469.4690289596879,2381.065105310374,2.2737367544323206e-13,1200.0,10800.0
2025-03-13,0.0,1.0,0.0,0.6,0.4,0.0,69979.66466563786,42466.5884245101,2205.038754675333,13709.005589035005,2.7000623958883807e-13,1200.0,10800.0
2025-03-14,0.0,1.0,0.0,0.0,1.0,0.0,31817.705804526748,16282.613728104114,1.2192913345643319e-11,4.620267457511318e-11,1.1368683772161603e-13,1241.2414259259258,10800.0
2025-03-15,0.0,1.0,0.0,0.0,1.0,0.0,29961.487716666663,15454.269152148332,1116.5502037469248,4181.222790491939,1.1368683772161603e-13,1200.0,10800.0
2025-03-16,0.0,1.0,0.0,0.0,1.0,0.0,65988.51649711934,40024.79035673043,1487.5763137222436,9520.837417223021,2.2737367544323206e-13,1200.0,10752.578127592591
2025-03-17,0.0,1.0,0.0,0.4,0.6,0.0,69217.91897403292,41643.110079426064,129.9841618000159,906.7695127168537,3.410605131648481e-13,1200.0,10800.0
2025-03-18,0.0,1.0,0.0,0.6,0.4,0.0,64465.59503181069,38616.53704444006,1500.0496190333497,8071.172161833255,2.984279490192421e-13,1200.0,10800.0
2025-03-19,0.0,1.0,0.0,0.4,0.6,0.0,63791.35332613169,38350.012053865576,671.7216166666838,3340.243188941736,2.2737367544323206e-13,1200.0,10800.0
2025-03-20,0.0,1.0,0.0,0.4,0.6,0.0,64999.46619460905,39200.83820892364,1500.523792300027,10245.372260591455,2.6645352591003757e-13,1200.0,10714.495252185185
2025-03-21,0.8,0.2,0.0,0.4,0.6,0.0,29145.771090000002,14846.714376010668,643.5740530234668,2532.316632374905,1.1368683772161603e-13,1200.0,10800.0
2025-03-22,1.0,0.0,0.0,0.4,0.6,0.0,30050.374496666667,15433.689855353998,9.25370891025068e-12,3.441078211263715e-11,1.1368683772161603e-13,1441.6840940740742,10800.0
2025-03-23,1.0,0.0,0.0,0.4,0.2,0.4,65388.32657851852,39079.10920172623,415.52842806668184,2818.5673400781307,2.2737367544323206e-13,1200.0,10800.0
2025-03-24,1.0,0.0,0.0,0.2,0.4,0.4,65387.34976831275,39166.07574364475,318.8527415172979,753.1275390556982,2.2737367544323206e-13,1200.0,10800.0
2025-03-25,0.6,0.4,0.0,0.0,0.8,0.2,63140.80877534978,37623.31288802986,2032.4265345066085,12062.306049845993,2.2737367544323206e-13,1200.0,10601.601749962965
2025-03-26,0.6,0.4,0.0,0.2,0.2,0.6,65137.87227786008,38927.772862172984,233.64675085845096,1215.6005065363258,2.2737367544323206e-13,1200.0,10800.0
2025-03-27,0.2,0.8,0.0,0.0,0.4,0.6,66109.3137718107,39700.677518165736,10.758044238689525,23.000698582350978,3.410605131648481e-13,1220.1869692592654,10800.0
2025-03-28,0.4,0.6,0.0,0.2,0.2,0.6,28824.07347333333,14554.132799864998,328.69365829219345,1270.52029960456,1.1368683772161603e-13,1200.0,10800.0
2025-03-29,0.4,0.6,0.0,0.2,0.2,0.6,29304.22785,14845.606315767001,23.103406666673884,114.02686360335936,1.1368683772161603e-13,1200.0,10800.0
2025-03-30,0.2,0.8,0.0,0.2,0.2,0.6,63638.393497325116,38014.54965847657,163.19139333334496,1138.4231598933738,2.2737367544323206e-13,1200.0,10800.0
2025-03-31,0.4,0.6,0.0,0.2,0.2,0.6,62980.82867078189,37654.072153396715,155.55342976668487,960.212686749407,2.2737367544323206e-13,1200.0,10800.0
