,mse_plan,mse_adj,mse_both,mae_plan,mae_adj,mae_both,A,L05
2025-02-01,21248.97586254831,21502.257101118845,21242.795112645577,21292.54087890677,21536.17865531081,21313.244652723854,21505.69761637829,21315.633104030218
2025-02-02,53925.57058628288,54098.280431987485,53953.403772772275,53912.17702210688,54128.62141930801,53940.725199188564,54057.05916161086,53619.45219462371
2025-02-03,55554.09268133334,56235.89900944432,55470.517274855345,55544.45711279764,56149.64549802202,55487.61913819999,56306.601649312186,55446.66852274403
2025-02-04,56485.60134217976,58200.76331171658,56962.74328043536,56518.41842751109,59079.50575897181,57949.93497050709,57601.379640171726,56688.33167994524
2025-02-05,55508.82573809619,55222.2803298416,55333.7612960674,55515.26726812601,55023.30495101328,55245.94294963925,55488.19508076013,55854.308049389
2025-02-06,57016.99728303421,57617.264082018475,56956.42077970703,56998.81785844723,57570.33058436965,56886.75037480738,57686.67791448869,56990.32579673592
2025-02-07,21268.984887467923,21790.56350856012,21039.834256021473,21204.820588616956,21814.692430547293,20980.976341702386,21783.355243723843,21394.556945747805
2025-02-08,22214.02795047641,21899.433785361172,22216.785519381494,22448.478641361155,21849.137758945864,22375.7894251134,21885.99282361813,23160.814321365142
2025-02-09,56350.36336327903,56190.088065699616,56068.282876986006,56371.869984496014,55805.75577717985,55662.47092368042,56568.482067401776,55262.58267404255
2025-02-10,52518.09897824047,52028.072281056135,52437.181037408154,52512.39590704892,52218.02184181442,52651.79172856734,52505.94696657542,52600.39241372241
2025-02-11,57213.55306474402,54893.28869650424,54561.03907932868,57143.712029634306,54274.767262640584,53320.298383194015,56973.01990240321,57166.71674577521
2025-02-12,55390.39791165923,55304.81008689218,55436.46987057135,55393.57058801166,55825.31261900064,56162.88515233403,55110.5467585515,55534.504857018364
2025-02-13,50068.65191845175,50101.777472470305,50003.097922252324,50089.34198871389,50102.42086839097,50021.63290215444,50165.39093759485,48736.5905242184
2025-02-14,20381.74472345247,21124.62383020424,20389.384003395586,20388.335915359738,21166.885779755576,20421.897059564915,21111.73600051007,19938.070625846158
2025-02-15,20250.04277178658,20451.12153169381,20236.281195297117,20173.552547841984,20477.152944544505,20188.700341615597,20463.070221782622,20174.95308112227
2025-02-16,59179.758422151535,62187.444002852055,60358.81628424545,59131.7485445589,63487.99541119173,61694.20146306467,61026.08307901426,59351.61533900143
2025-02-17,53064.16891670594,53759.638896364704,52584.3650369267,52990.0215793781,52893.43588251881,51753.862723125436,54250.856817188214,53064.15788787485
2025-02-18,49889.01531763975,50483.404874915504,49934.79352581016,49921.089274056416,50354.512163669875,49720.37329153923,50295.824616746446,49378.78177705096
2025-02-19,51902.938283176074,51125.9417031195,51677.020073577856,51920.18887935221,51057.62865908058,52041.14514571419,51538.153851302646,51495.439472616876
2025-02-20,51130.663646645924,50141.65098613267,50867.89303187052,51103.52893227792,49802.65708050231,50305.56200388706,50745.93109633791,51002.36621597141
2025-02-21,20050.943380305474,20739.552386665822,20025.50284599473,20065.405169741392,20730.820122332967,20021.375722018827,20769.577128636316,18876.167264498807
2025-02-22,19784.434234515193,19497.537039184775,19751.415934954643,19752.6278243939,19525.04835044178,19667.390838431686,19502.973736215143,19079.580566108914
2025-02-23,50599.24565036989,53448.71886379934,50716.958357772746,50606.52436064526,53792.36061301865,51263.499236169606,52593.83384925906,50986.131436098105
2025-02-24,49221.02081441935,47616.217222148414,48961.47305852689,49191.22969743648,47084.92789187787,48927.30122297935,47776.29809714069,49263.231266902025
2025-02-25,49362.44497744755,49494.023458413656,49336.862145905325,49349.4849989541,49336.22579170435,49160.159497641434,49566.41536149339,49381.06609188951
2025-02-26,48844.740078962604,48707.66329197496,48498.0965714724,48835.935315716146,48589.01730076723,48594.09545812585,49059.64812374607,48066.330386236885
2025-02-27,48139.831487489726,48831.22117148726,48544.67141013537,48095.432004294,49627.48169465145,49309.31635956101,48289.40259182485,47732.32750728413
2025-02-28,19167.940150675196,18626.42221975205,19033.567797207153,19133.161244597984,18700.96005615308,18446.87169716562,18582.336611574312,19120.676864691624
2025-03-01,18278.592902101784,18575.748615486085,18259.68368700081,18260.888475784726,18581.67130804337,18247.90195324103,18594.657830583335,18390.722649583648
2025-03-02,49546.65334526997,50501.45996403718,49791.13740109781,49460.039955697874,51982.03653613817,50423.99688964038,49969.4899306404,49225.4869437039
2025-03-03,56017.028698101014,56639.50100743568,55821.02556857765,55970.76730664139,56347.74436655622,55551.67051390207,56737.77816382059,55618.9619307667
2025-03-04,49815.82733966257,48694.443641838574,48972.96927088623,49764.81423495506,47710.19947810335,47351.4515927962,49181.5716762082,49854.88166351285
2025-03-05,48345.62807072965,49874.37364056296,48051.91847052869,48537.234419714885,49156.91972987367,47759.986948913625,50312.03919990108,49242.44653701746
2025-03-06,47544.03332769618,46880.03807689405,47312.02417481768,47547.09556020281,46341.843118343524,47138.219272883536,47709.101720425926,47656.912104265415
2025-03-07,17840.110595179307,18050.946768733596,17812.50267391935,17837.13462191337,18027.0026419254,17785.58257384521,18078.554689990557,17760.94282012328
2025-03-08,17279.820852601297,17177.1434090502,17229.712192843137,17279.408264723028,17133.92376355121,17165.537468234095,17219.92421104404,17212.816510285673
2025-03-09,49068.36227687621,47743.351472239374,47115.55985424722,49119.33092852999,46658.75125030857,46077.02914060456,49686.896660394836,49209.25014008035
2025-03-10,48916.27954843383,49114.838162350796,49497.714916957564,48889.48250691888,50184.696737765655,49891.94830499776,48537.16497540662,48923.171838166396
2025-03-11,45480.44312434467,46387.55721557925,45512.823969006226,45437.57723986675,46149.0254169774,45408.314365251405,46508.94232008158,45255.54492715286
2025-03-12,47949.91176810062,45464.77212472006,45142.67638919155,47993.9015649248,44286.60965616962,44386.07824478074,48276.615308089284,48194.601862436844
2025-03-13,46215.98208025725,47049.569385977295,45667.65129003669,46127.697367584944,48917.12600893338,47713.24417386108,46996.45336069091,45606.466819667025
2025-03-14,17553.75746183167,17558.677890962117,17493.578077716884,17499.802826000927,17463.359360673934,17344.30491159796,17618.85727507212,16710.470096058307
2025-03-15,16896.263708097587,16835.267119561697,16878.76144570994,16889.95458905783,16805.715359640413,16836.25868628734,16857.77882371562,16620.219720983998
2025-03-16,43003.9033093583,42859.510181345344,42881.01250644136,42973.61209410064,42806.68724257663,42745.07357914943,43227.576482853015,42699.0687606858
2025-03-17,46120.5630187684,43446.821362995346,43312.27827389129,46126.695496402725,42018.909790451755,41524.65566001409,46233.609953258914,45837.72313453636
2025-03-18,43968.71207903971,46300.362169651395,44693.557952764146,43852.201845241376,47470.8661602281,45774.18631260095,45605.76191128337,43641.987006982716
2025-03-19,41958.34185238034,42312.46202745194,42357.589861059285,42056.88447080303,42041.58202056557,42634.35691554967,42433.604473858504,41619.915496878835
2025-03-20,54106.60299295891,54504.45814365053,52548.85306663727,54243.29655714538,54129.72908433196,52318.3841360905,56063.85648174432,54442.695825596085
2025-03-21,16459.524579396555,16441.345728620072,16433.574517415997,16468.733739361283,16347.792364866964,16349.230313627617,16466.66774351264,16451.82653830464
2025-03-22,15978.843680793923,15943.001182657865,15922.870373523641,15970.556157708912,15833.1544665656,15804.736134346367,15998.974489926297,15880.547061578825
2025-03-23,41314.45232031846,41963.24328752684,41243.27462336357,41334.00643688357,41893.29465589008,41072.79208384591,42009.36320695948,41269.93861124509
2025-03-24,41792.8812111295,41571.01392677222,41620.82574157035,41778.69471694457,41780.13157365502,41766.09124444896,41714.96488709876,41433.08481682422
2025-03-25,49820.15181877943,51728.524639108015,49478.598795127866,49868.34291472297,52030.14773759704,49824.29642822361,52072.15847682764,49584.66504145808
2025-03-26,38983.235240918606,39050.327310230154,38576.79727477674,39079.19215478549,38326.33043333202,38695.472800872645,39460.74313625004,39322.43661768855
2025-03-27,43481.58535493928,43441.77388954149,43389.49914384258,43509.99837826957,42939.96101170371,43036.7427007387,43703.23978470911,43423.532187027115
2025-03-28,15696.16511419314,15711.595966634452,15670.307552095428,15660.425451029225,15627.970383959188,15545.104769264226,15728.614437154583,15562.373108200794
2025-03-29,16691.347996137843,16732.222352612705,16664.368777584023,16658.107022419797,16652.229703366407,16551.135154619682,16759.201571166523,16502.560157212232
2025-03-30,44835.14530958772,46391.885842650925,44651.86807682775,44942.89784952605,45826.12782939266,44191.70353773958,46568.34518020884,45032.19993051809
2025-03-31,40272.90645260987,40969.97178377696,39828.90448688692,40284.69073323932,41073.26158038775,39566.89421761333,41136.34638358067,39168.61583431478
2025-04-01,41525.64793561282,42135.12315088764,41104.355213826384,41561.843810098675,41856.49837887299,40761.96304692151,42510.62633374226,40638.83780203784
2025-04-02,42101.06066852817,42546.05080653062,41781.52716785068,42037.356800683694,42351.812780096516,41212.23208864746,42631.42910545526,41978.94960107064
2025-04-03,40577.32399286327,39567.87659588371,39451.14310438247,40587.27384623286,39456.424272099626,39337.033608449245,40448.625925552806,40661.799242594985
2025-04-04,14536.69657015278,14501.04499588819,14496.96863048634,14512.204116111476,14432.2716480957,14422.2265037096,14539.621351153066,14397.593027694593
2025-04-05,15752.805858030879,15734.721114630676,15712.714334042787,15733.415232328105,15646.480207566326,15627.9867396534,15782.484690044032,15649.30183913542
2025-04-06,38394.068192366816,40464.60481252278,38387.8214019649,38452.58363470054,40444.675499759906,38425.979016215315,40471.26710530368,38437.94733881287
