,A,L05,L6_plan,L6_adj,L6_both
2025-02-01,21505.69761637829,21315.633104030218,21444.941656833566,21536.17865531081,21475.422695764235
2025-02-02,54057.05916161086,53619.45219462371,53934.51608496934,54128.62141930801,54002.54987832817
2025-02-03,56306.601649312186,55446.66852274403,55965.26499391869,56149.64549802202,55851.4815283925
2025-02-04,57601.379640171726,56688.33167994524,57039.23175860474,59079.50575897181,58764.525411443334
2025-02-05,55488.19508076013,55854.308049389,55510.42652809028,55023.30495101328,55107.67832238191
2025-02-06,57686.67791448869,56990.32579673592,57421.20013911964,57570.33058436965,57308.362495963804
2025-02-07,21783.355243723843,21394.556945747805,21422.930338707894,21814.692430547293,21453.80964376332
2025-02-08,21885.99282361813,23160.814321365142,22202.049580137937,21849.137758945864,22142.406572212418
2025-02-09,56568.482067401776,55262.58267404255,56309.58142661612,55921.63198692394,55742.5352280181
2025-02-10,52505.94696657542,52600.39241372241,52446.74152162272,52218.02184181442,52463.48835227177
2025-02-11,56973.01990240321,57166.71674577521,57363.26372293166,54274.767262640584,54130.64029140916
2025-02-12,55110.5467585515,55534.504857018364,55583.55598114942,55588.729219943365,56073.96866351576
2025-02-13,50165.39093759485,48736.5905242184,50155.01056365403,50102.42086839097,50091.7319713008
2025-02-14,21111.73600051007,19938.070625846158,20958.399995981028,21166.885779755576,21011.437405067656
2025-02-15,20463.070221782622,20174.95308112227,20353.037779711103,20477.152944544505,20367.12050246979
2025-02-16,61026.08307901426,59351.61533900143,61441.75407574045,63487.99541119173,63905.14226030519
2025-02-17,54250.856817188214,53064.15788787485,53777.753212378724,52893.43588251881,52465.18812199613
2025-02-18,50295.824616746446,49378.78177705096,50088.621267548304,50275.77781380694,49959.46386592201
2025-02-19,51538.153851302646,51495.439472616876,51590.88708626792,51350.888861065185,51811.68539572178
2025-02-20,50745.93109633791,51002.36621597141,51014.20505744684,49918.93679944883,50109.47942923333
2025-02-21,20769.577128636316,18876.167264498807,20565.25493327738,20730.820122332967,20523.16253335654
2025-02-22,19502.973736215143,19079.580566108914,19498.68259483543,19525.04835044178,19520.19945198243
2025-02-23,52593.83384925906,50986.131436098105,51876.52713203218,52859.58811216398,52217.99494416128
2025-02-24,47776.29809714069,49263.231266902025,48456.151200029264,47057.21704565998,47963.631671772884
2025-02-25,49566.41536149339,49381.06609188951,49463.40130980017,49392.15489854627,49292.12414003447
2025-02-26,49059.64812374607,48066.330386236885,49022.534319616374,48493.22611016195,48449.62720597982
2025-02-27,48289.40259182485,47732.32750728413,48099.967702981296,49608.78861103358,49463.021510302366
2025-02-28,18582.336611574312,19120.676864691624,18312.15485463902,18700.96005615308,18423.333835730664
2025-03-01,18594.657830583335,18390.722649583648,18376.127446635925,18581.67130804337,18363.140924092226
2025-03-02,49969.4899306404,49225.4869437039,48542.05716837196,51982.03653613817,50950.83905379506
2025-03-03,56737.77816382059,55618.9619307667,56374.24086829584,56797.306722622256,56434.363419530295
2025-03-04,49181.5716762082,49854.88166351285,48456.08242476792,47710.19947810335,47156.2654040714
2025-03-05,50312.03919990108,49242.44653701746,50239.73722540521,49156.91972987367,49080.22926022372
2025-03-06,47709.101720425926,47656.912104265415,47364.56925119596,47048.98744396113,46971.92873780785
2025-03-07,18078.554689990557,17760.94282012328,17961.01635342491,18027.0026419254,17909.464305356756
2025-03-08,17219.92421104404,17212.816510285673,17255.12458584449,17133.92376355121,17118.128375286302
2025-03-09,49686.896660394836,49209.25014008035,49409.04686726595,47789.27722233749,47502.520154911865
2025-03-10,48537.16497540662,48923.171838166396,48850.599942560475,50184.696737765655,50024.452977787834
2025-03-11,46508.94232008158,45255.54492715286,46299.040557965774,46149.0254169774,46084.34283958827
2025-03-12,48276.615308089284,48194.601862436844,48059.006132232986,45049.68935292233,44808.70831513508
2025-03-13,46996.45336069091,45606.466819667025,46590.29674450272,48163.10042881539,47199.39750507013
2025-03-14,17618.85727507212,16710.470096058307,17578.999600137995,17463.359360673934,17423.501685735027
2025-03-15,16857.77882371562,16620.219720983998,16845.495743751282,16805.715359640413,16791.799840980795
2025-03-16,43227.576482853015,42699.0687606858,43201.11646098192,42871.79859922875,42825.51473648342
2025-03-17,46233.609953258914,45837.72313453636,46048.12095509976,43165.11603957957,42608.56843854105
2025-03-18,45605.76191128337,43641.987006982716,44795.74080601829,47470.8661602281,46660.06814642705
2025-03-19,42433.604473858504,41619.915496878835,43149.902850463,42048.60997187039,42814.49848577331
2025-03-20,56063.85648174432,54442.695825596085,55542.604699042815,54917.34457681762,54302.19241952077
2025-03-21,16466.66774351264,16451.82653830464,16466.326982483082,16347.792364866964,16346.823556749414
2025-03-22,15998.974489926297,15880.547061578825,15989.334664910302,15833.1544665656,15823.514641547756
2025-03-23,42009.36320695948,41269.93861124509,41649.62045322195,41888.00542433257,41712.495615390224
2025-03-24,41714.96488709876,41433.08481682422,41714.343996616786,41771.51627697577,41683.48529505259
2025-03-25,52072.15847682764,49584.66504145808,50656.01140782344,52670.72584706479,51252.55302430074
2025-03-26,39460.74313625004,39322.43661768855,39468.70672791601,38326.33043333202,38658.2379482671
2025-03-27,43703.23978470911,43423.532187027115,43935.475932116286,42837.64358541976,42920.17787988563
2025-03-28,15728.614437154583,15562.373108200794,15668.366744976713,15627.970383959188,15561.356216655877
2025-03-29,16759.201571166523,16502.560157212232,16730.55221954396,16652.229703366407,16623.580351743847
2025-03-30,46568.34518020884,45032.19993051809,45825.23675114304,45921.38544856863,45173.584590345345
2025-03-31,41136.34638358067,39168.61583431478,40066.44315877715,41390.2840349267,40483.23458601416
2025-04-01,42510.62633374226,40638.83780203784,41818.9188145814,41968.683833471645,41292.668656321475
2025-04-02,42631.42910545526,41978.94960107064,40989.91080086668,42357.105383312984,41152.315473271694
2025-04-03,40448.625925552806,40661.799242594985,40538.37022437524,39383.473156492546,39416.17629463552
2025-04-04,14539.621351153066,14397.593027694593,14538.212628351519,14432.2716480957,14429.697595513377
2025-04-05,15782.484690044032,15649.30183913542,15788.856944491748,15646.480207566326,15654.327357965585
2025-04-06,40471.26710530368,38437.94733881287,39766.855169396724,40444.675499759906,39741.503268320776
2025-04-07,38650.1893742181,37884.33881471008,38731.92196348694,38213.057751719076,38302.35316474203
2025-04-08,42343.71153004223,41328.32253944942,42042.95058458257,42204.30696513859,41887.86265225908
2025-04-09,39073.133307342214,38701.69751107834,38573.39769996001,40285.60860879894,40430.97547621495
2025-04-10,38741.997301417265,39975.67431303674,39478.81090556186,38017.57230615882,38628.59215529868
2025-04-11,15581.697579615498,15566.439663473935,15472.043604483719,15462.60721913636,15352.953244004577
