,A,L05,L6pred,L6pred_pure
2025-02-01,21505.69761637829,21315.633104030218,21964.97390268491,22008.790885848957
2025-02-02,54057.05916161086,53619.45219462371,54625.10095140075,54884.37891556449
2025-02-03,56306.601649312186,55446.66852274403,56093.75309313397,56550.418846903776
2025-02-04,57601.379640171726,56688.33167994524,56526.88998675705,57136.302253210146
2025-02-05,55488.19508076013,55854.308049389,55929.174505755705,55948.54857210259
2025-02-06,57686.67791448869,56990.32579673592,56918.62946900762,57122.11089040389
2025-02-07,21783.355243723843,21394.556945747805,21596.948127058244,21838.269882396467
2025-02-08,21885.99282361813,23160.814321365142,20701.457615809963,20881.47908425737
2025-02-09,56568.482067401776,55262.58267404255,55411.62921262628,55507.40519849141
2025-02-10,52505.94696657542,52600.39241372241,52982.93105887902,52973.35077847514
2025-02-11,56973.01990240321,57166.71674577521,56230.93318189124,56573.48038615731
2025-02-12,55110.5467585515,55534.504857018364,55362.554917999,55798.48030385802
2025-02-13,50165.39093759485,48736.5905242184,51650.737709685825,51846.68342839102
2025-02-14,21111.73600051007,19938.070625846158,19805.08767764373,20246.87016767757
2025-02-15,20463.070221782622,20174.95308112227,20432.914601616656,20480.750491484614
2025-02-16,61026.08307901426,59351.61533900143,61363.81745858709,60762.75026776984
2025-02-17,54250.856817188214,53064.15788787485,54700.5613690306,54823.02888755734
2025-02-18,50295.824616746446,49378.78177705096,51534.12084790817,51494.10214659405
2025-02-19,51538.153851302646,51495.439472616876,52764.01005413929,53310.44679866602
2025-02-20,50745.93109633791,51002.36621597141,52942.19737307349,53306.337507694116
2025-02-21,20769.577128636316,18876.167264498807,19938.274108397763,19978.44017217975
2025-02-22,19502.973736215143,19079.580566108914,19553.973680147807,19633.246079345383
2025-02-23,52593.83384925906,50986.131436098105,52540.655424730714,52954.248997990566
2025-02-24,47776.29809714069,49263.231266902025,49931.2991784167,49964.41338790276
2025-02-25,49566.41536149339,49381.06609188951,49840.19775862327,50027.23029078283
2025-02-26,49059.64812374607,48066.330386236885,48681.12117524304,48512.123712153996
2025-02-27,48289.40259182485,47732.32750728413,48531.36600910704,48711.30002155006
2025-02-28,18582.336611574312,19120.676864691624,19382.25259619016,19402.456077746574
2025-03-01,18594.657830583335,18390.722649583648,18362.344937205464,18439.557965807762
2025-03-02,49969.4899306404,49225.4869437039,49332.40707963774,48646.93097683146
2025-03-03,56737.77816382059,55618.9619307667,55932.443815166276,56178.53086594523
2025-03-04,49181.5716762082,49854.88166351285,49799.958268171315,49938.1761045355
2025-03-05,50312.03919990108,49242.44653701746,50177.64578554068,50357.72676705034
2025-03-06,47709.101720425926,47656.912104265415,47616.87382171791,47822.18542012837
2025-03-07,18078.554689990557,17760.94282012328,17922.445842138575,18009.067706548904
2025-03-08,17219.92421104404,17212.816510285673,17289.31444194454,17292.364208492258
2025-03-09,49686.896660394836,49209.25014008035,49418.05982606245,49729.2487473737
2025-03-10,48537.16497540662,48923.171838166396,48723.13939310383,48544.359273862225
2025-03-11,46508.94232008158,45255.54492715286,45073.563419475424,45182.33845886114
2025-03-12,48276.615308089284,48194.601862436844,48637.09839170416,48901.24082086719
2025-03-13,46996.45336069091,45606.466819667025,45760.674436707974,46966.025526210055
2025-03-14,17618.85727507212,16710.470096058307,16574.948077770114,16533.964375672185
2025-03-15,16857.77882371562,16620.219720983998,16758.372841257613,16789.77254823276
2025-03-16,43227.576482853015,42699.0687606858,43312.418622359924,43386.2960986684
2025-03-17,46233.609953258914,45837.72313453636,46483.35733374393,46429.900032460864
2025-03-18,45605.76191128337,43641.987006982716,44911.020853483955,45736.14345805223
2025-03-19,42433.604473858504,41619.915496878835,41657.91303969407,41692.505180608205
2025-03-20,56063.85648174432,54442.695825596085,55301.9081255152,55787.36850865692
2025-03-21,16466.66774351264,16451.82653830464,16499.37922981065,16506.411823397604
2025-03-22,15998.974489926297,15880.547061578825,16007.536912789143,16024.568008241062
2025-03-23,42009.36320695948,41269.93861124509,41890.7718749404,42231.926772543186
2025-03-24,41714.96488709876,41433.08481682422,42144.00821929129,42287.107473337215
2025-03-25,52072.15847682764,49584.66504145808,50500.60751611667,51351.94097921409
2025-03-26,39460.74313625004,39322.43661768855,40036.583001396604,40024.78771490253
2025-03-27,43703.23978470911,43423.532187027115,44304.442867128615,44213.62524229794
2025-03-28,15728.614437154583,15562.373108200794,15697.114948572305,15710.773795482513
2025-03-29,16759.201571166523,16502.560157212232,16723.270201371924,16762.099237693612
2025-03-30,46568.34518020884,45032.19993051809,46309.95313268373,46813.453825779376
2025-03-31,41136.34638358067,39168.61583431478,40352.32136823303,39987.629071725816
2025-04-01,42510.62633374226,40638.83780203784,41675.56567555556,42257.25613866296
2025-04-02,42631.42910545526,41978.94960107064,42115.254392617026,42301.05735332508
2025-04-03,40448.625925552806,40661.799242594985,40829.40663951394,40981.460854188306
2025-04-04,14539.621351153066,14397.593027694593,14539.17702120129,14551.304107778644
2025-04-05,15782.484690044032,15649.30183913542,15763.797001478366,15773.52741465776
2025-04-06,40471.26710530368,38437.94733881287,40432.51018938173,40914.000019236075
2025-04-07,38650.1893742181,37884.33881471008,38016.02989152224,38075.308577058415
2025-04-08,42343.71153004223,41328.32253944942,42094.55908500805,42443.07084742868
2025-04-09,39073.133307342214,38701.69751107834,38448.59387077067,39197.36828346258
2025-04-10,38741.997301417265,39975.67431303674,39966.72316254603,39956.58194439556
2025-04-11,15581.697579615498,15566.439663473935,15513.901501577042,15552.56251527062
2025-04-12,14891.260801216526,14792.580896043495,14865.406696092912,14904.261538563887
2025-04-13,38458.61561760729,38645.36614783349,39734.04358235728,39230.446673299724
