,lam=0.0,lam=0.1,lam=0.2,lam=0.3,lam=0.4,lam=0.5,lam=0.6,lam=0.7,lam=0.8,lam=0.9,lam=1.0
2025-02-22,19066.804652140574,19060.961350434995,19062.762701555064,19065.127215332417,19069.723128847265,19079.580566108914,19267.14243306895,19458.502182635875,19434.691435767832,19449.61100387421,19502.973736215143
2025-02-23,50751.9565391885,50963.61752596598,50975.499813912895,50977.86664861711,50980.53646121584,50986.131436098105,51271.008374626945,51636.467778341714,51971.70323709217,52300.685028691194,52593.83384925906
2025-02-24,49835.702850392285,49742.527404926106,49709.25989086378,49734.4266287868,49763.006989510715,49263.231266902025,48846.75184149592,48657.02540633293,48323.4396096619,48061.870066391595,47776.29809714069
2025-02-25,49205.60735026917,49240.61830576328,49275.71985789719,49310.82141003109,49345.93386937391,49381.06609188951,49417.39576926745,49455.14153612078,49491.89135492541,49528.054757405014,49566.41536149339
2025-02-26,48147.58331244026,48078.452301268524,47939.548859583294,47819.718909106945,47719.729778003886,48066.330386236885,48485.36617078859,48780.87566860394,48893.281795678464,48985.85724659646,49059.64812374607
2025-02-27,48397.20575378723,47961.53874422358,47600.22746191079,47453.07038751713,47644.98516568226,47732.32750728413,47731.82814234879,47756.94760875692,47949.25013458954,48104.82985879036,48289.40259182485
2025-02-28,19179.791528066304,19169.705426244655,19161.76113248118,19155.536322200158,19149.31151191912,19120.676864691624,18728.39476601154,18314.343555908246,18028.047173183088,18313.391344533113,18582.336611574312
2025-03-01,18668.030613312367,18561.356641579387,18491.64404333635,18461.40746608018,18425.67137336442,18390.722649583648,18355.773925802878,18320.825202022104,18351.200881657325,18401.38953521506,18594.657830583335
2025-03-02,49539.89927757385,49284.48215635148,49011.86501547257,49167.632532859476,49400.862137079486,49225.4869437039,49135.408867777536,48199.77831339759,48603.5877663833,49342.68353760405,49969.4899306404
2025-03-03,54374.155673797315,54560.92918013315,54848.67113997245,55119.73746734367,55374.9677824707,55618.9619307667,55856.60676303117,56088.988326583414,56311.17107203993,56527.934781745724,56737.77816382059
