无调整_总费用_元,有调整_总费用_元,无调整_紧急费_元,有调整_紧急费_元
14441280.919123972,12914934.625832597,2130349.5975203225,280846.39324606454
14381554.328852827,12942324.63988756,2070623.007249175,308236.40730103117
14190944.26570162,12920727.710079657,1880012.9440979643,286639.47749312024
14030156.235386446,12954673.031119665,1719224.9137827933,320584.79853312636
14351735.512471097,12948367.415434672,2040804.1908674452,314279.1828481319
14214510.843007164,12918880.526126975,1903579.5214035015,284792.29354044615
14330381.177374564,12965731.130738385,2019449.8557709102,331642.8981518502
14248607.158554073,12960201.416657994,1937675.8369504216,326113.1840714621
14156955.382244943,12925302.641478896,1846024.0606412878,291214.408892358
14150764.197969805,12937568.332343042,1839832.8763661443,303480.09975650784
13986241.219054334,12913126.702811185,1675309.8974506804,279038.47022465314
14282762.859893411,12945857.229080195,1971831.538289758,311768.9964936545
14190283.95412278,12909415.657509346,1879352.6325191187,275327.4249228062
14087804.011425905,12954417.255306648,1776872.6898222521,320329.02272011293
14309096.828275505,12976244.119508576,1998165.5066718322,342155.8869220475
14231857.315179702,12928451.912885176,1920925.9935760568,294363.68029864115
14206127.287838288,12937475.630506173,1895195.9662346416,303387.3979196406
14283115.619651584,12933441.110384226,1972184.2980479195,299352.87779768993
14315645.569111597,12921158.104577344,2004714.2475079438,287069.8719908126
14321145.028888594,12934133.077284742,2010213.707284936,300044.84469820873
14164443.837390965,12953889.452059278,1853512.5157873107,319801.21947274194
14310483.679659823,12938557.220985156,1999552.3580561671,304468.98839862674
14433792.479900897,12963959.046812352,2122861.1582972393,329870.8142258189
14260519.375843944,12945806.60704697,1949588.054240274,311718.37446043093
14270586.135846231,12892057.981862403,1959654.8142425783,257969.74927586442
14286031.848173017,12943176.00711153,1975100.5265693518,309087.77452499245
14023236.944453338,12954706.241067125,1712305.6228496898,320618.0084805904
14042688.056432143,12981503.061192578,1731756.7348284808,347414.82860604365
14222898.602697471,12934370.30011789,1911967.2810938193,300282.0675313553
14454466.711210607,12934626.012954947,2143535.3896069545,300537.7803683997
14308470.243565818,12946980.851843178,1997538.9219621664,312892.6192566467
14317909.060282031,12932553.379445484,2006977.7386783774,298465.14685895323
14114559.166679012,12957698.856860492,1803627.8450753633,323610.62427395425
14252216.592130918,12979414.231222428,1941285.2705272543,345325.99863589107
14263881.792832164,12936263.369246397,1952950.4712285073,302175.13665986364
14325925.998980341,12927136.16887881,2014994.6773766999,293047.9362922775
14467118.080147346,12955474.927602055,2156186.758543693,321386.69501552626
13972072.443839576,12966471.645289117,1661141.1222359124,332383.4127025809
14401010.224090789,12908326.96387691,2090078.9024871304,274238.731290377
14074143.439047411,12962596.577134456,1763212.1174437543,328508.3445479219
14404826.16398097,12953268.408975216,2093894.842377313,319180.1763886787
14153183.425989985,12954394.77894359,1842252.1043863238,320306.54635705793
14371350.070054675,12914816.549339142,2060418.7484510227,280728.31675260747
14228343.068115272,12895886.977338143,1917411.7465116302,261798.7447516094
14149808.686352802,12951035.85258015,1838877.3647491487,316947.619993619
14086358.855460402,12928755.422665762,1775427.533856742,294667.19007923064
14190206.079484897,12956173.894819612,1879274.7578812449,322085.6622330736
14054361.163060967,12972845.494102906,1743429.8414573125,338757.2615163714
14265795.597027669,12984848.39801886,1954864.275424012,350760.16543232143
14288400.17136744,12964050.077923432,1977468.849763785,329961.84533689736
