日期,动态分时段费用,动态单λ费用,λ_am,λ_pm
2025-02-01,20714.71137106171,21315.63310403021,0.6,0.0
2025-02-02,53859.70089253328,53604.3593709981,0.6,0.0
2025-02-03,53555.80164138542,53891.38424522846,0.5,0.0
2025-02-04,56782.008874699466,57210.24886377224,0.4,0.0
2025-02-05,56316.87061411324,56226.30254497069,0.5,0.2
2025-02-06,56659.396497301044,56730.227466536766,0.5,0.2
2025-02-07,21384.07671964612,21501.11185720577,0.4,0.2
2025-02-08,23324.09070423773,23627.775087506616,0.8,0.0
2025-02-09,55332.90547769115,54864.94981815084,1.0,0.0
2025-02-10,52887.448452907825,52696.55494850166,0.8,0.0
2025-02-11,57037.01494273255,56689.067463476575,0.8,0.4
2025-02-12,54717.574604186564,54717.57460418656,0.0,0.0
2025-02-13,50246.01898568264,50253.26982171089,0.2,0.0
2025-02-14,20189.353767656536,19724.50437746913,1.0,0.5
2025-02-15,20353.566141692427,20241.42965714761,1.0,0.5
2025-02-16,59323.588278980606,59927.63753117976,0.2,0.0
2025-02-17,52475.88393827443,52455.5565872551,0.8,0.0
2025-02-18,50703.0528113803,49461.626178557504,0.8,0.0
2025-02-19,51232.07846910016,51372.100930386536,0.5,0.2
2025-02-20,51204.37621486061,50841.10359922407,0.6,0.2
2025-02-21,19847.531231155837,19725.27162849779,0.4,0.2
2025-02-22,19056.918116899626,19065.127215332417,0.6,0.4
2025-02-23,50996.309748818734,50977.86664861711,0.6,0.4
2025-02-24,49821.41911849029,49734.4266287868,0.0,0.4
2025-02-25,49345.933869373905,49345.93386937391,0.4,0.4
2025-02-26,47919.868904133684,48066.330386236885,0.0,0.5
2025-02-27,48114.27053231704,47732.327507284135,0.0,0.5
2025-02-28,19123.326212373773,19120.676864691628,0.6,0.5
2025-03-01,18229.071134946233,18461.40746608018,1.0,0.2
2025-03-02,49442.300059584566,49135.408867777536,1.0,0.2
2025-03-03,56057.84412912455,56088.9883265834,0.6,0.8
2025-03-04,51003.557465634214,51003.55746563421,0.2,0.2
2025-03-05,50283.21721682062,50112.49574583167,0.5,0.8
2025-03-06,47488.74078832558,47517.8910845259,0.5,0.8
2025-03-07,17914.20256176901,17665.623440698764,0.5,0.8
2025-03-08,17219.971515059093,17205.114840925897,0.0,0.2
2025-03-09,48577.58566753726,48846.81287979016,0.0,0.2
2025-03-10,49300.92499030515,49082.56548060861,0.0,0.4
2025-03-11,45226.042095256525,45435.11083933558,0.4,0.0
2025-03-12,47896.26187339789,48139.74383177334,0.4,0.0
2025-03-13,46254.64286748016,47496.412983729126,0.4,0.0
2025-03-14,15679.981927600502,17158.69829299772,0.6,0.0
2025-03-15,16392.565278672548,16620.219720983998,0.6,0.0
2025-03-16,43318.61529717988,42699.0687606858,0.6,0.0
2025-03-17,46391.772338139104,45837.72313453637,0.6,0.0
2025-03-18,40267.531025655924,43641.98700698271,0.6,0.0
2025-03-19,41430.8494838597,41619.91549687883,0.6,0.0
2025-03-20,52017.766615970744,54442.695825596085,0.6,0.0
2025-03-21,16474.142667267464,16475.875652224302,0.6,0.0
2025-03-22,15854.617931786192,15765.513692877354,0.6,0.0
2025-03-23,41356.51830719012,40738.28124513842,0.6,0.0
2025-03-24,40874.523038111285,40651.91176953851,0.5,0.0
2025-03-25,46849.978259160416,46104.65377771145,0.5,0.0
2025-03-26,39486.55356401507,39486.55356401507,0.0,0.0
2025-03-27,40907.55235705552,40907.55235705552,0.0,0.0
2025-03-28,15680.795779735128,15680.795779735128,0.0,0.0
2025-03-29,16296.820138384857,16296.820138384855,0.0,0.0
2025-03-30,43453.670961559656,43453.670961559656,0.0,0.0
2025-03-31,38301.76834018368,38301.76834018368,0.0,0.0
2025-04-01,40448.84100341026,40448.84100341026,0.0,0.0
2025-04-02,42692.54290285706,42830.54523967312,0.4,0.0
2025-04-03,40748.638174585845,40711.43797247885,0.2,0.0
2025-04-04,14358.952446790996,14367.347538425132,0.2,0.0
2025-04-05,15670.36721857175,15705.765090358964,0.2,0.0
2025-04-06,36364.61472754571,36493.78506473744,0.2,0.0
2025-04-07,35015.58811880344,35311.55747599164,0.2,0.0
2025-04-08,41180.28485471794,41165.48967660048,0.5,0.0
2025-04-09,39837.973386874444,40482.096844502186,0.2,0.0
2025-04-10,39979.80391440304,40131.4159581572,0.4,0.0
2025-04-11,15468.9451743916,15571.323367947583,0.4,0.0
2025-04-12,14674.56825308712,14698.02527707784,0.4,0.0
2025-04-13,40332.29256693134,40187.018444637695,0.4,0.0
2025-04-14,41879.04072214944,41800.76780629569,0.4,0.0
2025-04-15,37903.5062115146,37672.12117074888,0.5,0.8
2025-04-16,37357.5046416676,37372.55655733749,0.8,0.0
2025-04-17,38456.41629762357,38303.112312803016,0.6,0.0
2025-04-18,13874.011129127659,13840.833016023684,0.5,0.8
2025-04-19,13073.0423916773,13109.296661678864,0.5,0.8
2025-04-20,35486.528633852206,35694.3239145069,0.5,0.8
2025-04-21,35621.982625476354,35501.95047327161,0.4,0.8
2025-04-22,35258.173700564985,34832.75682113298,0.4,0.8
2025-04-23,35381.30855991125,35126.38275085565,0.4,0.8
2025-04-24,32887.90100868055,32623.41908218702,0.4,0.8
2025-04-25,13137.897982914623,13114.144058713711,0.6,0.5
2025-04-26,13200.96037097632,13200.96037097632,0.5,0.5
2025-04-27,35377.89994538372,35193.79266466977,0.6,0.5
2025-04-28,37057.260977771,37022.187943340745,0.4,0.5
2025-04-29,35281.99558605982,34969.284276203434,0.4,0.5
2025-04-30,33624.062330458524,33918.35728109504,0.6,0.5
2025-05-01,36690.72261152552,36657.43848485357,0.6,0.8
2025-05-02,15902.891941143545,16115.637496785585,0.6,0.8
2025-05-03,15268.386533992194,15273.303326903038,0.6,0.8
2025-05-04,38881.48336369615,38826.515863328765,0.6,0.8
2025-05-05,37109.65952959341,37071.78940850786,0.6,0.8
2025-05-06,38244.79699482111,39293.46535753053,0.6,1.0
2025-05-07,37738.11062136837,38214.66869994088,0.4,0.8
2025-05-08,38665.86436416038,38689.38558940504,0.4,0.8
2025-05-09,15111.89231129664,15244.349852762316,0.4,0.8
2025-05-10,15091.310309707775,15112.934430741909,0.4,0.8
2025-05-11,37221.73775733858,37158.67934374832,0.4,0.8
2025-05-12,37503.6313544286,36830.45202164962,0.4,0.8
2025-05-13,36101.466710066765,35739.58354615392,0.5,0.2
2025-05-14,36059.17894581696,36042.59261654397,0.5,0.2
2025-05-15,36913.78356520665,36555.47751337177,0.8,0.2
2025-05-16,14747.565714233742,14788.155519992491,0.6,0.5
2025-05-17,15561.311429700327,15578.63639977008,0.6,0.5
2025-05-18,35821.765935255564,35760.56897955587,0.6,0.5
2025-05-19,34032.97602354079,34001.16050444603,0.6,0.5
2025-05-20,39089.95724948495,38929.26476427357,0.2,0.5
2025-05-21,36024.72589973527,36024.72589973527,0.5,0.5
2025-05-22,34205.72678487332,34152.371273908495,0.4,0.5
2025-05-23,14955.120877820029,14964.704911936904,0.4,0.5
2025-05-24,14378.53292230182,14361.871004530562,0.4,0.5
2025-05-25,35212.78735459904,35169.52943069328,0.4,0.5
2025-05-26,37968.96352047278,37968.96352047278,0.5,0.5
2025-05-27,33927.018203242515,34131.62619112412,0.8,0.6
2025-05-28,35120.67136000369,34896.18083091621,0.8,0.5
2025-05-29,38018.657167281664,38081.93422908972,0.8,0.6
2025-05-30,14550.546921583735,14433.362149170156,0.8,0.4
2025-05-31,14939.747249565715,14911.722393667456,0.8,0.5
2025-06-01,49251.724940929096,51253.26787102477,0.8,0.5
2025-06-02,49128.72628065889,49104.37472871004,0.8,0.4
2025-06-03,48005.14071269929,47810.588892802974,1.0,0.2
2025-06-04,48842.378355253044,48290.40333160268,0.8,0.2
2025-06-05,47816.7902745182,47778.484364529686,0.6,0.2
2025-06-06,23091.2946901151,23319.510783886035,0.6,0.2
2025-06-07,21729.82248281134,21676.089783411557,0.6,0.2
2025-06-08,46663.371686603,46424.319789100926,0.6,0.2
2025-06-09,48243.56866736255,48498.21131672598,0.0,0.2
2025-06-10,48264.04891041836,48281.22055322927,0.0,0.5
2025-06-11,53252.893626064586,53382.27522323856,0.0,0.4
