,A,L05,LIT7,LITall,AR7,ARall,X7,Xall,Xfull
2025-02-01,21505.69761637829,21315.633104030218,21399.381702366976,21835.029811767596,21511.765161438325,22409.02958080063,21483.474258550614,21988.813298102694,22008.790885848957
2025-02-02,54057.05916161086,53619.45219462371,54086.65497443542,54246.15806067271,54061.382878840945,54917.34655364429,54063.07575926378,54964.422069120126,54884.37891556449
2025-02-03,56306.601649312186,55446.66852274403,56336.50764750221,55102.10700410653,56306.071741711785,56070.62415100114,56310.2441624152,56565.070853447854,56550.41884690378
2025-02-04,57601.379640171726,56688.33167994524,57585.64317774218,56960.40922520068,57547.8375026994,56815.31060044735,57603.183483545276,57043.764535745926,57136.30225321013
2025-02-05,55488.19508076013,55854.308049389,55474.824314279926,55603.89310588752,55474.88954002023,55695.154620243884,55488.08207057243,55988.815020784445,55948.5485721026
2025-02-06,57686.67791448869,56990.32579673592,57695.794871932216,55791.82133765354,57684.38152293454,56633.15892793617,57687.40301719375,57058.34969140929,57122.11089040389
2025-02-07,21783.355243723843,21394.556945747805,21788.08735309282,21171.086614425876,21771.775693062325,21747.351841333388,21783.164188824598,21849.27813046523,21838.269882396467
2025-02-08,21885.99282361813,23160.814321365142,21908.312409336537,21181.21222129059,21886.211021485055,22180.2939659049,21884.12497788762,20974.65668847798,20881.47908425737
2025-02-09,56568.482067401776,55262.58267404255,56581.07045845548,54834.561882865564,56546.921992286865,55458.925979446656,56565.24946894358,55953.92778097895,55507.40519849141
2025-02-10,52505.94696657542,52600.39241372241,52546.92241074981,52796.80326561275,52512.19374487922,53608.088947384735,52497.19980856108,53099.77284125105,52973.35077847515
2025-02-11,56973.01990240321,57166.71674577521,57025.479016675956,55453.52920889802,56967.841937807236,55704.600545273424,56964.93612624205,56600.63452828447,56573.4803861573
2025-02-12,55110.5467585515,55534.504857018364,55115.66337831791,55863.25597413861,55084.39228920677,55647.10233087998,55107.41511488674,55860.46081158194,55798.48030385802
2025-02-13,50165.39093759485,48736.5905242184,50192.324403127495,51573.90352111977,50162.74185737194,51992.94964174857,50159.07244475814,51968.45060944373,51846.68342839103
2025-02-14,21111.73600051007,19938.070625846158,21106.270410049972,19649.96392970683,21054.50196438147,19810.022715101353,21103.764604297477,20289.75405339199,20246.870167677574
2025-02-15,20463.070221782622,20174.95308112227,20279.220232521115,20359.68716900537,20433.015009502873,20479.443800762478,20518.142334688102,20514.551067850167,20480.750491484614
2025-02-16,61026.08307901426,59351.61533900143,61034.86041000206,59836.62620338063,61013.04277461747,60152.90264685572,61019.68742058161,60787.8982727173,60762.75026776985
2025-02-17,54250.856817188214,53064.15788787485,54290.92716226027,52291.73211427822,54264.82685198143,53147.525911279234,54241.42206628658,54878.06493768989,54823.02888755734
2025-02-18,50295.824616746446,49378.78177705096,50292.62006566258,51485.895672447165,50295.89370367758,52809.60187837722,50297.8307574204,51528.34951337782,51494.10214659405
2025-02-19,51538.153851302646,51495.439472616876,51561.78526970188,51822.98523748747,51490.24505073718,52379.577971311584,51529.250455611706,53227.048198458026,53310.44679866602
2025-02-20,50745.93109633791,51002.36621597141,50814.45072115012,51172.22943159913,50786.28464053575,52602.53748347065,50736.544800051866,53314.72277966617,53306.3375076941
2025-02-21,20769.577128636316,18876.167264498807,20846.978174832046,20058.22148958996,20735.777432802464,20021.455906150877,20756.56103255337,20015.653818611514,19978.440172179748
2025-02-22,19502.973736215143,19079.580566108914,19617.71055566203,19499.3868278,19558.86172938259,19846.52745423675,19521.821330564275,19668.529011444443,19633.246079345387
2025-02-23,52593.83384925906,50986.131436098105,52496.426103321515,50169.96643524826,52533.58391264501,53481.36860688573,52605.960347927554,53029.79499834426,52954.248997990566
2025-02-24,47776.29809714069,49263.231266902025,47781.29177215272,49586.24965486074,47775.96621834583,50406.12654834262,47775.73960809256,50041.613196253915,49964.41338790276
2025-02-25,49566.41536149339,49381.06609188951,49617.015536507985,49358.22632208308,49553.03942823394,49662.772525095585,49560.1216466615,50248.417581999565,50027.23029078283
2025-02-26,49059.64812374607,48066.330386236885,49050.18993339053,48926.02434732382,49061.030334412964,50416.52305695833,49061.583435882065,48789.98028411642,48512.123712154
2025-02-27,48289.40259182485,47732.32750728413,48295.604135008005,48821.84708040311,48209.189047166954,49033.74447111246,48280.28870276619,48870.43040255539,48711.30002155005
2025-02-28,18582.336611574312,19120.676864691624,18253.52744693145,19009.0715089457,18500.105695247777,18876.827946936573,18657.106524143863,19445.59948212036,19402.456077746574
2025-03-01,18594.657830583335,18390.722649583648,18588.880641133794,18343.587833560785,18564.750987327425,18786.505222450178,18589.58132004831,18466.064417371144,18439.557965807762
2025-03-02,49969.4899306404,49225.4869437039,49814.88260193812,51047.96223466979,49898.49799231606,50662.80906063177,49981.674740796196,48860.54802885781,48646.93097683146
2025-03-03,56737.77816382059,55618.9619307667,56764.893094388666,54409.08228545851,56714.61309734948,55168.804001846715,56726.567278221875,56180.40999452249,56178.53086594523
2025-03-04,49181.5716762082,49854.88166351285,48985.95027552401,50540.116319003195,49025.09647882652,50862.072279791035,49210.90751384703,50068.0627636889,49938.1761045355
2025-03-05,50312.03919990108,49242.44653701746,50363.80533108946,46095.06388097041,50305.64044348807,48426.54261513983,50301.58740307962,50434.6673901396,50357.72676705033
2025-03-06,47709.101720425926,47656.912104265415,47774.44525258256,47332.16743539273,47738.08160688255,47703.27091619812,47703.88640059445,47929.39848423677,47822.18542012837
2025-03-07,18078.554689990557,17760.94282012328,18085.00316128786,17940.468635407175,18135.95868573696,18085.896490044906,18072.522369186372,18043.551130687254,18009.0677065489
