配置,计划费/万元,调整净额/万元,紧急费/万元,总费用/万元,相对扩展基准/%,场景前视违规天数
对冲扩展基准（情景 40 / seed=7）,1290.5,25.2,33.6,1349.3,0.0,0
情景数 5 / seed=7,1290.5,28.4,31.5,1350.4,0.08,0
情景数 10 / seed=7,1290.5,27.1,33.0,1350.6,0.1,0
情景数 10 / seed=17,1290.5,26.8,33.1,1350.4,0.08,0
情景数 10 / seed=27,1290.5,28.3,32.7,1351.5,0.16,0
情景数 20 / seed=7,1290.5,25.2,33.5,1349.2,-0.01,0
情景数 20 / seed=17,1290.5,25.9,33.7,1350.1,0.06,0
情景数 20 / seed=27,1290.5,25.9,32.9,1349.3,0.0,0
情景数 40 / seed=17,1290.5,25.8,33.8,1350.1,0.06,0
情景数 40 / seed=27,1290.5,25.2,33.3,1349.0,-0.02,0
场景池回看 30 天,1290.5,28.1,32.7,1351.3,0.15,0
场景池回看 60 天,1290.5,27.7,32.8,1351.0,0.13,0
组合权重 λ=0.5,1297.1,19.1,32.9,1349.1,-0.01,0
组合权重 λ=0.9,1284.8,39.1,33.8,1357.7,0.62,0
