v1_D-1,v2_D-7,v3_典型日,总费用/万元
0.2,0.5,0.3,1659.4
0.2,0.6,0.2,1659.7
0.3,0.5,0.2,1659.7
0.3,0.4,0.3,1659.8
0.3,0.6,0.1,1659.8
0.4,0.5,0.1,1659.9
0.2,0.4,0.4,1659.9
0.1,0.4,0.5,1660.0
0.1,0.6,0.3,1660.0
0.1,0.5,0.4,1660.1
0.4,0.4,0.2,1660.1
0.4,0.6,0.0,1660.2
0.3,0.7,0.0,1660.2
0.2,0.7,0.1,1660.3
0.2,0.3,0.5,1660.3
0.0,0.5,0.5,1660.3
0.3,0.3,0.4,1660.4
0.1,0.7,0.2,1660.4
0.1,0.3,0.6,1660.4
0.0,0.4,0.6,1660.4
0.1,0.2,0.7,1660.5
0.2,0.8,0.0,1660.5
0.2,0.2,0.6,1660.6
0.5,0.5,0.0,1660.6
0.0,0.6,0.4,1660.6
0.4,0.3,0.3,1660.7
0.5,0.2,0.3,1660.7
0.5,0.3,0.2,1660.7
0.0,0.7,0.3,1660.8
0.5,0.4,0.1,1660.8
0.1,0.8,0.1,1660.9
0.1,0.9,0.0,1660.9
0.0,0.3,0.7,1661.0
0.6,0.3,0.1,1661.0
0.3,0.2,0.5,1661.1
0.0,0.8,0.2,1661.2
0.6,0.2,0.2,1661.2
0.4,0.2,0.4,1661.2
0.0,0.9,0.1,1661.3
0.0,1.0,0.0,1661.3
0.6,0.4,0.0,1661.4
0.0,0.2,0.8,1661.5
0.1,0.1,0.8,1661.6
0.2,0.1,0.7,1661.7
0.7,0.3,0.0,1661.8
0.3,0.1,0.6,1661.8
0.5,0.1,0.4,1661.8
0.4,0.1,0.5,1661.9
0.6,0.1,0.3,1661.9
0.7,0.2,0.1,1662.2
0.0,0.1,0.9,1662.4
0.7,0.1,0.2,1662.5
0.8,0.2,0.0,1663.1
0.8,0.1,0.1,1663.5
0.4,0.0,0.6,1663.6
0.6,0.0,0.4,1663.7
0.5,0.0,0.5,1663.8
0.7,0.0,0.3,1664.1
0.3,0.0,0.7,1664.1
0.2,0.0,0.8,1664.2
0.1,0.0,0.9,1664.3
0.0,0.0,1.0,1664.4
0.8,0.0,0.2,1664.7
0.9,0.1,0.0,1664.8
0.9,0.0,0.1,1666.3
1.0,0.0,0.0,1667.3
