小时,均值,标准差,P5,中位数,P95,Top1%频次,Bottom1%频次
1,0.4285232876712329,0.06475726299065337,0.31916,0.4338,0.5385,0.0,0.0
2,0.4310969863013699,0.06121807862252235,0.3246,0.4383,0.53296,0.0,0.0
3,0.4357235616438357,0.05980279031147363,0.32334,0.4429,0.52306,0.0,0.0
4,0.43782547945205486,0.05934099293423218,0.33404,0.442,0.52858,0.0,0.0
5,0.4395035616438355,0.05710122603545716,0.33726,0.4468,0.52632,0.0,0.0
6,0.9098520547945206,0.11037333338453892,0.70206,0.9364,1.0593,0.0,0.0
7,0.8334449315068493,0.12367341767473596,0.62754,0.8242,1.04248,0.0,0.0
8,1.161682191780822,0.1878524496548734,0.81762,1.1859,1.44656,0.0,0.0
9,1.0359882191780823,0.1627263714835907,0.74902,1.0482,1.29758,0.0,0.0
10,0.9976506849315068,0.21609219334090074,0.6431,0.9784,1.40068,0.0,0.0
11,0.5025016438356165,0.16597949296585549,0.20992000000000002,0.5163,0.7652,0.0,0.10136986301369863
12,0.4431909589041096,0.15149768540070271,0.16774,0.4454,0.68446,0.0,0.12054794520547946
13,0.8278586301369864,0.1636821590474234,0.53928,0.8522,1.06488,0.0,0.0
14,0.9754490410958903,0.2142427144449941,0.6251599999999999,0.9523,1.3639000000000001,0.0,0.0
15,0.6694043835616439,0.15082152370831767,0.39056,0.6851,0.8788,0.0,0.0
16,0.8055224657534248,0.1463278431492672,0.52684,0.829,1.0091,0.0,0.0
17,0.9263846575342466,0.1709049526517156,0.62426,0.988,1.12564,0.0,0.0
18,1.2312750684931506,0.08650321316402843,1.06636,1.249,1.34688,0.0,0.0
19,1.3465827397260275,0.16486438667120706,1.10762,1.312,1.65296,0.12602739726027398,0.0
20,1.348163287671233,0.16515611718645656,1.10746,1.3079,1.6610800000000001,0.12876712328767123,0.0
21,0.9331597260273973,0.09793242986164516,0.75798,0.9449,1.09424,0.0,0.0
22,0.4209175342465754,0.07467136806158751,0.29456,0.4223,0.55038,0.0,0.0027397260273972603
23,0.42366575342465757,0.07045607824249558,0.30664,0.4237,0.5474,0.0,0.0
24,0.4275789041095891,0.07128008228575397,0.3066,0.4279,0.5487200000000001,0.0,0.0027397260273972603
