月份,均值,标准差,最小,P95,最大
1,0.8596107750896057,0.37450235987421987,0.2432,1.4784249999999997,1.6401
2,0.7695711805555556,0.32006018225598715,0.2247,1.280735,1.447
3,0.7255331989247312,0.31464829047606696,0.0913,1.267685,1.3583
4,0.6988464120370371,0.3065581925565963,0.0076,1.26171,1.3932
5,0.6912003360215054,0.30785312830342604,0.0389,1.289655,1.4134
6,0.7662756712962964,0.3156180147757671,0.1708,1.3499100000000002,1.4509
7,0.8300811827956989,0.3665673409502618,0.1337,1.6240949999999996,1.7936
8,0.7864659722222223,0.3691622554021724,0.0665,1.5872549999999976,1.7686
9,0.7202801851851851,0.3210366583500962,0.0376,1.316805,1.4221
10,0.7202710573476703,0.3177584777987801,0.039,1.2683849999999999,1.3793
11,0.7610268287037036,0.3244954637967545,0.2088,1.27891,1.4244
12,0.8617168234767025,0.3760437559358561,0.2354,1.483785,1.6698
