配置,总费用/万元,族
网格 W=1,1514.8,窗口/EWMA
网格 W=2,1540.2,窗口/EWMA
网格 W=3,1490.7,窗口/EWMA
网格 W=4,1484.1,窗口/EWMA
网格 W=5,1474.9,窗口/EWMA
网格 W=6,1472.0,窗口/EWMA
网格 W=7,1467.4,窗口/EWMA
网格 W=8,1468.0,窗口/EWMA
网格 W=10,1473.4,窗口/EWMA
网格 W=12,1471.6,窗口/EWMA
网格 W=14,1469.3,窗口/EWMA
网格 W=16,1467.5,窗口/EWMA
网格 W=18,1472.5,窗口/EWMA
网格 W=21,1470.1,窗口/EWMA
网格 W=25,1469.3,窗口/EWMA
网格 W=28,1465.1,窗口/EWMA
网格 W=30,1463.7,窗口/EWMA
网格 W=32,1466.0,窗口/EWMA
网格 W=35,1470.9,窗口/EWMA
网格 W=45,1474.9,窗口/EWMA
网格 W=60,1485.5,窗口/EWMA
网格 W=90,1498.3,窗口/EWMA
网格 W=120,1521.2,窗口/EWMA
网格 W=180,1552.9,窗口/EWMA
网格 W=240,1569.1,窗口/EWMA
网格 W=300,1556.1,窗口/EWMA
EWMA h=0.5,1498.2,窗口/EWMA
EWMA h=1,1478.6,窗口/EWMA
EWMA h=2,1469.9,窗口/EWMA
EWMA h=3,1465.8,窗口/EWMA
EWMA h=4,1463.8,窗口/EWMA
EWMA h=5,1459.8,窗口/EWMA
EWMA h=6,1462.4,窗口/EWMA
EWMA h=7,1463.3,窗口/EWMA
EWMA h=10,1466.1,窗口/EWMA
EWMA h=14,1468.2,窗口/EWMA
EWMA h=21,1476.8,窗口/EWMA
EWMA h=30,1496.0,窗口/EWMA
EWMA h=60,1534.5,窗口/EWMA
EWMA h=120,1557.1,窗口/EWMA
历史均值,1610.0,窗口/EWMA
W7 全局裕度 m=0,1467.4,裕度
W7 全局裕度 m=50,1447.6,裕度
W7 全局裕度 m=100,1433.9,裕度
W7 全局裕度 m=150,1424.5,裕度
W7 全局裕度 m=200,1419.7,裕度
W7 全局裕度 m=250,1419.3,裕度
W7 全局裕度 m=300,1422.2,裕度
W7 全局裕度 m=350,1426.3,裕度
W7 全局裕度 m=400,1432.3,裕度
W7 全局裕度 m=450,1439.2,裕度
W7 全局裕度 m=500,1447.6,裕度
