槽序号,m80_逐时段_kW,m80_逐小时_kW
1,159.06006000000022,152.12175200000013
2,131.77483599999985,152.12175200000013
3,167.88602799999978,152.12175200000013
4,115.01038800000009,152.12175200000013
5,151.10855200000015,152.12175200000013
6,153.2675999999996,152.12175200000013
7,136.26068800000007,140.6386600000001
8,141.56993999999997,140.6386600000001
9,145.23200000000008,140.6386600000001
10,121.4291640000004,140.6386600000001
11,127.20622400000042,140.6386600000001
12,174.11200000000005,140.6386600000001
13,154.04146800000018,141.24113599999976
14,138.2090839999998,141.24113599999976
15,132.10999999999987,141.24113599999976
16,121.767344,141.24113599999976
17,134.68322800000007,141.24113599999976
18,157.21999999999977,141.24113599999976
19,149.5701879999998,145.30920000000043
20,136.12358000000012,145.30920000000043
21,140.70039999999963,145.30920000000043
22,151.79539600000018,145.30920000000043
23,135.63996799999987,145.30920000000043
24,152.6543999999999,145.30920000000043
25,138.81162399999988,138.3703279999997
26,124.50399200000004,138.3703279999997
27,149.98999999999998,138.3703279999997
28,125.65016800000038,138.3703279999997
29,133.16349199999976,138.3703279999997
30,172.42924,138.3703279999997
31,145.17197599999994,132.4840920000002
32,128.96288400000012,132.4840920000002
33,112.45974399999993,132.4840920000002
34,133.5679520000001,132.4840920000002
35,103.22752799999999,132.4840920000002
36,142.72592799999987,132.4840920000002
37,108.66765199999986,90.94394399999985
38,122.59871199999976,90.94394399999985
39,93.45039999999995,90.94394399999985
40,69.33309199999994,90.94394399999985
41,75.08381599999976,90.94394399999985
42,100.96710000000013,90.94394399999985
43,96.12833999999974,121.76939999999944
44,104.11020399999936,121.76939999999944
45,131.4504880000001,121.76939999999944
46,145.6157959999999,121.76939999999944
47,124.91405599999969,121.76939999999944
48,152.78399999999985,121.76939999999944
49,133.78021599999985,195.35145600000087
50,173.41711199999975,195.35145600000087
51,194.38490400000055,195.35145600000087
52,181.12729199999924,195.35145600000087
53,210.1787639999996,195.35145600000087
54,309.3408639999998,195.35145600000087
55,303.3359360000004,338.10726800000015
56,320.22707600000035,338.10726800000015
57,308.6886640000007,338.10726800000015
58,340.88886400000075,338.10726800000015
59,352.6624880000001,338.10726800000015
60,370.8155000000001,338.10726800000015
61,349.9396440000008,378.4338120000012
62,335.19321999999977,378.4338120000012
63,380.85813600000023,378.4338120000012
64,372.49288000000024,378.4338120000012
65,418.4012080000002,378.4338120000012
66,437.5696120000008,378.4338120000012
67,429.00696800000105,485.1566320000005
68,429.5101480000006,485.1566320000005
69,488.74673200000086,485.1566320000005
70,477.2053959999998,485.1566320000005
71,529.2761159999999,485.1566320000005
72,492.4540160000002,485.1566320000005
73,533.3390080000001,504.4809519999996
74,503.25072400000016,504.4809519999996
75,501.0273920000007,504.4809519999996
76,509.1604480000002,504.4809519999996
77,482.69178800000003,504.4809519999996
78,466.85485999999946,504.4809519999996
79,499.2516480000002,444.0854280000009
80,469.58445599999965,444.0854280000009
81,423.2304120000001,444.0854280000009
82,437.84576000000067,444.0854280000009
83,395.360648,444.0854280000009
84,413.63475999999923,444.0854280000009
85,324.7631240000008,315.58983599999993
86,287.0824480000001,315.58983599999993
87,305.96954399999964,315.58983599999993
88,321.8525159999994,315.58983599999993
89,313.2785519999995,315.58983599999993
90,328.57651999999945,315.58983599999993
91,254.08919600000016,186.43005999999954
92,231.52633200000005,186.43005999999954
93,205.15480000000036,186.43005999999954
94,178.21142000000023,186.43005999999954
95,161.78291600000043,186.43005999999954
96,129.18850000000057,186.43005999999954
97,108.29678000000023,90.75430800000004
98,102.98474399999981,90.75430800000004
99,88.5928320000003,90.75430800000004
100,85.18288800000043,90.75430800000004
101,82.62682399999949,90.75430800000004
102,76.0455919999999,90.75430800000004
103,53.90976799999996,87.47395999999972
104,67.3161319999994,87.47395999999972
105,94.1385999999999,87.47395999999972
106,85.20343600000021,87.47395999999972
107,103.71262799999975,87.47395999999972
108,111.59359999999992,87.47395999999972
109,114.20381999999982,142.26079999999985
110,110.1851359999997,142.26079999999985
111,158.6091119999996,142.26079999999985
112,148.02296,142.26079999999985
113,151.49832799999936,142.26079999999985
114,168.56722400000015,142.26079999999985
115,154.56423199999972,155.10517600000045
116,134.09256399999987,155.10517600000045
117,166.4200000000001,155.10517600000045
118,148.7459280000003,155.10517600000045
119,141.95436399999997,155.10517600000045
120,176.95200000000023,155.10517600000045
121,135.03614399999992,148.63270399999993
122,138.47065599999956,148.63270399999993
123,168.74240000000015,148.63270399999993
124,145.19565200000002,148.63270399999993
125,138.18862399999978,148.63270399999993
126,167.3095999999996,148.63270399999993
127,157.84001999999998,155.5348079999998
128,165.0740400000003,155.5348079999998
129,166.2720000000001,155.5348079999998
130,153.42902399999986,155.5348079999998
131,144.51946399999989,155.5348079999998
132,141.4848,155.5348079999998
133,140.36195199999986,150.94609200000016
134,135.41945600000014,150.94609200000016
135,182.47599999999986,150.94609200000016
136,144.59712800000008,150.94609200000016
137,144.99617599999985,150.94609200000016
138,171.54880000000006,150.94609200000016
139,133.12715199999994,150.0647279999999
140,146.35363599999985,150.0647279999999
141,150.07760000000027,150.0647279999999
142,152.96425999999985,150.0647279999999
143,167.46639200000004,150.0647279999999
144,153.16080000000028,150.0647279999999
