日期,紧急购电量/kWh
2025-02-01,9.974243653232406e-12
2025-02-02,9.393374966748524e-12
2025-02-03,1.355182632778451e-11
2025-02-04,1.667554982986985e-11
2025-02-05,10.604540000016783
2025-02-06,1.5688783605583012e-11
2025-02-07,9.492850949754938e-12
2025-02-08,2.070077442795082e-11
2025-02-09,1.928945891904732e-11
2025-02-10,1.2356338174868142e-11
2025-02-11,1.2928991210969798e-11
2025-02-12,1.3137047005784552e-11
2025-02-13,1.3068268689409024e-11
2025-02-14,1.9407142559657586e-11
2025-02-15,6.482196514687236
2025-02-16,15.047493333356375
2025-02-17,1.6453727269549745e-11
2025-02-18,19.256660000015273
2025-02-19,35.84145666668417
2025-02-20,1.469047106184007e-11
2025-02-21,9.954037594184229e-12
2025-02-22,1.547506567334267e-11
2025-02-23,1.885913647470261e-11
2025-02-24,11.387393733352482
2025-02-25,19.226873333346692
2025-02-26,2.27018404075352e-11
2025-02-27,937.227392974683
2025-02-28,1.383071435157035e-11
2025-03-01,1.1049383630279408e-11
2025-03-02,1627.9480712200234
2025-03-03,1.4654555346993448e-11
2025-03-04,1.3005596599668934e-11
2025-03-05,1.538147387236677e-11
2025-03-06,1.6637802247032596e-11
2025-03-07,1.155475715108878e-11
2025-03-08,1.1916467812511655e-11
2025-03-09,1.3129497489217101e-11
2025-03-10,1300.4954350240196
2025-03-11,1.9647172777581545e-11
2025-03-12,1.247801861836706e-11
2025-03-13,637.7114127373437
2025-03-14,1.506728075639785e-11
2025-03-15,132.90127276000914
2025-03-16,1.6400000000184551
2025-03-17,1.4852119534225494e-11
2025-03-18,792.3312420233525
2025-03-19,188.38627393668838
2025-03-20,228.28674732001704
2025-03-21,50.02841666667735
2025-03-22,1.1261214183377888e-11
2025-03-23,1.879563171769405e-11
2025-03-24,1.8458623518569084e-11
2025-03-25,515.9477395613612
2025-03-26,1.4137135906366893e-11
2025-03-27,1.6785683953912667e-11
2025-03-28,9.553247082294547e-12
2025-03-29,1.2100542789994506e-11
2025-03-30,1.709743457922741e-11
2025-03-31,25.754948466855424
2025-04-01,1.646238700914182e-11
2025-04-02,750.2063127326852
2025-04-03,1.3181900015979409e-11
2025-04-04,1.0772160941030506e-11
2025-04-05,1.3076206784035094e-11
2025-04-06,1.106759128788326e-11
2025-04-07,1.5407231046538072e-11
2025-04-08,1.8189783013156102e-11
2025-04-09,1.2891021583527618e-11
2025-04-10,1.3439915846902295e-11
2025-04-11,1.0159262320286189e-11
2025-04-12,1.0504597192095844e-11
2025-04-13,1.6470380614919122e-11
2025-04-14,60.15450713334529
2025-04-15,1.2969625373671079e-11
2025-04-16,1.474731448070088e-11
2025-04-17,1.1179168701858089e-11
2025-04-18,9.127809619258187e-12
2025-04-19,8.202105661325731e-12
2025-04-20,1.4559131678026915e-11
2025-04-21,1.823519113486327e-11
2025-04-22,1.7620904735338172e-11
2025-04-23,1.574207431076502e-11
2025-04-24,1.7057820433930004e-11
2025-04-25,9.881873097583593e-12
2025-04-26,1.0448530929352273e-11
2025-04-27,2.4358737249485785e-11
2025-04-28,305.6039923360224
2025-04-29,1.245026304275143e-11
2025-04-30,1.4802908898658984e-11
2025-05-01,1377.3856996666784
2025-05-02,1576.4718791220103
2025-05-03,160.88066118867494
2025-05-04,1319.9022010666833
2025-05-05,1138.4068074813401
2025-05-06,1227.0759526633447
2025-05-07,1421.9832687040112
2025-05-08,230.24741429467906
2025-05-09,1.3215206706718163e-11
2025-05-10,8.824940778140444e-12
2025-05-11,62.016115076683285
2025-05-12,1.731592647047364e-11
2025-05-13,12.099987333347528
2025-05-14,1.779421054948216e-11
2025-05-15,1.3168133250474057e-11
2025-05-16,9.07318664644663e-12
2025-05-17,1.217551059973232e-11
2025-05-18,5.236666666684559
2025-05-19,67.00333333334727
2025-05-20,2.2219559525638033e-11
2025-05-21,1.793123982629652e-11
2025-05-22,55.59715397668038
2025-05-23,8.388845174067683e-12
2025-05-24,8.788525462932739e-12
2025-05-25,50.358226333344355
2025-05-26,310.35329738134686
2025-05-27,1.265498816849231e-11
2025-05-28,1.7050805212193154e-11
2025-05-29,69.41990771001106
2025-05-30,9.700684699964768e-12
2025-05-31,7.686962177899659e-12
2025-06-01,8905.9253715491
2025-06-02,2483.7265429366867
2025-06-03,1436.071405466683
2025-06-04,1363.4760573333501
2025-06-05,2924.892436280013
2025-06-06,2846.020839700015
2025-06-07,1535.5717569360106
2025-06-08,697.5759258653477
2025-06-09,288.0385023333502
2025-06-10,124.93096693334599
2025-06-11,2704.4395829626787
2025-06-12,1.8836820991907643e-11
2025-06-13,1.5125456442888208e-11
2025-06-14,1.4277135029772126e-11
2025-06-15,46.050862333349066
2025-06-16,23.222060333355756
2025-06-17,1117.841396556685
2025-06-18,61.36723333334789
2025-06-19,112.5778520000155
2025-06-20,1.0209277867545552e-11
2025-06-21,1.2512657576735364e-11
2025-06-22,75.24285200001867
2025-06-23,23.72942900001629
2025-06-24,3379.4713023022823
2025-06-25,14.145278666686087
2025-06-26,56.111167666682675
2025-06-27,1.2917666936118621e-11
2025-06-28,1.1679102129846797e-11
2025-06-29,7.86541300001851
2025-06-30,95.30970000001597
2025-07-01,3634.796073986681
2025-07-02,2134.9428596366743
2025-07-03,4359.416967246681
2025-07-04,4215.987180156006
2025-07-05,3760.2873362926684
2025-07-06,4658.362745584671
2025-07-07,2032.8938726000085
2025-07-08,555.2336684206772
2025-07-09,147.8423384666773
2025-07-10,257.65773366667975
2025-07-11,8.846257060213247e-12
2025-07-12,1.2865264409356314e-11
2025-07-13,216.7740672666859
2025-07-14,257.100146400012
2025-07-15,19.68141066668419
2025-07-16,51.09771673334412
2025-07-17,20.884266400015292
2025-07-18,9.772627151960478e-12
2025-07-19,8.260947481630865e-12
2025-07-20,1.1970202606903513e-11
2025-07-21,11.91588566668476
2025-07-22,83.04926233334332
2025-07-23,53.89012466668228
2025-07-24,19.592866666685126
2025-07-25,8.872680368199326e-12
2025-07-26,8.157807762643188e-12
2025-07-27,275.4393556666844
2025-07-28,41.143705794718656
2025-07-29,74.01063220001694
2025-07-30,1.499045332309379e-11
2025-07-31,0.5206133333503491
2025-08-01,1.1425083101812561e-11
