滞后/天,日度净需求偏差ACF,光伏d−1权重ACF
0,1.0,1.0
1,0.5142160745390117,0.7629617146268439
2,0.3699288246883623,0.5473432627557965
3,0.44029127598044826,0.3374294756836444
4,0.31237213187545204,0.19148586753533328
5,0.2645132098316022,0.06552914280583082
6,0.2989527277641044,-0.029446153751533446
7,0.23314381514173588,-0.09567448592262913
8,0.23036580939881332,-0.09570099312853891
9,0.22004411845120536,-0.12089310063208251
10,0.19209778000260785,-0.1252511242126797
11,0.17474754964347472,-0.13445444969652037
12,0.16495375886980923,-0.1259228506381878
13,0.1242101340515419,-0.11015146092906232
14,0.09649259537920116,-0.09422411736103789
15,0.14063741219844295,-0.07813727795043518
16,0.1340743415249049,-0.07843393027188858
17,0.08064574230674613,-0.12739209357369996
18,0.1533855473514394,-0.13610297054126502
19,0.20499441266224494,-0.12712721693436588
20,0.18265950672414424,-0.13808232817922828
21,0.15168355734125863,-0.15188136910354816
22,0.17447906099847774,-0.15836535868150042
23,0.12831766261905328,-0.11653938338292105
24,0.0818443334560945,-0.08534849036436228
25,0.1584730338632094,-0.07479375028235243
26,0.15197505443242798,-0.044574623187023134
27,0.15056195664670163,0.023691823178084978
28,0.157638260795947,0.06693721308971634
29,0.16621840497756163,0.09076791104085986
30,0.2041453471418181,0.10089861445252479
