小时,e_net_均值/kW,e_net_标准差/kW,e_net_q80/kW
1,-9.151626017964144,258.5564136037318,152.12175200000013
2,-15.111604790419246,248.37168290892905,140.6386600000001
3,-11.779084510978105,245.2958419470593,141.24113599999976
4,-6.268706057884311,226.9072787029182,145.30920000000043
5,-10.657198153692685,227.9271722278178,138.3703279999997
6,-55.74904026946116,245.55642270568688,132.4840920000002
7,-178.76351154690624,346.2154167920736,90.94394399999985
8,-202.91277114770463,402.13607316158505,121.76939999999944
9,-173.81417847305391,490.6352939365696,195.35145600000087
10,-146.06392498003993,596.5408971756909,338.10726800000015
11,-124.5787896407186,679.5339292944894,378.4338120000012
12,-117.96140113772444,743.1503788091045,485.1566320000005
13,-109.21729133732529,730.4643425858425,504.4809519999996
14,-116.30097542914177,676.6459177847834,444.0854280000009
15,-153.63029568862277,572.6938793709094,315.58983599999993
16,-185.34187380239524,473.9462438527523,186.43005999999954
17,-207.84119373253495,377.7176326059384,90.75430800000004
18,-164.70995727544923,321.0593560622562,87.47395999999972
19,-38.42114328343323,264.6794711473387,142.26079999999985
20,-9.453425179640819,274.99666036809646,155.10517600000045
21,-14.097640059880325,276.28369687922395,148.63270399999993
22,-14.649212634730615,275.3149675707195,155.5348079999998
23,-8.513938183632813,264.41898321535206,150.94609200000016
24,-10.61526039920168,266.095849038319,150.0647279999999
