配置,计划购电费/万元,紧急购电费/万元,总费用/万元
W7 全局裕度 m=0,1260.4,207.0,1467.4
W7 全局裕度 m=50,1272.8,174.8,1447.6
W7 全局裕度 m=100,1284.8,149.1,1433.9
W7 全局裕度 m=150,1296.7,127.8,1424.5
W7 全局裕度 m=200,1308.5,111.2,1419.7
W7 全局裕度 m=250,1320.2,99.1,1419.3
W7 全局裕度 m=300,1332.0,90.2,1422.2
W7 全局裕度 m=350,1343.7,82.6,1426.3
W7 全局裕度 m=400,1355.4,76.9,1432.3
W7 全局裕度 m=450,1367.0,72.2,1439.2
W7 全局裕度 m=500,1378.7,68.9,1447.6
W7 小时裕度 γ=0.5,1288.6,142.1,1430.7
W7 小时裕度 γ=0.75,1302.7,119.3,1422.0
W7 小时裕度 γ=1.0,1317.1,102.9,1420.0
W7 小时裕度 γ=1.25,1331.6,90.8,1422.4
W7 小时裕度 γ=1.5,1346.2,82.0,1428.2
W7 时段裕度 γ=0.75,1302.3,119.9,1422.2
W7 时段裕度 γ=1.0,1316.5,103.6,1420.1
W7 时段裕度 γ=1.25,1330.9,91.5,1422.4
W7 月裕度 γ=1,1308.5,111.5,1420.0
W7 比例裕度 ρ=0.02,1278.5,163.2,1441.7
W7 比例裕度 ρ=0.04,1297.0,130.2,1427.2
W7 比例裕度 ρ=0.06,1316.0,108.4,1424.4
W7 比例裕度 ρ=0.08,1335.5,92.9,1428.4
W7 比例裕度 ρ=0.12,1376.0,77.3,1453.3
W7 负荷抬升 κ=1.005,1272.7,173.9,1446.6
W7 负荷抬升 κ=1.01,1284.9,145.8,1430.7
W7 负荷抬升 κ=1.015,1297.3,122.7,1420.0
W7 负荷抬升 κ=1.02,1309.6,103.4,1413.0
W30 全局裕度 m=0,1276.9,186.8,1463.7
W30 全局裕度 m=50,1289.4,156.9,1446.3
W30 全局裕度 m=100,1301.6,133.2,1434.8
W30 全局裕度 m=150,1313.6,114.5,1428.1
W30 全局裕度 m=200,1325.4,100.2,1425.6
W30 全局裕度 m=250,1337.2,89.8,1427.0
W30 全局裕度 m=300,1348.9,81.7,1430.6
W30 全局裕度 m=350,1360.7,75.2,1435.9
W30 全局裕度 m=400,1372.4,70.3,1442.7
W30 全局裕度 m=450,1384.0,66.2,1450.2
W30 全局裕度 m=500,1395.6,63.5,1459.1
W30 小时裕度 γ=0.5,1301.7,134.1,1435.8
W30 小时裕度 γ=0.75,1314.0,116.2,1430.2
W30 小时裕度 γ=1.0,1326.5,102.1,1428.6
W30 小时裕度 γ=1.25,1339.0,91.1,1430.1
W30 小时裕度 γ=1.5,1351.6,82.4,1434.0
W30 时段裕度 γ=0.75,1313.7,116.9,1430.6
W30 时段裕度 γ=1.0,1326.0,102.7,1428.7
W30 时段裕度 γ=1.25,1338.5,91.8,1430.3
W30 月裕度 γ=1,1320.3,99.1,1419.4
W30 比例裕度 ρ=0.02,1295.0,147.4,1442.4
W30 比例裕度 ρ=0.04,1313.5,120.4,1433.9
W30 比例裕度 ρ=0.06,1332.4,101.9,1434.3
W30 比例裕度 ρ=0.08,1351.8,88.1,1439.9
W30 比例裕度 ρ=0.12,1392.4,73.7,1466.1
W30 负荷抬升 κ=1.005,1289.3,156.1,1445.4
W30 负荷抬升 κ=1.01,1301.6,130.0,1431.6
W30 负荷抬升 κ=1.015,1314.0,108.9,1422.9
W30 负荷抬升 κ=1.02,1326.5,92.0,1418.5
EWMA h=5 全局裕度 m=0,1267.2,192.6,1459.8
EWMA h=5 全局裕度 m=50,1279.6,161.1,1440.7
EWMA h=5 全局裕度 m=100,1291.6,136.6,1428.2
EWMA h=5 全局裕度 m=150,1303.5,116.9,1420.4
EWMA h=5 全局裕度 m=200,1315.3,101.3,1416.6
EWMA h=5 全局裕度 m=250,1327.0,90.3,1417.3
EWMA h=5 全局裕度 m=300,1338.7,82.4,1421.1
EWMA h=5 全局裕度 m=350,1350.4,76.4,1426.8
EWMA h=5 全局裕度 m=400,1362.1,71.8,1433.9
EWMA h=5 全局裕度 m=450,1373.7,67.9,1441.6
EWMA h=5 全局裕度 m=500,1385.3,65.1,1450.4
EWMA h=5 小时裕度 γ=0.5,1293.9,133.1,1427.0
EWMA h=5 小时裕度 γ=0.75,1307.4,112.9,1420.3
EWMA h=5 小时裕度 γ=1.0,1320.9,97.7,1418.6
EWMA h=5 小时裕度 γ=1.25,1334.6,86.5,1421.1
EWMA h=5 小时裕度 γ=1.5,1348.4,79.0,1427.4
EWMA h=5 时段裕度 γ=0.75,1306.8,113.9,1420.7
EWMA h=5 时段裕度 γ=1.0,1320.2,98.8,1419.0
EWMA h=5 时段裕度 γ=1.25,1333.7,87.6,1421.3
EWMA h=5 月裕度 γ=1,1313.4,103.1,1416.5
EWMA h=5 比例裕度 ρ=0.02,1285.2,150.5,1435.7
EWMA h=5 比例裕度 ρ=0.04,1303.7,120.2,1423.9
EWMA h=5 比例裕度 ρ=0.06,1322.6,100.1,1422.7
EWMA h=5 比例裕度 ρ=0.08,1342.1,86.9,1429.0
EWMA h=5 比例裕度 ρ=0.12,1382.4,73.5,1455.9
EWMA h=5 负荷抬升 κ=1.005,1279.4,160.1,1439.5
EWMA h=5 负荷抬升 κ=1.01,1291.7,133.0,1424.7
EWMA h=5 负荷抬升 κ=1.015,1304.1,110.9,1415.0
EWMA h=5 负荷抬升 κ=1.02,1316.5,93.0,1409.5
"W7 仿射裕度 a=0.5, b=50.0",1300.7,121.2,1421.9
"W7 仿射裕度 a=0.5, b=100.0",1312.7,106.1,1418.8
"W7 仿射裕度 a=0.5, b=150.0",1324.7,94.9,1419.6
"W7 仿射裕度 a=0.75, b=50.0",1314.9,104.4,1419.3
